rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
TVA,TN,Tennessee Valley Authority,Federal/State,EnergyRight Smart Thermostat Rewards,DR-BYOT,Residential;SmallC&I,Thermostat/AC,Opt-in,enrollment + annual participation bill rebate,$65 enrollment rebate (existing thermostat) or up to $100 purchase+enrollment rebate; $65/yr annual (year-round) or $20/yr (summer-only) participation rebate,"up to 4 degF adjustment, up to 4 hrs/event, up to 60 hrs/season; must maintain 65% event participation for annual rebate",N/A,"Peak demand events, hours vary by LPC",,,No,Unknown,Active,https://energyright.com/residential/rebates/smartthermostat/,2026-09-24,Primary
TVA,TN,Tennessee Valley Authority,Federal/State,PowerFlex,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,bill credit for capacity/emergency curtailment (rate not published),Not published; replaces Interruptible Power (IP5/IP30); higher credits than predecessor IP program per TVA,"Requires contract demand >=1 MW and 500 kW min annual average on-peak interruptible demand; capacity calls 2-4 hrs, emergency calls unlimited; customer selects cumulative curtailable hours block",N/A,Emergency: anytime; Capacity: TVA-called events,,,No,Unknown,Active,https://energyright.com/business-industry/demand-response/powerflex/,2026-09-24,Primary
TVA,TN,Tennessee Valley Authority,Federal/State,Peak Rewards (administered by Enel),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad,Opt-in,seasonal bill payment for curtailment (rate not published),Not published; no upfront/out-of-pocket cost; min 50 kW curtailable demand required,up to 32 event hours/fiscal year (Oct-Sep); events called 5am-8pm CT with 30-min notice; 1-4 hr event duration,N/A,"5am-8pm CT, TVA-called events",,,No,Unknown,Active,https://energyright.com/business-industry/demand-response/peak-rewards/,2026-09-24,Primary
TVA,multi,Tennessee Valley Authority,Federal/State,"Wholesale Time-of-Use Rate Structure (GSA/GSB/GSC/GSD, MSB/MSC/MSD)",TOU-Rate,All,GeneralLoad,Default,"seasonal TOU wholesale rate: base demand + energy rate + fuel cost adjustment + grid access charge, billed to LPCs",Not published in $/kWh here; varies by rate schedule and season; LPCs individually decide whether/how to pass TOU structure through to retail rates,N/A,"TVA wholesale tariff schedules (GSA, GSB, GSC, GSD; MSB, MSC, MSD)","Seasonal peak/off-peak, varies by schedule",Varies by LPC pass-through; not universally mirrored at retail,,No,Unknown,Active,https://www.tva.com/about-tva/tva-rates,2026-09-24,Secondary
TVA,multi,Tennessee Valley Authority,Federal/State,Dispersed Power Production (DPP),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Generator,Opt-in,avoided-cost energy purchase (sell all or excess generation to TVA),~4.41 cents/kWh flat schedule (Jan 2026); TOU pricing ranges ~4.96c/kWh (Super Peak) to ~3.6-3.8c/kWh (Super Off-Peak); revised at least annually; tiered in 100 MW increments for suppliers >100 MW,Requires executed interconnection agreement (IA) with local power company; enrollment via TVA Green Hub,N/A,Varies (TOU option available),Not published at retail; wholesale avoided-cost tiers only,Avoided-cost PPA; sell-all or use-and-sell-excess options,Yes-restricted,Green Connect (interconnection facilitation),Active,https://www.tva.com/docs/default-source/1-float/dpp_customer_process_flow_finala99b8478-07f0-4731-89ce-f65bb2799261.pdf,2026-09-24,Secondary
TVA,multi,Tennessee Valley Authority,Federal/State,Green Connect,Interconnection,Residential;SmallC&I,Solar+Storage,Opt-in,non-financial: connects customers with vetted installers and facilitates interconnection agreement with LPC; no direct payment,"N/A - facilitation program, not a PPA rate",Solar with or without battery storage allowed; installation verified by independent third party,N/A,N/A,N/A,"N/A - Green Connect itself does not purchase power; pairs with DPP for compensation",Yes,Dispersed Power Production (DPP),Active,https://www.tva.com/energy/valley-renewable-energy/green-connect,2026-09-24,Primary
TVA,TN,Nashville Electric Service,Municipal,Time-of-Use Rate,TOU-Rate,Residential;SmallC&I;LargeC&I,GeneralLoad,Opt-in,rate discount off-peak / surcharge on-peak (rates not published in search),Not published; see NES rates page for current schedule,Varies,NES Rate Schedule (TOU),Not published; varies by season,Not published,,No,Unknown,Active,https://www.nespower.com/rates/,2026-09-24,Secondary
TVA,TN,Nashville Electric Service,Municipal,Demand Response Program,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,bill credit for curtailing usage during peak periods,Not published,Varies,NES Business rate schedules,TVA-called peak events,,,No,Unknown,Active,https://www.nespower.com/rates/,2026-09-24,Secondary
TVA,TN,"Memphis Light, Gas and Water Division",Municipal,Residential Time-of-Use Rate (Schedule RSTOU),TOU-Rate,Residential,GeneralLoad,Opt-in;Waitlist,on-peak surcharge / off-peak discount vs. standard residential rate,"Off-peak ~$0.05/kWh; on-peak ~$0.11/kWh summer, ~$0.07/kWh winter",Enrollment currently limited to pilot participants; billing system not yet updated for general enrollment; requires electric smart meter,Schedule RSTOU,Summer weekdays 12pm-8pm; Winter weekdays 4am-10am,on-peak ~11c/kWh (summer) / ~7c/kWh (winter); off-peak ~5c/kWh,,No,Unknown,Pilot,https://www.mlgw.com/home/tou,2026-09-24,Primary
TVA,TN,"Memphis Light, Gas and Water Division",Municipal,Commercial EV Charging Rebate,EV-Rate,SmallC&I;LargeC&I,EV/EVSE,Opt-in,technical & consulting rebate for workplace/public EV charging project,"up to $2,000",Workplace or public charging project; no residential rebate offered,N/A,N/A,,,No,Unknown,Active,https://www.mlgw.com/about/ElectricVehicles,2026-09-24,Secondary
