rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,IN,Northern Indiana Public Service Co (NIPSCO),IOU,Excess Distributed Generation,Export-Comp,All,Solar+Storage;Battery,Opt-in,avoided-cost export credit ($/kWh),$0.038333/kWh outflow (125% of MISO NIPS.NIPS avg hourly RT price),Annual update of Marginal DG Price,Rider 589,,,avoided cost 3.83c/kWh (125% of MISO NIPS.NIPS node RT LMP),Yes-restricted,Unknown,Active,https://www.nipsco.com/docs/librariesprovider11/rates-and-tariffs/electric-rates/2023-to-current/rider-589.pdf,2026-08-08,High
MISO,IN,Northern Indiana Public Service Co (NIPSCO),IOU,Net Metering (legacy),Export-Comp,Residential;SmallC&I,Solar+Storage,Closed to new,1:1 retail credit,,Closed to new residential/biomass apps after 6/30/2022 per SEA 309,Rider 580,,,1:1 net metering (legacy participants only per Ind. Code ch. 8-1-40 transition),Yes-restricted,Unknown,Closed to new enrollment,https://www.nipsco.com/services/renewable-energy-programs/net-metering,2026-08-08,Medium
MISO,IN,Northern Indiana Public Service Co (NIPSCO),IOU,Interruptible Industrial Service Rider,DR-Curtailment,LargeC&I,GeneralLoad;Battery;Generator,Opt-in,contract demand curtailment; penalty for noncompliance,,4-hr min notice; noncompliance = 3-contract-year disqualification,Rider 775,,,,Yes-restricted,Unknown,Active,https://www.nipsco.com/docs/librariesprovider11/rates-and-tariffs/electric-rates/current-rates/table-of-contents/rider-775.pdf,2026-08-08,Medium
MISO,IN,Northern Indiana Public Service Co (NIPSCO),IOU,Rate 831/832 Real-Time Price / Curtailable Industrial Service,RTP-Rate,LargeC&I,GeneralLoad;Battery,Opt-in,MISO day-ahead/real-time market pass-through,min 10 MW Tier 1,Rate 832 curtailed when Rate 831 curtailment insufficient,Rate 831; Rate 832,,,,Yes-restricted,Unknown,Active,https://www.nipsco.com/docs/librariesprovider11/rates-and-tariffs/electric-rates/2020-current-rates/table-of-contents/832.pdf,2026-08-08,Medium
MISO,IN,Duke Energy Indiana,IOU,Excess Distributed Generation Tariff,Export-Comp,All,Solar+Storage;Battery,Opt-in,avoided-cost export credit ($/kWh) at 125% of marginal price,$0.042917/kWh (as of 3/1/2024; updated annually),Annual update using prior-year LMP,Standard Contract Rider No. 54,,,avoided cost ~4.29c/kWh (125% of MISO LMP; updated annually),Yes-restricted,Unknown,Active,https://www.in.gov/oucc/electric/key-cases-by-utility/duke-energy-rates/duke-energy-distributed-generation-tariff/,2026-08-08,Medium
MISO,IN,Duke Energy Indiana,IOU,Residential/Business Time-of-Use Rate,TOU-Rate,Residential;SmallC&I,GeneralLoad;Battery;EV/EVSE,Opt-in,rate discount for off-peak/discount-period usage,,Switch-back to base rate locks out of TOU for 12 months,Time-of-Use Rate (IURC-15),"Weekdays 5-9pm (non-winter); 6-8am & 5-9pm weekdays (winter); discount 12-4am daily",on-peak / discount (12-4am; lowest) / off-peak tiers,,Yes-restricted,Unknown,Active,https://www.duke-energy.com/business/billing/rates/new-2025-tou-rates-dei,2026-08-08,High
MISO,IN,Duke Energy Indiana,IOU,Interruptible Demand Response (IDR) Program,DR-Curtailment,LargeC&I,GeneralLoad;Battery;Generator,Opt-in,monthly capacity incentive + energy incentive when curtailed,,>=2 hr notice; MISO reliability or economic dispatch,Standard Contract Rider,,,,Yes-restricted,Unknown,Active,https://www.in.gov/iurc/files/ord_46268_031826.pdf,2026-08-08,Medium
MISO,IN,Duke Energy Indiana,IOU,Power Manager Smart Thermostat,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bonus + annual bill credit,$75 one-time enrollment + $25/yr,Brief thermostat adjustments on high-demand days/emergencies; opt-out anytime,Power Manager,,,,No,Unknown,Active,https://www.duke-energy.com/home/products/power-manager/smart-thermostat,2026-08-08,High
MISO,IN,Duke Energy Indiana,IOU,EV Off-Peak Charging Credit Pilot,EV-Rate,Residential,EV/EVSE,Opt-in,quarterly bill credit for off-peak charging,$50/quarter for 2 years ($400 total),2-year pilot,,Weekdays 9pm-6am + weekends/holidays off-peak,,,No,Unknown,Active,https://illumination.duke-energy.com/articles/how-duke-energy-manages-ev-charging-helps-customers-save,2026-08-08,Medium
MISO,IN,AES Indiana (formerly IPL),IOU,Excess Distributed Generation (Rider 16 - EDG),Export-Comp,All,Solar+Storage;Battery,Opt-in,avoided-cost export credit ($/kWh) at 125% of prior-year avg marginal price,$0.03935/kWh (annually updated),Annual update,Standard Contract Rider No. 16,,,avoided cost ~3.94c/kWh (125% of prior-yr avg wholesale price),Yes-restricted,Unknown,Active,https://www.aesindiana.com/sites/aesvault.com/files/2024-08/Rider-16-EDG-45504-Effective-07-01-24.pdf,2026-08-08,High
MISO,IN,AES Indiana (formerly IPL),IOU,CoolCents Direct Load Control,DR-DLC,Residential,Thermostat/AC,Opt-in,bill credit for AC cycling switch,,May-Sep peak days; brief cycling periods,,,,,No,Unknown,Active,https://www.aesindiana.com/press-release/manage-heat-wave-ways-save-energy,2026-08-08,Medium
MISO,IN,AES Indiana (formerly IPL),IOU,Rider 14 Interruptible Power,DR-Curtailment,LargeC&I,GeneralLoad;Battery;Generator,Opt-in,rate discount for interruptible demand availability,,min 1500 kW interruptible demand; 100 MW total cap; called for system integrity/MISO emergency,Rider 14,,,,Yes-restricted,Rider 17,Active,https://www.aesindiana.com/sites/default/files/2021-05/Rider-14-Interruptible-Power-50409-Effective-04-07-21.pdf,2026-08-08,High
MISO,IN,AES Indiana (formerly IPL),IOU,Rider 17 Curtailment Energy,DR-Curtailment,LargeC&I,GeneralLoad;Battery,Opt-in,rate discount for curtailable (reliability-only) power,,Curtailed only for system reliability (not economic),Rider 17,,,,Yes-restricted,Rider 14,Active,https://www.aesindiana.com/contract-riders,2026-08-08,Medium
MISO,IN,AES Indiana (formerly IPL),IOU,Rate OES Off-Peak Energy Storage (Separately Metered),Demand-Charge,SmallC&I,Battery;GeneralLoad,Opt-in,TOU energy rate for dedicated storage meter,Customer charge $82/mo; Off-peak 2.50c/kWh; On-peak 10.00c/kWh,3-yr standard term; non-residential only,Rate OES,Weekdays 6am-10pm,"on 10.00c/kWh / off 2.50c/kWh (10pm-6am wkdy, all wknd/holiday)",,Yes,Unknown,Active,https://www.aesindiana.com/sites/default/files/2021-05/Rate-OES-Off-Peak-Energy-Storage-Separately-Metered-50409-Effective-04-07-21.pdf,2026-08-08,High
MISO,IN,AES Indiana (formerly IPL),IOU,Off-Peak EV Charging Rewards,EV-Rate,Residential,EV/EVSE,Opt-in,$/kWh off-peak incentive + signup bonus,$150 signup + $0.05/kWh off-peak up to $100/yr,Off-peak 10pm-6am daily,,,,,No,Unknown,Active,https://www.aesindiana.com/home-ev-charging-rewards,2026-08-08,High
PJM,IN,Indiana Michigan Power (AEP),IOU,Excess Distributed Generation Rider (EDG),Export-Comp,All,Solar+Storage;Battery,Opt-in,avoided-cost export credit ($/kWh) at 125% of prior-year LMP,$0.090476/kWh (Marginal DG Price per 2023 compliance filing),Annual 30-day filing update on/before Mar 1,Rider EDG,,,avoided cost ~9.05c/kWh (125% of prior-year LMP),Yes-restricted,Unknown,Active,https://iurc.portal.in.gov/_entity/sharepointdocumentlocation/0d67dec5-accc-ed11-b596-001dd8070a7e/bb9c6bba-fd52-45ad-8e64-a444aef13c39?file=45506_Indiana+Michigan+Power_Compliance+Filing+and+Submission+of+Tariff_03272023.pdf,2026-08-08,Medium
PJM,IN,Indiana Michigan Power (AEP),IOU,Demand Response Service - Emergency (Curtailment Demand Credit),DR-Curtailment,LargeC&I,GeneralLoad;Battery;Generator,Opt-in,capacity credit tied to PJM Base Residual Auction price,,Applies to Rates GS/GSTOD/LGS/LGS-TOD/IP/MS/WSS/EGH customers with curtailable load,Rider D.R.S.1,,,,Yes-restricted,Voluntary Curtailment Service;Rider DLMS,Active,https://www.utilitydive.com/news/how-indiana-michigan-power-helps-ci-customers-bring-their-flexibility-to-m/442891/,2026-08-08,Medium
PJM,IN,Indiana Michigan Power (AEP),IOU,Voluntary Curtailment Service Program,DR-Curtailment,LargeC&I,GeneralLoad;Battery,Opt-in,PJM capacity price-linked credit when dispatched,,min 1000 kW curtailable per account; via CSP or direct enrollment,,,,,Yes-restricted,Rider D.R.S.1,Active,https://www.utilitydive.com/news/how-indiana-michigan-power-helps-ci-customers-bring-their-flexibility-to-m/442891/,2026-08-08,Medium
