rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Saver's Switch (Residential),DR-DLC,Residential,Thermostat/AC,Opt-in,flat annual bill credit + enrollment bonus,$40/yr bill credit (Oct) + $100 one-time enrollment credit,"max 300 control hours/yr, typically weekdays ~2-7pm summer",Saver's Switch Rider,Weekdays ~2pm-7pm summer,,,No,Unknown,Active,"https://www.xcelenergy.com/staticfiles/xe-responsive/Company/Rates%20&%20Regulations/Regulatory%20Filings/CO-DSM/Residential%20Demand%20Response.pdf",2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Saver's Switch (Business),DR-DLC,SmallC&I,Thermostat/AC,Opt-in,$/ton monthly bill credit,$5.00/ton/month June-September,"activated avg 5-15 days/summer, 15-20 min on/off cycling",Saver's Switch Business Rider,Late morning-early evening on peak summer days,,,No,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/PDF/Marketing/MN-ND-SD-Bus-Savers-Switch-Info-Sheet.pdf,2026-08-08,High
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Peak Partner Rewards,DR-Curtailment,SmallC&I,GeneralLoad,Opt-in,$/kW monthly reservation + $/kWh event performance,$2.00/kW-month reservation + $1.35/kWh event performance,"min 25 kW interruptible demand June-September",Peak Partner Rewards,Summer peak events,,,No,Unknown,Active,https://mn.my.xcelenergy.com/s/business/rate-plans/peak-partner-rewards,2026-08-08,High
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Peak Flex Credit,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,monthly bill credit,Not published (custom by commitment),"min 50 kW interruptible, response 10 min or 1 hr, 60 or 100 hr/yr cap, 1-yr min commitment",Rate A14/A15/A25,Utility-called events,,,No,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/MN-Business-Program-Summary.pdf,2026-08-08,High
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Electric Rate Savings (Interruptible ≥50kW),DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,reduced demand charge,Contact for details,min 50 kW reducible/interruptible demand,Interruptible Tariff,Utility-called events,,,No,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/MN-Business-Program-Summary.pdf,2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,AC Rewards for Business,DR-BYOT,SmallC&I,Thermostat/AC,Opt-in,free smart thermostat + annual incentive,Free ecobee3 lite installed + annual incentive (amount not published),Customer may opt out of individual events; excessive opt-outs may result in removal,AC Rewards for Business,Hot summer days,,,No,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/MN-Business-Program-Summary.pdf,2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Residential Time-of-Use Rate,TOU-Rate,Residential,GeneralLoad,Opt-in,rate discount,On-peak +; off-peak -; ratio ~2.7x summer / 2.2x winter,,MN-A02,Weekdays 6pm-9pm (highest); off-peak 12am-6am,"on-peak higher / off-peak lower, ~2.7x spread summer, 2.2x winter",,No,Unknown,Active,https://www.startribune.com/xcel-utility-mn-time-of-use/601862144,2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,EV Accelerate At Home,EV-Rate,Residential,EV/EVSE,Opt-in,rate discount + subscription option,"Pay-as-you-go: $6.73/mo + 3.8c/kWh off-peak; Subscription: $38.81/mo incl. 1,000 kWh off-peak, then 3.8c/kWh",Off-peak window midnight-6am daily,EV Accelerate At Home,Midnight-6am daily,off-peak 3.8c/kWh; on-peak standard rate,,No,Unknown,Active,https://mn.my.xcelenergy.com/s/residential/ev-charging/incentives/evaah,2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Optimize Your Charge (Fleet EV),EV-Rate,LargeC&I,EV/EVSE,Opt-in,annual per-charger incentive,$50/yr per registered charger or vehicle for off-peak charging,Two low-cost charging schedules available,Optimize Your Charge,Off-peak hours,,,No,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/MN-Business-Program-Summary.pdf,2026-08-08,Medium
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Solar*Rewards / Net Metering,Export-Comp,Residential;SmallC&I,Solar+Storage,Opt-in,upfront + production credit + net metering,Solar*Rewards $0.03/kWh production paid annually (systems ≤20kW),System ≤120% of on-site annual consumption,Solar*Rewards / Net Metering Rider,,,"1:1 net metering, monthly rollover, excess credited at cogeneration/avoided-cost rate, check issued if credit balance >$25",Yes-restricted,Unknown,Active,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/MN-Res-SR-Meter-Billing-Guide.pdf,2026-08-08,High
MISO,MN,Northern States Power Co - Minnesota (Xcel Energy),IOU,Battery Storage Incentive Program,Storage-Incentive,Residential;SmallC&I,Battery;Solar+Storage,Opt-in,upfront $/kWh rebate,"$175/kWh up to $5,000 standard; $370/kWh income-qualified","system ≤50 kWh, must be grid-tied with solar",Battery Storage Incentive Program,,,,Yes,Unknown,Active,https://mn.my.xcelenergy.com/s/renewable/battery-storage-incentive-program,2026-08-08,Medium
