rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Wisconsin Time-of-Use (Residential),TOU-Rate,Residential,Any,Opt-in,rate discount off-peak,"on $0.27006-0.30084/kWh; off $0.10028-0.10387/kWh",Mandatory above 60000 kWh/yr but customer may opt out,Rate Rg2,"Weekdays; customer selects 7a-7p, 8a-8p, 9a-9p or 10a-10p","on ~27.0-30.1c/kWh / off ~10.0-10.4c/kWh",,Yes,Smart Thermostat Rewards;Residential EV Pilot,Active,https://www.we-energies.com/services/time-of-use-wi,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Secondary Time-of-Use,TOU-Rate,SmallC&I,Any,Opt-in,rate discount off-peak,,,Rate Cg6,Weekdays 9a-9p,on $0.25388/kWh / off $0.09765/kWh,,Yes,Unknown,Active,https://www.we-energies.com/services/time-of-use-wi,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Secondary Demand Time-of-Use,Demand-Charge,SmallC&I;LargeC&I,Battery;GeneralLoad,Default,on-peak demand charge,$19.681/kW on-peak demand; $3.305/kW customer demand,Mandatory if >=986 kWh/day for any 3 months in 12-month period,Rate Cg3,Weekdays 9a-9p,on $0.08969/kWh / off $0.05511/kWh,,Yes,Unknown,Active,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Secondary Curtailable,DR-Curtailment,SmallC&I,GeneralLoad,Closed to new,$/kWh on-peak curtailable service credit,$0.02080/kWh on-peak curtailable energy,Min 100 kW curtailable load; contract-specified firm demand level,Rate Cg3C,Weekdays 9a-9p,,,Yes-restricted,Unknown,Closed to new enrollment,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Secondary Seasonal Curtailable,DR-Curtailment,SmallC&I,GeneralLoad,Closed to new,$/kW seasonal curtailable service credit,$2.00/kW curtailable demand (Apr 1-Sep 30),Min 100 kW curtailable demand; pre-season contract,Rate Cg3S,Weekdays 9a-9p,,,Yes-restricted,Unknown,Closed to new enrollment,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Primary Combined Firm and Non-Firm,DR-Curtailment,LargeC&I,GeneralLoad;Battery,Opt-in,reduced demand/energy charge for interruptible load block,Non-firm demand ~$12.05-12.22/kW vs firm ~$17.41-17.58/kW; non-firm energy ~$0.056-0.081/kWh vs firm ~$0.061-0.087/kWh,Min 1000 kW interruptible load beyond contracted firm level,Rate CPFN,8a-8p & 10a-10p (General Primary on-peak),,,Yes-restricted,Unknown,Active,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Primary Curtailable,DR-Curtailment,LargeC&I,GeneralLoad,Closed to new,$/kWh on-peak curtailable credit,$0.01970-0.02028/kWh on-peak curtailable energy by voltage level,Min 500 kW curtailable load; contract-specified firm demand,Rate Cp3,8a-8p & 10a-10p,,,Yes-restricted,Unknown,Closed to new enrollment,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,General Primary Seasonal Curtailable,DR-Curtailment,LargeC&I,GeneralLoad,Closed to new,$/kW seasonal curtailable service credit,$2.00/kW curtailable demand (Apr 1-Sep 30),Min 100 kW curtailable demand; pre-season contract,Rate Cp3S,8a-8p & 10a-10p,,,Yes-restricted,Unknown,Closed to new enrollment,https://www.we-energies.com/olb/25/2025-01-we-electric-rates.pdf,2026-08-08,High
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Real Time Market Pricing / Day Ahead Market Pricing riders,RTP-Rate,LargeC&I,GeneralLoad;Battery,Opt-in,day-ahead LMP-indexed energy price plus adder,$5.50/MWh adder over day-ahead market price (RTMP for incremental load),Unknown,RTMP/NLMP/DAMP riders,,,,Yes-restricted,Unknown,Active,https://wieg.org/regulatory-legislative/,2026-08-08,Medium
MISO,WI,Wisconsin Electric Power Co (We Energies),IOU,Customer Generation Service - Net Metered (CGS-NM),Export-Comp,All,Solar+Storage,Opt-in,avoided energy cost bill credit for net excess generation,Flat $0.03177/kWh; TOU on-peak $0.04064 (summer)/$0.03411 (non-summer); off-peak $0.02852/$0.02931,Aggregate nameplate <300 kW; paid by check when accumulated credit exceeds $100,Rate CGS-NM,Per customer's underlying purchase rate schedule,See incentive_value_usd,Net metering to 300 kW nameplate; excess credited at avoided energy cost only (no capacity/transmission credit),Yes-restricted,Unknown,Active,https://www.we-energies.com/olb/25/2025-01-we-customer-generation-rates.pdf,2026-08-08,High
