rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Commercial System Relief Program (CSRP) - Smart Usage Rewards,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment,Reservation $18/kW-month (Brooklyn/Bronx/Manhattan/Queens) or $6/kW-month (Staten Island/Westchester); performance $1/kWh (Reservation option) or $3/kWh (Voluntary option); CSRP Unplanned $6/kWh reservation and $10/kWh voluntary; +$5/kW-month adder from month of 5th event,Capability period May 1-Sep 30 (or Jun 1-Sep 30); weekdays only excl. federal holidays; load relief period 11:00-23:00; 21-hour advance notice confirmed 2 hr ahead,Rider T (PSC No. 10 - Electricity),Load relief window 11:00-23:00 weekdays May-Sep,,,Yes,Distribution Load Relief Program (DLRP); NYISO SCR/ICAP,Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Distribution Load Relief Program (DLRP) - Smart Usage Rewards,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment,Reservation $18/kW-month (Tier 1 network) or $25/kW-month (Tier 2 network); performance $1/kWh (Reservation option) or $3/kWh (Voluntary option); +$5/kW-month adder from month of 5th event,Capability period May 1-Sep 30; weekdays weekends and federal holidays; load relief period 08:00-24:00 (00:00-08:00 voluntary only); 2-hour notice for contingency events,Rider T (PSC No. 10 - Electricity),08:00-24:00 all days May-Sep,,,Yes,Commercial System Relief Program (CSRP); NYISO SCR/ICAP,Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Term Dynamic Load Management (TERM-DLM),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW incentive set by competitive procurement (RFP),,Weekdays excl. federal holidays; load relief period 11:00-23:00; 21-hour advance notice; financial penalty for underperformance,Rider T (PSC No. 10 - Electricity),11:00-23:00 weekdays,,,Yes,Reliability-group program (DLRP or AUTO-DLM),Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Auto Dynamic Load Management (AUTO-DLM),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW incentive set by competitive procurement (RFP),,Weekdays weekends and federal holidays; load relief 08:00-24:00; no less than 10 minutes notice before event start,Rider T (PSC No. 10 - Electricity),08:00-24:00 all days,,,Yes,Peak-shaving-group program (CSRP or TERM-DLM),Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers/smart-usage-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Standby Service Rates (SC 5 Rate III/IV; SC 8/9/12 Rate IV/V; SC 13 Rate II),Demand-Charge,Residential;SmallC&I;LargeC&I,Battery;Solar+Storage;Generator,Default,contract demand $/kW-month + as-used DAILY demand $/kW (not monthly),"Residential: contract demand $6.05/kW, as-used daily demand $0.4848/kW (Jun-Sep M-F 8am-6pm), $1.5829/kW (Jun-Sep M-F 8am-10pm ext.), $1.3889/kW (other months M-F 8am-10pm), $20/mo customer charge. Small business: $8.77/kW contract; $0.4658 / $1.7193 / $1.5549 per kW; $33/mo. Large commercial (low tension, under 1500 kW): $9.18/kW contract; $0.6671 / $2.2761 / $1.1744 per kW; $71/mo",Standby service is mandatory for on-site generation/storage over 1 MW; systems under 1 MW but at least 15% of customer peak load may opt in voluntarily; General Rule 20.3.3 sets exemptions,PSC No. 10 Electricity - Standby Service Rates,As-used daily demand windows: Jun-Sep M-F 8am-6pm and 8am-10pm; all other months M-F 8am-10pm,,,Yes,Rider T DR programs; Value Stack,Active,https://www.coned.com/en/accounts-billing/your-bill/standby-rates,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Residential Time-of-Use Rate (with Summer Super-Peak),TOU-Rate,Residential,GeneralLoad;Battery;EV/EVSE;Thermostat/AC,Opt-in,TOU delivery rate; supply super-peak for full-service customers,"Delivery: Jun 1-Sep 30 peak $0.2786/kWh, off-peak $0.0522/kWh; all other months peak $0.1711/kWh, off-peak $0.0522/kWh; $21.00/mo customer charge. Standard (non-TOU) delivery $0.16402/kWh (<250 kWh) and $0.18858/kWh (>250 kWh summer)",1-year minimum enrollment; 18-month wait to rejoin after leaving,SC 1 Rate II (voluntary time-of-day),Peak 8am-midnight all days; off-peak midnight-8am; summer super-peak (supply) weekdays 2-6pm Jun-Sep,on 27.86c / off 5.22c per kWh delivery (Jun-Sep); on 17.11c / off 5.22c (Oct-May),,Yes,Smart Thermostat Program; SmartCharge NY,Active,https://www.coned.com/en/accounts-billing/your-bill/time-of-use,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Small Business Time-of-Use Rate,TOU-Rate,SmallC&I,GeneralLoad;Battery,Opt-in,TOU delivery rate,"Jun 1-Sep 30 peak $0.5443/kWh, off-peak $0.0199/kWh; all other months peak $0.2680/kWh, off-peak $0.0199/kWh; $34.00/mo customer charge",18-month wait to rejoin after switching back to standard rate,SC 2 Rate II (small business time-of-day),Peak M-F 8am-10pm; off-peak M-F 10pm-8am and all weekend hours,on 54.43c / off 1.99c per kWh (Jun-Sep); on 26.80c / off 1.99c (Oct-May),,Yes,Rider T DR programs,Active,https://www.coned.com/en/accounts-billing/your-bill/time-of-use,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Large Business Time-of-Use Rate (demand-billed),Demand-Charge,LargeC&I,GeneralLoad;Battery,Opt-in,three additive monthly demand charges by time period,"Jun 1-Sep 30: $12.75/kW (M-F 8am-6pm) + $28.64/kW (M-F 8am-10pm) + $27.33/kW (all hours all days). All other months: $18.15/kW (M-F 8am-10pm) + $7.04/kW (all hours). Standard non-TOU delivery $42.80/kW summer, $33.50/kW other months; $72/mo customer charge",Delivery charges are the sum of the max demand in each of the three time periods,SC 9 Rate II (large business time-of-day),M-F 8am-6pm and 8am-10pm peak periods; off-peak M-F 6pm-8am and weekends,,,Yes,Rider T DR programs; Standby Service Rates,Active,https://www.coned.com/en/accounts-billing/your-bill/time-of-use,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Smart Thermostat Program (Bring Your Own Thermostat),DR-BYOT,Residential,Thermostat/AC,Opt-in,upfront enrollment rebate + annual retention incentive,$85 enrollment rebate; additional $25/yr retention incentive if participating in 50% or more of event hours over the first three years,"Events May-Sep, weekdays 11am-11pm, typically up to 4 hours; temperature adjusted gradually within a narrow range; opt-out permitted",,Event window weekdays 11:00-23:00 May-Sep,,,No,Residential Time-of-Use Rate,Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-residential-customers/bring-your-thermostat-and-get-85,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,SmartCharge New York (EV Drivers and Light-Duty Fleets),EV-Rate,Residential;SmallC&I,EV/EVSE,Opt-in,$/kWh off-peak charging incentive + monthly avoided-peak bill credits,10 cents/kWh for charging midnight-8am year-round; $35/month Avoided Summer Peak Incentive for not charging weekdays 2-6pm Jun 1-Sep 30; additional $35 Avoided Summer Peak bonus; 3-month enrollment bonus per vehicle/station,Rewards paid via connected-car or telematics device; year-round off-peak credit; summer peak avoidance Jun 1-Sep 30,,Off-peak midnight-8am daily; summer peak weekdays 2-6pm Jun-Sep,,,No,Residential Time-of-Use Rate,Active,https://www.coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-residential-customers/electric-vehicle-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,SmartCharge Commercial (Managed Charging for Station Operators),EV-Rate,SmallC&I;LargeC&I,EV/EVSE,Opt-in,managed-charging performance payments to public charging station operators,,Managed charging events at public/commercial charging stations; incentive terms set in program agreement,,,,,No,Rider T DR programs,Active,https://www.coned.com/en/our-energy-future/electric-vehicles/commercial-electric-vehicle-charging-station-rewards,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Value Stack (Value of Distributed Energy Resources / VDER) Tariff,Export-Comp,All,Solar+Storage;Battery;Any,Opt-in,component-based export credit ($/kWh + $/kW) applied as monetary bill credits,"$0.65/kW-mo residential and $1.03/kW-mo small commercial CBC (2026, Value Stack PV)",Phase Two eligibility: on-site DG >750 kW plus remote net metered and community DG of any size; CHP excluded. Phase One (pre-7/26/2018 qualifiers) uses $/kW-yr DRV/LSRV and a Market Transition Credit,VDER Value Stack tariff (PSC Case 15-E-0751),DRV: assigned 4-hour window on summer non-holiday weekdays Jun 24-Sep 15; ICAP Alt 2: 2pm-7pm Jun 24-Aug 31,,"Value Stack credit = LBMP (day-ahead energy) + ICAP capacity (Alt 1 all-hours $/kWh, Alt 2 concentrated 240-245 summer afternoon hrs 2-7pm Jun 24-Aug 31, or Alt 3 $/kW-month coincident-peak - Alt 3 required for dispatchable/paired storage) + Environmental (REC or social cost of carbon $/kWh) + DRV ($/kWh on export in an assigned 4-hr summer weekday window Jun 24-Sep 15) + LSRV ($/kW-event in designated high-value areas until MW cap) + Community Credit for CDG. Values vary hourly and by utility/zone - see utility Value Stack calculator",Yes,NY-Sun; NYSERDA Retail Energy Storage Incentive; utility DR programs,Active,https://www.coned.com/-/media/files/coned/documents/save-energy-money/using-private-generation/specs-and-tariffs/components-value-stack.pdf,2026-09-10,Primary
NYISO,NY,Consolidated Edison Co of New York (Con Edison),IOU,Phase One Net Energy Metering (mass market) with Customer Benefit Contribution,Export-Comp,Residential;SmallC&I,Solar+Storage;Battery,Opt-in,1:1 kWh net metering credit plus a monthly $/kW-DC Customer Benefit Contribution charge,$1.29/kW-mo residential and $1.47/kW-mo small commercial CBC (2026),Available to residential and small commercial (non-demand-billed) PV; CBC applies to systems interconnected on or after 1/1/2022 and is recalculated annually; pre-2022 systems exempt; CBC cannot be netted against production,Net Energy Metering / Customer Benefit Contribution (PSC Case 15-E-0751),,,1:1 retail-rate kWh net metering (mass market PV); monthly CBC charge assessed on DC system size,Yes-restricted,NY-Sun; NYSERDA Retail Energy Storage Incentive,Active,https://www.nyserda.ny.gov/-/media/Project/Nyserda/Files/Programs/NY-Sun/2026-Utility-Published-Customer-Benefit-Contribution-Rates.pdf,2026-09-10,Secondary
