rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,IA,MidAmerican Energy Company,IOU,Rate NM - Net Metering (Legacy),Export-Comp,All,Solar+Storage;Battery,Closed to new,kWh netting; delivery charges based on total delivered energy if exporting,,,Rate NM,,,"Net metering (kWh-for-kWh) for interconnection applications completed before 1/1/2025",Yes-restricted,Unknown,Closed to new enrollment,https://www.midamericanenergy.com/customer-interconnection,2026-08-08,Medium
MISO,IA,MidAmerican Energy Company,IOU,Rate NEM - Net Energy Metering,Export-Comp,All,Solar+Storage;Battery,Default,Energy supply credits banked and used to offset future energy charges,,,Rate NEM,,,"Net billing - excess generation credited as banked energy-supply credits (applications on/after 1/1/2025); annual cash-out at avoided cost",Yes-restricted,Unknown,Active,https://www.midamericanenergy.com/customer-interconnection,2026-08-08,Medium
MISO,IA,MidAmerican Energy Company,IOU,Time-of-Use Rate RST,TOU-Rate,Residential,Battery;EV/EVSE;GeneralLoad,Opt-in,Rate differential by on-peak/off-peak/all-other-hours period,,"Min. 12-month commitment; annual savings comparison performed by utility",Rate RST,"On-peak 1-6pm Mon-Fri (summer premium); no on-peak on major holidays",,,Yes,Unknown,Active,https://www.midamericanenergy.com/time-of-use-rates,2026-08-08,Medium
MISO,IA,MidAmerican Energy Company,IOU,Time-of-Use Rate GET,TOU-Rate,"Residential;SmallC&I;LargeC&I",Battery;EV/EVSE;GeneralLoad,Opt-in,Rate differential by on-peak/off-peak/all-other-hours period,,"Available to residential >50,000 kWh/yr and all nonresidential customers; min 12-month commitment",Rate GET,"On-peak 1-6pm Mon-Fri (summer premium); no on-peak on major holidays",,,Yes,Unknown,Active,https://www.midamericanenergy.com/time-of-use-rates,2026-08-08,Medium
MISO,IA,MidAmerican Energy Company,IOU,SummerSaver (Load Control Receiver AC Cycling),DR-DLC,Residential,Thermostat/AC,Opt-in,Flat seasonal bill credit regardless of dispatch,$20 end-of-season bill credit,"Cycling window 2-7pm; 50% duty-cycle standard LCR or up to 40%-cycle with TrueCycle learning LCR, Jun-Sep",Rider LCR/SummerSaver,"2-7pm summer",,,No,Unknown,Active,https://www.midamericanenergy.com/summersaver,2026-08-08,Medium
MISO,IA,MidAmerican Energy Company,IOU,Curtailment Program,DR-Curtailment,LargeC&I,GeneralLoad;Generator,Opt-in,Contracted curtailable kW commitment; penalty for non-performance,,"Max 6 hrs/event; min 2-hr advance warning; min 200 kW curtailable; Summer-only (Jun-Sep) or Year-Round participation options",Rider CS,"Typical expected-demand window 3-6pm",,,Yes-restricted,Unknown,Active,https://www.midamericanenergy.com/curtailment,2026-08-08,High
MISO,IA,Interstate Power and Light Company (Alliant Energy),IOU,Inflow/Outflow Distributed Generation Tariff,Export-Comp,All,Solar+Storage;Battery,Opt-in,Inflow/outflow netting with annual cash-out at avoided cost,,"100% capacity cap based on customer's maximum annual demand; annual true-up/cash-out of remaining credits",Inflow/Outflow Tariff,,,"Net billing; annual cash-out of excess credits at avoided-cost rate (per SF583/Iowa Code 476.49)",Yes-restricted,Unknown,Active,https://www.alliantenergy.com/-/media/alliant/documents/accountandbilling/ratesandtariffs/iowaelectricrates/inflowoutflowtariff.pdf,2026-08-08,High
MISO,IA,Interstate Power and Light Company (Alliant Energy),IOU,Appliance Cycling (AC and Water Heater DLC),DR-DLC,Residential,Thermostat/AC;ElectricWaterHeater,Opt-in,Flat monthly bill credit Jun-Sep regardless of dispatch,"$8/month AC switch (Jun-Sep); $2/month water heater switch (Jun-Sep)","Cycling in 15-min on/off increments, up to 6 hrs/day; triggered when temps forecast 90F+ and/or demand near 90% of peak, typically 1-7pm",Rider (Appliance Cycling),"Typically 1-7pm summer",,,No,Unknown,Active,https://www.alliantenergy.com/ways-to-save/appliance-cycling,2026-08-08,High
MISO,IA,Interstate Power and Light Company (Alliant Energy),IOU,Rider INT - Interruptible Service Option,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,Rate discount in exchange for interruptible load commitment,,,Rider INT,,,,Yes-restricted,Unknown,Active,https://www.alliantenergy.com/-/media/alliant/documents/accountandbilling/ratesandtariffs/iowaelectricrates/riderintservinterruptibleserviceoption.pdf,2026-08-08,Medium
MISO,IA,Interstate Power and Light Company (Alliant Energy),IOU,Alliant Energy Smart Hours,TOU-Rate,Residential,Battery;EV/EVSE;GeneralLoad,Opt-in,Time-varying retail rate,,,Smart Hours,,,,Yes,Unknown,Active,https://www.alliantenergysmarthours.com/assets/terms-and-conditions/alliant/Alliant_Smart_Hours_Terms_And_Conditions.pdf,2026-08-08,Low
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Rider PSP - Power Smart Pricing (with Rider RTP),RTP-Rate,Residential,Battery;EV/EVSE;GeneralLoad,Opt-in,Hourly MISO day-ahead-indexed supply price passthrough,$2.25/month participation charge,"12-month lockout if customer exits and re-enrolls",Rider PSP / Rider RTP,"Hourly prices posted after 5pm prior day; typically highest 1-5pm summer",,,Yes,"Rider NM; Rider CGR",Active,https://www.ameren.com/-/media/rates/files/illinois/aiel26rdpsp.ashx,2026-08-08,High
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Peak Time Rewards,CPP-PTR,Residential,Battery;Thermostat/AC;GeneralLoad,Opt-in,$/kWh bill credit for usage reduced below personal baseline during events,"75 cents/kWh reduced (2022-23 program year; credit reset annually based on market prices)","Min 1 event/yr, max 20 event-hours/yr; typically Jun-Sep weekday afternoons; cannot combine with a Retail Electric Supplier DR program",N/A (program, not a rate rider),"Typically weekday summer afternoons",,,Yes,"Power Smart Pricing (mutually exclusive with RES demand response programs)",Active,https://www.ameren.com/efficiency/programs/peak-time-rewards,2026-08-08,High
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Peak Time Savings (Smart Thermostat),DR-BYOT,Residential,Thermostat/AC,Opt-in,Flat enrollment bonus + annual appreciation bonus,$50 enrollment + $25/year,"Up to 4 degF adjustment, max 4 hrs/event",N/A (program, not a rate rider),,,,No,Unknown,Active,https://www.thermostatrewards.com/ameren-il,2026-08-08,Medium
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Rider CGR - Customer Generation Rebate (Distributed Generation & Storage Rebate),Storage-Incentive,"Residential;SmallC&I;LargeC&I",Solar+Storage;Battery,Opt-in,Upfront $/kW (solar) and $/kWh (storage) rebate; storage rebate stackable with DG rebate,"$300/kW DG + $300/kWh storage (residential); $250/kW DG + $250/kWh storage (C&I)",,Rider CGR (Sec. 16-107.6),,,,Yes,"Rider NM; Illinois Shines (Adjustable Block Program)",Active,https://www.ameren.com/-/media/illinois-site/files/electricchoice/illinois-distributed-energy-rebate-application.ashx,2026-08-08,High
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Rider NM - Net Metering,Export-Comp,All,Solar+Storage;Battery,Opt-in,kWh netting per 220 ILCS 5/16-107.5,,,Rider NM,,,"1:1 net metering; unaffected by concurrent enrollment in Rider EVCP",Yes-restricted,"Rider CGR; Rider EVCP",Active,https://www.ameren.com/illinois/residential/supply-choice/renewables/rebates,2026-08-08,Medium
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Rider EVCP - DS-1 Residential Charging Program,EV-Rate,Residential,EV/EVSE,Opt-in,Monthly bill credit + preferred-period per-kWh credit + peak per-kWh surcharge,"$4/month credit (first 12 months); PCP delivery credit 2.0 cents/kWh summer, 1.0 cents/kWh non-summer; Peak Hourly Delivery Charge $0.65/kWh on peak-period usage",Min 12 consecutive billing periods,Rider EVCP (DS-1),"Non-Preferred Charging Period 11am-7pm; Preferred Charging Period 11pm-7am",,Does not affect Rider NM netting,No,Rider NM,Active,https://www.ameren.com/-/media/rates/files/illinois/aiel21rdevcp.ashx,2026-08-08,High
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Rider EVCP - DS-2/DS-3/DS-4 Non-Residential Charging Program,EV-Rate,"SmallC&I;LargeC&I",EV/EVSE,Opt-in,Monthly bill credit + preferred-period credit + peak surcharge; demand charge limited to on-peak demand for DS-3/DS-4; equipment rebates for qualifying facilities,"$15/month credit (DS-2, first 12 months); PCP credit 2.3 cents/kWh summer, 1.2 cents/kWh non-summer; Peak Hourly Delivery Charge $0.46/kWh (DS-2); equipment rebates up to $5,000 (Level II) / $25,000 (Level III/DCFC) for qualifying equity/low-income facilities",Min 12 consecutive billing periods,Rider EVCP (DS-2/DS-3/DS-4),"Non-Preferred Charging Period 11am-7pm; Preferred Charging Period 11pm-7am",,,No,Rider NM,Active,https://www.ameren.com/-/media/rates/files/illinois/aiel21rdevcp.ashx,2026-08-08,High
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Commercial & Industrial Demand Response Program (Enel-administered),DR-Curtailment,LargeC&I,GeneralLoad;Generator,Opt-in,Third-party-administered capacity and performance payment for curtailable load,,,,,,,Yes-restricted,Unknown,Active,https://www.enelnorthamerica.com/solutions/energy-solutions/demand-response/ameren-illinois-demand-response,2026-08-08,Medium
MISO,IL,Ameren Illinois Company d/b/a Ameren Illinois,IOU,Hourly Supply Service (HSS),RTP-Rate,"SmallC&I;LargeC&I",Battery;GeneralLoad,Opt-in,Hourly MISO-indexed supply price passthrough for non-residential (DS-3/DS-4/DS-5/DS-6) customers,,,HSS,,,,Yes,Rider CGR,Active,https://www.ameren.com/-/media/illinois-site/files/electricchoice/illinois-distributed-energy-rebate-application.ashx,2026-08-08,Medium
MISO,IL,Illinois Power Agency (statewide; covers Ameren Illinois territory),Federal/State,Illinois Standalone Energy Storage Procurement (Public Act 103-1066),Storage-Incentive,LargeC&I,Battery,Opt-in,Forward capacity contract via competitive procurement using IPA/ICC model contract,,"Initial procurement event Aug 26 2026 targeting 1,038 MW standalone storage; up to 1,500 MW total authorized; additional procurements possible 2027-2028",,,,,Yes,Unknown,Proposed/pending,https://www.ilga.gov/documents/reports/ReportsSubmitted/5853RSGAEmail12781RSGAAttachEnergy%20Storage%20Procurement%20Report%205.1.2025.pdf,2026-08-08,High
