rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,FPL On Call (Residential),DR-DLC,Residential,Thermostat/AC;ElectricWaterHeater;PoolPump,Opt-in,flat monthly bill credit,$6/mo (1-2 A/C units Apr-Oct); $2.75/mo (elec heat Nov-Mar); $1.50/mo ea. water heater/pool pump; max $91.75/yr,up to 3 hr/day A/C cycling summer; up to 3 hr/day heat cycling winter; up to 4 hr/day water heater/pool pump,ROC,,,,No,Unknown,Active,https://www.fpl.com/save/programs/on-call-program.html,2026-09-24,Primary
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,FPL On Call (Business),DR-DLC,SmallC&I,Thermostat/AC,Opt-in,$/ton-month bill credit,"$2/ton/month, Apr-Oct (7 months); e.g. 2x5-ton units = $140/yr",up to 17.5 min/30 min cycling; max 3.5 hr/day; Apr-Oct; A/C normally operates 3-6pm 4+ days/wk,BOC,3-6pm,,,No,Unknown,Active,https://www.fpl.com/business/save/programs/oncall.html,2026-09-24,Primary
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,Residential Time of Use Rate (RTR-1),TOU-Rate,Residential,Any,Opt-in,rate discount/premium by time period,,,RTR-1,Summer (Apr-Oct) 12pm-9pm; Winter (Nov-Mar) 6-10am & 6-10pm weekdays,"on ~26c/kWh / off ~9c/kWh (approx, varies by location)",,Unclear,Cannot combine with On Call; Budget Billing; EVolution,Active,https://www.fpl.com/rates/time-of-use.html,2026-09-24,Primary
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,Net Metering (COG-1),Export-Comp,All,Solar+Storage,Opt-in,full retail monthly netting; annual true-up at avg. annual cost of generation,,,COG-1,,,1:1 monthly netting; annual true-up credit each December at FPL's average annual cost of generation,Yes-restricted,Unknown,Active,https://www.fpl.com/content/dam/fplgp/us/en/rates/pdf/electric-tariff-section10.pdf,2026-09-24,Primary
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,FPL EVolution Home,EV-Rate,Residential,EV/EVSE,Opt-in,flat monthly program charge + off-peak per-kWh rate,"$36/mo full install or $27/mo equipment-only, plus off-peak ~7c/kWh vs on-peak ~28c/kWh",10-yr agreement; early termination fee $1851 (full) or $1204 (equip-only) declining ~$15.43/$10.03 per month + $50 admin fee,,"Summer (Apr-Oct) off-peak noon-9pm; Winter (Nov-Mar) off-peak 6-10am & 6-10pm, plus weekends/holidays",off-peak ~7c/kWh / on-peak ~28c/kWh,,No,Not compatible with Net Metering or TOU rate,Active,https://www.fpl.com/electric-vehicles/for-drivers/evolution-home.html,2026-09-24,Primary
FRCC-nonRTO,FL,Florida Power & Light Company,IOU,Commercial/Industrial Load Control (CILC-1),DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,demand credit vs. curtailment penalty,"base demand $5.67/kW credit; curtailment penalty $14.17/kW (CILC-1(G), eff. Jan 2026)",,CILC-1,,,,No,Unknown,Active,https://www.fpl.com/content/dam/fplgp/us/en/rates/pdf/bus-eff-jan-2026.pdf,2026-09-24,Primary
FRCC-nonRTO,FL,"Duke Energy Florida, LLC",IOU,EnergyWise Home (Switch),DR-DLC,Residential,Thermostat/AC;ElectricWaterHeater;PoolPump,Opt-in,annual bill credit prorated by usage,up to $141/yr,"AC up to 16.5 min/30 min; water heater/pool pump up to 5 hr; mostly weekdays, rarely AC",,,,,No,Compatible with Time-of-Use rate,Active,https://www.duke-energy.com/home/products/energywise-home/switch,2026-09-24,Primary
FRCC-nonRTO,FL,"Duke Energy Florida, LLC",IOU,EnergyWise Home Battery Control,DR-BYOD,Residential,Battery,Opt-in,monthly bill credit,,up to 30-36 events/yr,,,,,Yes,Unknown,Active,https://www.duke-energy.com/home/products/energywise-home/battery-control,2026-09-24,Primary
FRCC-nonRTO,FL,"Duke Energy Florida, LLC",IOU,Residential Time-of-Use Rate,TOU-Rate,Residential,Any,Opt-in,rate discount/premium by time period,~10c-20c/kWh depending on time of day (approx.),,,,,,Unclear,Compatible with EnergyWise Home,Active,https://www.duke-energy.com/home/billing/rates/time-of-use,2026-09-24,Secondary
FRCC-nonRTO,FL,"Duke Energy Florida, LLC",IOU,Net Metering (Rider RE),Export-Comp,All,Solar+Storage,Opt-in,full retail monthly netting; annual true-up at COG-1 as-available rate,,,Rider RE,,,1:1 monthly netting; annual true-up at Duke's COG-1 as-available energy tariff each December,Yes-restricted,Unknown,Active,https://www.energysage.com/local-data/net-metering/duke-energy/,2026-09-24,Secondary
