rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
ISO-NE,MA,NSTAR Electric Co (Eversource MA),IOU,ConnectedSolutions - Small Scale Batteries (Mass Save),VPP,Residential;SmallC&I,Battery;Solar+Storage,Opt-in,$/kW-summer pay-for-performance on average seasonal discharge (kW-AC); rate locked 5 yrs for new installs,"$275/kW-summer average event performance (rate since summer 2023; program materials dated 2026-03-13); ~5 kW battery = up to $1,375/yr",30-60 events/summer (plan ~40 top daily peaks Jul-Aug); Jun 1-Sep 30; 2-3 hr events; 3-8pm; weekdays+weekends except Juneteenth/July 4/Labor Day; day-ahead; no events before major storms; no winter season for MA residential,,3-8pm event window Jun-Sep,,Export allowed per interconnection agreement; can co-participate with net metering (cap-exempt <25kW solar inverter) and SMART,Yes,"SMART storage adder (satisfies 52-cycle rule); Net Metering; ISO-NE FCM; Mass Save HEAT Loan (0% up to $25,000); CPECs assigned to PA",Active,https://www.masssave.com/residential/rebates-offers-services/battery-storage-and-evs/batteries,2026-09-26,Primary
ISO-NE,MA,NSTAR Electric Co (Eversource MA),IOU,ConnectedSolutions C&I - Daily Dispatch,VPP,SmallC&I;LargeC&I,Battery;Solar+Storage;GeneralLoad,Opt-in,$/kW-summer pay-for-performance; 5-yr rate lock for new batteries; optional 2-yr commitment-letter lock for >50kW-AC pre-interconnection,"$200/kW-summer (offering materials 2023-06-08, current as linked by Mass Save 2026)",30-60 events/summer (~40 planned); Jun-Sep; 2-3 hr; 3-8pm; any day incl. holidays; notice 1pm day-ahead; exporting sites capped at 150% of site annual peak load (ISA after 2023-06-08),,3-8pm Jun-Sep,,Export permitted with executed ISA; incentive capped at 150% of site peak for exporters,Yes,Clean Peak Standard (CPECs retained by customer); ISO-NE FCM/demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,NSTAR Electric Co (Eversource MA),IOU,ConnectedSolutions C&I - Targeted Dispatch,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Thermostat/AC,Opt-in,$/kW-summer pay-for-performance (10-of-10 baseline w/ same-day adjustment),$35/kW-summer + $10/kW-summer weekend bonus (2023-06-08 materials),1-8 events/summer; 3 hr; 3-8pm; Jun-Sep; no events July 4/Juneteenth/Labor Day; day-ahead 1pm notice; fossil generation excluded,,3-8pm Jun-Sep,,,Yes,Clean Peak Standard; ISO-NE demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,Massachusetts Electric Co (National Grid MA),IOU,ConnectedSolutions - Small Scale Batteries (Mass Save),VPP,Residential;SmallC&I,Battery;Solar+Storage,Opt-in,$/kW-summer pay-for-performance on average seasonal discharge (kW-AC); rate locked 5 yrs for new installs,"$275/kW-summer average event performance (rate since summer 2023; program materials dated 2026-03-13); ~5 kW battery = up to $1,375/yr",30-60 events/summer (plan ~40 top daily peaks Jul-Aug); Jun 1-Sep 30; 2-3 hr events; 3-8pm; weekdays+weekends except Juneteenth/July 4/Labor Day; day-ahead; no events before major storms; no winter season for MA residential,,3-8pm event window Jun-Sep,,Export allowed per interconnection agreement; can co-participate with net metering (cap-exempt <25kW solar inverter) and SMART,Yes,"SMART storage adder (satisfies 52-cycle rule); Net Metering; ISO-NE FCM; Mass Save HEAT Loan (0% up to $25,000); CPECs assigned to PA",Active,https://www.nationalgridus.com/media/pdfs/resi-ways-to-save/ma_resi_battery_program_materials.pdf,2026-09-26,Primary
ISO-NE,MA,Massachusetts Electric Co (National Grid MA),IOU,ConnectedSolutions C&I - Daily Dispatch,VPP,SmallC&I;LargeC&I,Battery;Solar+Storage;GeneralLoad,Opt-in,$/kW-summer pay-for-performance; 5-yr rate lock for new batteries; optional 2-yr commitment-letter lock for >50kW-AC pre-interconnection,"$200/kW-summer (offering materials 2023-06-08, current as linked by Mass Save 2026)",30-60 events/summer (~40 planned); Jun-Sep; 2-3 hr; 3-8pm; any day incl. holidays; notice 1pm day-ahead; exporting sites capped at 150% of site annual peak load (ISA after 2023-06-08),,3-8pm Jun-Sep,,Export permitted with executed ISA; incentive capped at 150% of site peak for exporters,Yes,Clean Peak Standard (CPECs retained by customer); ISO-NE FCM/demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,Massachusetts Electric Co (National Grid MA),IOU,ConnectedSolutions C&I - Targeted Dispatch,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Thermostat/AC,Opt-in,$/kW-summer pay-for-performance (10-of-10 baseline w/ same-day adjustment),$35/kW-summer + $10/kW-summer weekend bonus (2023-06-08 materials),1-8 events/summer; 3 hr; 3-8pm; Jun-Sep; no events July 4/Juneteenth/Labor Day; day-ahead 1pm notice; fossil generation excluded,,3-8pm Jun-Sep,,,Yes,Clean Peak Standard; ISO-NE demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,Cape Light Compact,Municipal,ConnectedSolutions - Small Scale Batteries (Mass Save),VPP,Residential;SmallC&I,Battery;Solar+Storage,Opt-in,$/kW-summer pay-for-performance on average seasonal discharge (kW-AC); rate locked 5 yrs for new installs,"$275/kW-summer average event performance (rate since summer 2023; program materials dated 2026-03-13); ~5 kW battery = up to $1,375/yr",30-60 events/summer (plan ~40 top daily peaks Jul-Aug); Jun 1-Sep 30; 2-3 hr events; 3-8pm; weekdays+weekends except Juneteenth/July 4/Labor Day; day-ahead; no events before major storms; no winter season for MA residential,,3-8pm event window Jun-Sep,,Export allowed per interconnection agreement; can co-participate with net metering (cap-exempt <25kW solar inverter) and SMART,Yes,"SMART storage adder (satisfies 52-cycle rule); Net Metering; ISO-NE FCM; Mass Save HEAT Loan (0% up to $25,000); CPECs assigned to PA",Active,https://www.nationalgridus.com/media/pdfs/resi-ways-to-save/ma_resi_battery_program_materials.pdf,2026-09-26,Primary
ISO-NE,MA,Cape Light Compact,Municipal,ConnectedSolutions C&I - Daily Dispatch,VPP,SmallC&I;LargeC&I,Battery;Solar+Storage;GeneralLoad,Opt-in,$/kW-summer pay-for-performance; 5-yr rate lock for new batteries; optional 2-yr commitment-letter lock for >50kW-AC pre-interconnection,"$200/kW-summer (offering materials 2023-06-08, current as linked by Mass Save 2026)",30-60 events/summer (~40 planned); Jun-Sep; 2-3 hr; 3-8pm; any day incl. holidays; notice 1pm day-ahead; exporting sites capped at 150% of site annual peak load (ISA after 2023-06-08),,3-8pm Jun-Sep,,Export permitted with executed ISA; incentive capped at 150% of site peak for exporters,Yes,Clean Peak Standard (CPECs retained by customer); ISO-NE FCM/demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,Cape Light Compact,Municipal,ConnectedSolutions C&I - Targeted Dispatch,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Thermostat/AC,Opt-in,$/kW-summer pay-for-performance (10-of-10 baseline w/ same-day adjustment),$35/kW-summer + $10/kW-summer weekend bonus (2023-06-08 materials),1-8 events/summer; 3 hr; 3-8pm; Jun-Sep; no events July 4/Juneteenth/Labor Day; day-ahead 1pm notice; fossil generation excluded,,3-8pm Jun-Sep,,,Yes,Clean Peak Standard; ISO-NE demand resources; SMART,Active,https://www.masssave.com/-/media/Files/PDFs/Business/CI-ConnectedSolutions-Offering-Materials_June-2023.pdf,2026-09-26,Primary
ISO-NE,MA,NSTAR Electric Co (Eversource MA),IOU,ConnectedSolutions - Smart Thermostats (Mass Save),DR-BYOT,Residential;SmallC&I,Thermostat/AC;HeatPump,Opt-in,one-time enrollment incentive + annual per-thermostat reward,$50 enrollment ($100 on low-income R-2 rate) + $20/yr per thermostat on central AC/heat pump,~15 events/summer; 2-3 hr; 3-8pm non-holiday weekdays Jun 1-Sep 30; max +4F offset; customer can opt out,,3-8pm weekdays Jun-Sep,,,No,Unknown,Active,https://www.masssave.com/residential/rebates-offers-services/connectedsolutions/connectedsolutions-thermostat,2026-09-26,Primary
