utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
Upper Peninsula Power Company (UPPCO),MI,MISO,nem_aggregate_cap;aggregate_cap_status;export_credit_basis;credit_rollover,"UPPCO Rate Book #8, Distributed Generation Rider (DG), Sheets D-72.80 to D-72.85, eff. 03-13-25 (MPSC Case U-21791). Legacy Net Metering (tariffs PG-NM, PG-2, PG-3) closed to new customers; legacy participants may continue for 10 years from original participation date (MCL 460.1183; MCL 460.6a(14)), then must transition to DG Rider. Combined Net Metering + DG Program size capped at discretionary 10.0% of UPPCO's average peak demand over past 5 years; at least 50% reserved for Category 1 (<=20kW) and not more than 50% for Category 2 (>20-550kW). Outflow credit (unlike DTE's LMP-based rate) carries forward indefinitely as a bill credit rather than cashing out monthly - 'Any excess credit not used will be carried forward to subsequent billing periods' - a deviation from the state-row's monthly-netting default.",20550,10% of average 5-yr peak demand (Category 1 >=5%; Category 2 <=5%),As of 2023 MPSC RE-DG report: Category 1 (<=20kW) 68% subscribed (2340 of 7290 kW allocated); Category 2 (>20-550kW) 99.2% subscribed (61 of ~61.6 kW allocated) - Category 2 nearly full.,Not published in rider text (credit value set by outflow metering, rate not stated in Rider D2 sheets reviewed),Not specified in sheets reviewed,150,Not specified in sheets reviewed,Not specified in sheets reviewed,Not specified in sheets reviewed,Not specified in sheets reviewed,Not specified in sheets reviewed,"Rider does not address battery storage explicitly in the sheets obtained (D-72.80 to D-72.82, D-72.85); sheets D-72.83/84 (Generator Interconnection Requirements, Metering Requirements) were not retrieved in full text - see gaps file. Termination for non-compliance requires 60 days' notice.",https://www.uppco.com/wp-content/uploads/2025/05/D.-Distributed-Generation-Rider_-DG-_-Apr-29-2025.pdf,2026-08-09,High
Lansing Board of Water & Light,MI,Not applicable (municipal, not RTO-member for retail; MISO balancing authority territory),all,"Municipal utility, not subject to MPSC MIXDG rules or PA 341/342 DG program - sets own Distributed Generation policy. Ended full 1:1 net metering 11/1/2022. Exported energy credited around 6-10 cents/kWh (varies); energy drawn from grid billed at full retail rate. Additional REC transfer incentive of ~1.3 cents/kWh for 5 years if customer sells RECs to BWL. Also offers up to $500/kW (capped $2000) residential solar installation rebate.",,,,,~6-10 cents/kWh export credit (varies by published rate schedule; exact current rate not confirmed from primary tariff document),,,,,,,,https://www.lbwl.com/installsolar,2026-08-09,Low
DTE Electric Co,MI,MISO,export_credit_basis;export_credit_value;standby_charge;nem_aggregate_cap;aggregate_cap_status,"Standard Contract Rider No. 18, Distributed Generation Program (M.P.S.C. No. 1 - Electric, Sheets D-111 to D-116, Case No. U-20162, orig. eff. May 2019; cap and sizing figures below reflect the 2019 baseline tariff and have not been independently re-verified against post-PA235 (2023) revised sheets - see gaps file). Full-service customers on non-time-based schedules credited for Outflow at the monthly average real-time LMP at the DTE Electric load node; credit offsets only power supply/PSCR charges, not delivery charges. Program also imposes a System Access Contribution (SAC) charge of $2.31/kW-AC/month (residential) or $2.28/kW-AC/month (secondary commercial, no demand charge) on DG Rider participants attached to secondary rate schedules - functions as a de facto standby/grid-access charge not present in the base state rule.",150,550,"1.0% of average in-state peak load (2019 baseline, pre-PA235); statewide DG cap raised to 10% by PA235 (2023) - DTE's current per-category cap not independently confirmed post-PA235",As of 2023 MPSC RE-DG report: DTE Electric 86% subscribed in <=20kW category (60130 of 435704 kW) and 97.4% subscribed in >20-550kW category (11165 of ~11467 kW) - >20kW category nearly full statewide-wide reporting predates full PA235 10% reallocation in some filings.,monthly average real-time LMP at DTE Electric load node (power-supply/PSCR component only; separate from state-row generic description),$50 (waived if transitioning from legacy Net Metering),,,,,"SAC charge: $2.31/kW-AC/month residential, $2.28/kW-AC/month secondary commercial (no demand charge), for DG Rider participants on secondary schedules",2340,3879 DG customers with battery storage totaling 14036 kW reported through 2023 (MPSC RE-DG report) - one of the largest storage-attached DG populations of any MI utility; storage integration with legacy NEM addressed at state level per R 460.920(5)(m) (utility-specific procedure required but does not by itself forfeit 10-yr grandfathering),https://www.michigan.gov/-/media/Project/Websites/mpsc/workgroups/dgpi/DTE_Proposed_Rider_18_DG_Tariff.pdf,2026-08-09,Medium
Consumers Energy Co,MI,MISO,nem_aggregate_cap;aggregate_cap_status,"Consumers Energy Distributed Generation program tariff follows MIXDG/PA235 statewide rules (10% aggregate cap, 550kW/110% sizing); DG program enrollment began 1/1/2021 (MPSC Case U-21124). Specific outflow credit rate (¢/kWh or LMP methodology) not independently confirmed from primary tariff sheet in this pass - see gaps file.",,550,10% of average 5-yr peak load per PA235 (state default),As of 2023 MPSC RE-DG report: Consumers Energy 81% subscribed in <=20kW category (70994 of 375680 kW) and 92.2% subscribed in >20-550kW category (29194 of ~31660 kW); reported by outside sources as at or very near the 10% cap by 2025-2026 (specific current % not independently confirmed).,,,,,,,,,"1394 DG customers with battery storage totaling 14036 kW reported through 2023 (MPSC RE-DG report), the largest residential-count storage-attached DG population in Michigan.",https://www.michigan.gov/mpsc/-/media/Project/Websites/mpsc/regulatory/reports/RE-DG/2024-RE-DG-Report.pdf,2026-08-09,Medium
Cloverland Electric Cooperative,MI,MISO,all,"Cooperative, not subject to MPSC net-metering/DG-rate rules (co-ops exempt from PA 341/342 rate provisions) but voluntarily follows the MIXDG interconnection Levels 1-5 (R 460.901-460.992) for the technical interconnection process. Cloverland's DER Standard Operating Procedures (CEC-SOP-23-03) credit Level 1/2 (<=150 kWAC) excess generation at the FULL RETAIL RATE (not an unbundled/avoided-cost/LMP rate) - a materially more favorable compensation basis than the DTE/Consumers unbundled-generation approach. Credit excludes fixed facility/demand charges. Net Excess Generation (NEG) credits carry forward indefinitely and do not expire (true indefinite rollover, unlike DTE's monthly-netting approach). Level 3-5 (>150kW) generation is separately negotiated or sold on the open market.",,150,,,full retail rate (excluding monthly facility charge),,,,,,,,"DER program does not separately break out storage-specific provisions in the SOP summary reviewed; disconnect switch required within 10 feet of meter, lockable, visible-break, accessible to Cloverland employees.",https://www.cloverland.com/energy-solutions/der/,2026-08-09,Medium
Great Lakes Energy Cooperative,MI,MISO,all,"Cooperative, not subject to MPSC net-metering/DG-rate rules; voluntarily reports DG program data to MPSC (3575 <=20kW-category and 525 >20kW-category installations as of 2023 MPSC RE-DG report, the largest cooperative DG population in Michigan). Specific outflow credit rate/compensation basis, cap, and storage provisions not independently confirmed from a primary tariff document in this research pass - see gaps file.",,,,3575 kW allocated in <=20kW category and 525 kW in >20-550kW category as of 2023 (MPSC RE-DG report); % of self-set cap not published in source reviewed.,,,,,,,,,,https://www.michigan.gov/mpsc/-/media/Project/Websites/mpsc/regulatory/reports/RE-DG/2024-RE-DG-Report.pdf,2026-08-09,Low
Traverse City Light & Power,MI,MISO,all,"Municipal utility, not subject to MPSC MIXDG rate rules. TCLP Net Metering Program (first-come-first-served, systemwide cap historically 760 kW) is transitioning to a 'net billing' system (board approved late 2024, effective ~March 2025) replacing 1:1 net metering for residential and commercial DER customers - exact new outflow credit rate not confirmed from a primary rate-tariff document in this pass. See gaps file.",,,760 kW systemwide cap (legacy Net Metering Program figure; status under new net billing program not confirmed),,,,,,,,,,,https://www.tclp.org/distribution-policies/,2026-08-09,Low
Indiana Michigan Power - Michigan,MI,PJM,export_credit_basis;credit_rollover;nem_aggregate_cap,"Follows MPSC statewide MIXDG/DG program rules (I&M enrolled in DG program 2/1/2020, MPSC Case U-20359). As of 2023 MPSC RE-DG report: 86% subscribed in <=20kW category (4498 of 32440 kW) and 96.3% subscribed in >20-550kW category (1201 of ~1247 kW, i.e. category nearly full). 102 DG customers reported with battery storage totaling 642 kW through 2023.",,550,10% of average 5-yr peak load (state default),<=20kW category 86% subscribed (4498/32440 kW); >20-550kW category 96.3% subscribed (1201 kW) as of 2023 MPSC RE-DG report - near-full in the larger-system category,,,,,,,,,102 customers with 642 kW combined battery storage reported through 2023 (MPSC RE-DG report) - notable storage-attachment rate relative to program size,https://www.michigan.gov/mpsc/-/media/Project/Websites/mpsc/regulatory/reports/RE-DG/2024-RE-DG-Report.pdf,2026-08-09,Medium
Upper Michigan Energy Resources (UMERC),MI,MISO,aggregate_cap_status,"Follows MPSC statewide MIXDG/DG program rules; UMERC enrolled in DG program 1/1/2025 (MPSC Case U-21541), the most recent utility to establish its first DG program rate under the post-PA235 framework. As of 2023 report (pre-dating UMERC's own DG rate order): 96% subscribed in <=20kW category (580 of 14610 kW) and 99% subscribed in >20-550kW category (142 of ~143.5 kW) - both categories effectively full.",,550,10% of average 5-yr peak load (state default),"<=20kW category 96% subscribed; >20-550kW category 99% subscribed as of 2023 MPSC RE-DG report - both categories effectively at capacity, making new UMERC interconnections likely queue-limited",,,,,,,,,,https://www.michigan.gov/mpsc/-/media/Project/Websites/mpsc/regulatory/reports/RE-DG/2024-RE-DG-Report.pdf,2026-08-09,Medium
Holland Board of Public Works,MI,MISO,all,"Municipal utility, not subject to MPSC MIXDG rate rules; sets own Distributed Generation program. Customer billed on total inflow at applicable rate, minus outflow credits for exported energy. All outflow credited at HBPW's own 'Distributed Energy Value' (rate not published in source reviewed), which can offset energy, delivery, capacity, and readiness-to-serve charges (broader offset than DTE/Consumers, which restrict credit to power-supply-only). No rollover: 'No generated outflow credits are granted toward future billings' - excess outflow in a given period is NOT banked, a meaningful deviation from state-row treatment. Legacy Net Metering customers (enrolled, or application received before 7/1/2019) grandfathered at prior net-metering rates for 10 years from initial application date.",,,,,Distributed Energy Value (specific ¢/kWh rate not published in source reviewed),,,,,,,,,https://hollandbpw.com/en/distributed-generation,2026-08-09,Medium
