rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
NYISO-market,multi,New York Independent System Operator,RTO,DER and Aggregation Participation Model - Energy (LBMP),Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;EV/EVSE;Any,Opt-in,$/MWh Day-Ahead and Real-Time LBMP settled at the Aggregation's Transmission Node; dispatch-only (no start-up/commitment parameters),,Min 10 kW per individual DER asset (Services Tariff 4.1.10.1); max Injection Limit 20 MW per facility; six-second real-time telemetry required for each Aggregation plus hourly revenue-quality meter data by noon next business day; Aggregator must be reachable 24x7 for verbal real-time operations; Demand Reductions below the Monthly Net Benefit Threshold are not eligible for energy payments unless dispatched for reliability,"Services Tariff Sections 4.1.10, 4.5.2, 4.5.7, 17; Aggregation Manual Sections 2.2.1, 6.1.10, 6.2",,,Settled at Transmission Node LBMP; withdrawals by Withdrawal-Eligible Generators treated as negative generation,Yes,ICAP market participation (required to also be in Energy market); NOT stackable with SCR or EDRP - a Resource may not simultaneously be a DER in an Aggregation and an SCR/EDRP Resource (Aggregation Manual 4.3.2); dual participation with utility CSRP/DLRP/DLM permitted with notice,Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,DER and Aggregation Participation Model - Installed Capacity (ICAP) Supplier,Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;Any,Opt-in,"$/kW-month UCAP sold into Strip, Monthly and ICAP Spot Market auctions; UCAP = Aggregation ICAP x Capacity Accreditation Factor x derating factor",,"Aggregation must submit DMNC test data per season; at least one DER in the Aggregation must be participating in the capacity market; ICAP participation requires simultaneous Energy market participation; new ICAP suppliers must run one month in the Energy market first; ICAP Suppliers must bid the ICAP-equivalent of UCAP sold into the Day-Ahead Market every hour (or schedule a bilateral, or notify NYISO of an outage); two-year outage schedule required at enrollment","Services Tariff Sections 5.12.1.3, 5.12.3, 5.12.7, 5.12.13.1; ICAP Manual Sections 4.2, 4.3, 4.8; ICAP Manual Attachment J Sections 3.0 and 6.9; Aggregation Manual Section 2.2.5",,,,Yes,ICAP + Energy + Ancillary Services simultaneously; NOT stackable with SCR (an SCR must separate in DRIS before transitioning; a DER that exits must give notice by Aug 1 and can only rejoin SCR the following May 1),Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,DER and Aggregation Participation Model - Ancillary Services (Regulation and Operating Reserves),Wholesale-Market,SmallC&I;LargeC&I,Battery;Solar+Storage;Generator;GeneralLoad,Opt-in,"$/MWh market clearing price for Regulation Capacity/Movement and for 10-Minute Spinning, 10-Minute Non-Synchronized, 30-Minute Synchronized and 30-Minute Non-Synchronized Reserves",,Under current (pre-Order-2222) rules every individual DER in the Aggregation must itself be capable of the service offered - the Aggregation can only offer the lowest-quality product common to all its members (Aggregation Manual 2.2.4); Aggregations providing reserves or regulation must bid self-committed flexible; self-committed fixed and ISO-committed fixed bid modes are ineligible for Operating Reserves; new reserve Aggregations verify performance during the first two weeks of the first active month rather than prequalifying,Services Tariff Section 15.4.1.2.4 and Rate Schedule 4; Aggregation Manual Section 2.2.4; Ancillary Services Manual Section 6.12.2,,,,Yes,Energy + ICAP + Ancillary Services can be provided by the same Aggregation; the all-members-capable restriction is scheduled to change with NYISO's Order 2222 implementation,Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Dual Participation - NYISO Aggregation plus utility DR program (CSRP / DLRP / DLM),Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;Any,Opt-in,No separate payment - this is the rule permitting a DER to earn both NYISO market revenue and utility DR program revenue,,"PERMITTED. An Aggregation containing DER that also participate in programs meeting distribution-system needs in the NYCA must notify NYISO of dual participation at enrollment (Market Participant User's Guide Section 1.2); the Aggregation's NYISO offers must be constructed so the Aggregation is scheduled by NYISO whenever it operates to meet the non-wholesale commitment (Services Tariff 4.1.11). NYISO confirms CSRP, DLRP and DLM are covered by this categorization. Dual-participation requirements are scheduled to change when NYISO implements its Order 2222-compliant tariff (targeted end of 2026)",Services Tariff Section 4.1.11; Market Participant User's Guide Section 1.2,,,,Yes,Con Edison CSRP; Con Edison DLRP; Joint Utilities Dynamic Load Management (DLM); NOT stackable with NYISO SCR or EDRP,Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,DER Aggregation - Telemetry and Metering Requirements,Interconnection,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;Any,Opt-in,"Cost gate, not a revenue stream",,"Six-second real-time telemetry (a meter read every six seconds) required for each Aggregation, plus hourly revenue-quality meter data. Four telemetry channels required regardless of composition: Energy injections, Energy withdrawals, Demand Reductions, and total response MW (zeros for non-applicable channels), plus a point for actual Aggregation load. NYISO sends Base Point Signals to the Aggregation, not to individual DER. End-to-End Communication Testing among Aggregator control center, Member System (TO) and NYISO required for every new Aggregation enrollment; adding a DER to an existing Aggregation does not require re-testing. Meter Authority must be an authorized Meter Services Entity, the municipal utility, or the Member System","Services Tariff Sections 4.1.10.4, 13, 13.3.2, 13.3.2.1; Aggregation Manual Section 7.3; Revenue Metering Requirements Manual; Accounting and Billing Manual Section 3.2.1",,,,Yes,"Applies to all Aggregation market participation (Energy, AS, ICAP)",Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Energy Storage Resource (ESR) in an Aggregation - retail-rate charging (Order 841),Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage,Opt-in,Charging energy purchased at the applicable retail rate rather than wholesale LBMP,,"Aggregations containing withdrawal-capable DER (Energy Storage Resources) may withdraw energy at retail rates per FERC Order No. 841; the Aggregation must supply the LSE PTID of the relevant retail authority for settlement. An Aggregation may be a Single Resource Type Aggregation of only ESRs, or a heterogeneous DER Aggregation mixing ESR, Intermittent Power Resources and Demand Side Resources",Services Tariff Section 7.2.8,,,,Yes,Energy arbitrage + ICAP + Ancillary Services from the same ESR Aggregation,Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Behind-the-Meter Net Generation (BTM:NG) Resource - exclusion from DER model,Wholesale-Market,LargeC&I,Generator;Solar+Storage;Battery,Opt-in,Participates as a BTM:NG Resource rather than as a DER; not eligible for the Aggregation model,,"A BTM:NG Resource routinely serves its host load from an on-site generation source, which precludes it from the DER participation model. A BTM:NG Resource that converts to a DER must thereafter routinely serve its host load by withdrawing from the grid rather than from on-site generation",Aggregation Manual Section 4.3.3,,,,Yes-restricted,Not stackable with the DER Aggregation model,Active,https://www.nyiso.com/documents/20142/49802416/DER-and-Aggregation-Participation-Model-FAQ.pdf/967117fb-8bbb-1916-651a-0f9dbe904780,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Installed Capacity - Special Case Resources (ICAP-SCR),Wholesale-Market,SmallC&I;LargeC&I,GeneralLoad;Generator;Battery;Solar+Storage,Opt-in,Monthly $/kW-month UCAP capacity payment from ICAP auctions plus per-event energy payment at LBMP with a daily Minimum Payment Nomination (strike price) guarantee,Capacity: monthly UCAP price from the ICAP Spot Market Auction for the resource's Load Zone (see per-zone price rows). Energy: real-time zonal LBMP with a daily guarantee of Minimum Payment Nomination recovery and a guaranteed four-hour minimum payment period,Minimum 100 kW load reduction in aggregate by Load Zone; mandatory performance for a minimum of four hours when NYISO calls a reliability event; day-ahead advisory plus 2-hour in-day notice; SCRs activated before EDRP resources; must demonstrate maximum capacity obligation in each Capability Period (test or event at least once every six months); all SCRs carry a 4-hour duration requirement and are accredited commensurate with other four-hour resources; event/test meter data due within 75 days; failure to respond derates the resource and reduces future UCAP payments,"Services Tariff Sections 5.12.11, 5.12.13.1; ICAP Manual Section 4.12; Emergency Demand Response Program Manual (Manual 7)",,,,Yes-restricted,May enroll simultaneously in ONE reliability-based program (SCR or EDRP) and ONE economic-based program (DADRP or DSASP); SCR energy payments are netted against any concurrent DADRP/DSASP payments and only reduction above the DADRP/DSASP schedule earns SCR energy payment (EDRP Manual 5.4.2). NOT stackable with the DER and Aggregation participation model - a Resource cannot be both an SCR and a DER at the same time,Active,https://www.nyiso.com/documents/20142/3037451/9-Demand-Response.pdf,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Emergency Demand Response Program (EDRP),Wholesale-Market,SmallC&I;LargeC&I,GeneralLoad;Generator,Opt-in,$/MWh energy-only payment for verified load reduction during a NYISO-called reliability event; no capacity payment,"Greater of the real-time zonal LBMP or $500/MWh, with a guaranteed four-hour minimum payment period",Minimum 100 kW load reduction; participation in any event is VOLUNTARY and there are no non-performance penalties; 2-hour in-day event notice; EDRP resources are activated after SCR resources; hourly interval metering required; event meter data due within 75 days; no capacity payment,"Services Tariff Attachment G Section 22.10; Emergency Demand Response Program Manual (Manual 7) Sections 2.2, 4.3, 5.4.2",,,,Yes-restricted,One reliability program (EDRP or SCR) may be combined with one economic program (DADRP or DSASP); EDRP energy payment is reduced by any concurrent DADRP/DSASP payment (EDRP Manual 5.4.2). NOT stackable with the DER and Aggregation participation model,Active,https://www.nyiso.com/documents/20142/3037451/9-Demand-Response.pdf,2026-09-10,Primary
NYISO-market,multi,New York Independent System Operator,RTO,Day-Ahead Demand Response Program (DADRP),Wholesale-Market,LargeC&I,GeneralLoad;Generator,Opt-in,$/MWh Day-Ahead LBMP for scheduled load reduction plus a daily Curtailment Initiation Cost guarantee,Day-Ahead LBMP times the lesser of actual or Day-Ahead scheduled load reduction; plus Curtailment Initiation Cost paid on a daily basis where applicable,Minimum 1 MW reduction in aggregate by Load Zone and LSE; offers must be at or above the Monthly Net Benefit Offer Floor (MNBT); accepted offers notified by 11:00 a.m. for the next day midnight-to-midnight; response is MANDATORY when scheduled and penalties may apply if scheduled curtailment does not physically occur; hourly interval metering; CBL baseline (highest five of last ten like days); economic schedule meter data due within 55 days; no capacity payment; no real-time schedule,Day-Ahead Demand Response Program Manual (Manual 5); Technical Bulletin 245 (MNBT),,,,Unclear,One economic program (DADRP or DSASP) may be combined with one reliability program (SCR or EDRP). NOT stackable with the DER and Aggregation participation model,Active,https://www.nyiso.com/documents/20142/3037451/9-Demand-Response.pdf,2026-09-10,Primary
