utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
Virginia Electric & Power Co (Dominion Energy Virginia),VA,PJM,nem_cap_nonres_kw;export_credit_value;credit_rollover;annual_true_up;ic_application_fee;standby_charge;standby_threshold_kw,"Dominion's residential/small-C&I tariff sub-caps nonresidential systems at 1 MW (below the 3 MW statewide statutory ceiling). Following the SCC's April 30, 2026 final order (Case No. PUR-2025-00079), Dominion is rolling out a 'NEM 2.0' tariff for customers who interconnect after the order's effective date: 1:1 kWh crediting and 12-month (annual) netting are preserved, but the year-end net-excess-generation cash-out rate rises to $0.05829/kWh (includes a new $0.01/kWh credit for avoided RPS/REC compliance cost) and a $1/month administrative fee applies. The SCC rejected Dominion's proposed $100-750 application fee and its proposed 30-minute netting/dollar-based interval crediting. Pre-order NEM 1.0 customers remain grandfathered indefinitely and may switch to NEM 2.0 only if it becomes more favorable to them. Low-income customers may choose whichever tariff (legacy or NEM 2.0) is more favorable. Separately, the SCC-authorized standby charge threshold rises from 15 kW AC to 20 kW AC effective 7/1/2026 under HB 1255.",25,1000,6% of prior-year peak load statewide; Dominion-specific current subscription level not published in sources reviewed,Not published,"Legacy (NEM 1.0): year-end excess at avoided cost (~3.5c/kWh, last published 2019 figure); NEM 2.0 (new interconnections after ~mid-2026): $0.05829/kWh year-end excess cash-out, effective per April 30, 2026 SCC order",$0 application fee (SCC rejected Dominion's proposed $100-750 fee); $1/month administrative fee applies to NEM 2.0 customers only,Not published as a distinct kW threshold beyond standard Level 1/2/3 SGF review tiers,Required per Dominion Terms and Conditions Section XXV for net-metered generating facilities,Not published in sources reviewed,Yes-but-not-credited (grid-charged battery discharge is not distinguished from PV export in metering; Off-Peak Plan customers have export credited at the on/off/super-off-peak rate of the interval generated),"$2.79/kW distribution + $1.40/kW transmission standby charge per month on Schedules 1/1G (approx.); $4.19/kW distribution + $1.32/kW transmission on Schedule 1S; charge is based on the customer's peak monthly kW pulled from the grid, not on generation",20 kW AC effective 7/1/2026 (raised from 15 kW AC under HB 1255; was 10 kW AC 2011-earlier revision),"Adding a battery to an existing net-metered system does not by itself void grandfathering under the April 2026 SCC order language ('nothing...shall affect any eligible customer-generator...who interconnect before the effective date'), but any change in interconnected AC nameplate capacity requires a new interconnection application per company practice, and if the resulting aggregate AC capacity crosses the 15/20 kW standby-charge threshold it will newly trigger the standby charge — this specific battery-retrofit scenario is not explicitly addressed in Dominion's public net metering materials and should be confirmed directly with the company (flagged in gaps file). AC-coupled vs DC-coupled battery treatment and metering configuration requirements are not detailed in sources reviewed.",https://www.virtuesolar.com/2026/05/05/net-metering-protected-in-virginia-sccs-final-ruling-on-dominions-nem-2-0/,2026-08-09,High
Appalachian Power Co (AEP - Virginia),VA,PJM,standby_charge;export_credit_value,"SCC Final Order (Aug. 29, 2025) largely rejected APCo's proposed net metering overhaul. APCo had sought to cut net-excess-generation compensation by ~70% (from ~8c/kWh to as low as 4.7c/kWh) and to add new grid-connection/standby charges; the SCC rejected the standby charge entirely and rejected switching from 12-month to hourly netting. Full retail 1:1 credit for self-consumed solar within the 12-month banking period is preserved. Net excess generation (true excess beyond annual consumption) is now compensated at a rate that includes REC value and exceeds the prior default PJM LMP-based avoided-cost rate. The 6% aggregate cap was retained (APCo had sought a reduction).",25,,6% of prior-year peak load (state default; APCo-specific subscription level not published in sources reviewed),Not published,"Net excess generation (annual true-up) compensated at avoided-cost/PJM LMP-based rate plus REC value, now higher than the prior straight avoided-cost figure (~3.5c/kWh, 2019); full retail 1:1 credit preserved for self-consumed generation",Not published,Not published,Not published,Not published,Yes-but-not-credited,"None — the SCC's August 29, 2025 order explicitly rejected APCo's proposed standby/grid-connection charge; monthly Basic (customer) charge remains $7.96/month, unchanged by the order",Not applicable (no standby charge in APCo Virginia territory as of the 2025 order),"Not directly addressed in sources reviewed for the battery-retrofit/grandfathering question; APCo's standard Net Metering Terms and Conditions state system sizing must not exceed annual usage to retain rollover eligibility, so a battery addition that increases interconnected AC capacity could still trigger a new interconnection review even though no standby charge exists in APCo territory.",https://www.virtuesolar.com/2025/09/10/victory-for-virginia-solar-apco-net-metering-preserved/,2026-08-09,High
Appalachian Power Co (AEP - West Virginia),WV,PJM,nem_status;export_credit_value;credit_rollover,"Following the PSC's August 2025 base rate case order, AEP-WV ended 1:1 retail net metering for new customers. Customers whose net metering interconnection APPLICATION was submitted on or before February 28, 2026 are grandfathered onto full 1:1 retail crediting. Customers who apply after that date are subject to a fixed export credit of approximately 12.4 cents/kWh (67-75% of full retail rate, roughly a 27% cut from the effective 1:1 value) instead of 1:1 crediting. The PSC granted APCo/Wheeling Power customers a full extra year of grandfathering runway beyond what the company originally requested.",25,500 (commercial) / 2000 (industrial),3% of aggregate WV peak demand (state default; 0.5% reserved for residential); AEP-WV-specific subscription level not published in sources reviewed,Not published,~12.4 cents/kWh fixed export credit for new (post-grandfathering-deadline) customers; 1:1 full retail for customers who applied by 2/28/2026,"$30 (Level 1, <=25 kW); $50 + $1/kW (Level 2)",Level 2 required for systems not meeting Level 1 criteria (effectively >25 kW or non-UL-1741-SB-certified equipment),"Required — labeled, lockable, visible load-break disconnect required outside near the utility meter per AEP TIIR",Not published in sources reviewed,Unclear,None identified — the 2025 PSC order restructured the export credit rate rather than adding a distinct standby/demand charge,Not applicable,"Not directly addressed in sources reviewed; because grandfathering is keyed to interconnection APPLICATION DATE rather than a system-composition test, adding a battery to an already-grandfathered (pre-2/28/2026) system likely does not by itself forfeit 1:1 status, but this is not explicitly confirmed by AEP-WV public materials and should be verified directly (flagged in gaps file).",https://www.solarholler.com/2025/12/19/final-sprint-absolute-last-call-for-grandfathering-into-full-1-to-1-net-metering-in-aep-wv/,2026-08-09,Medium
Wheeling Power Co (AEP - West Virginia),WV,PJM,nem_status;export_credit_value;credit_rollover,"Wheeling Power is a party to the same joint PSC base-rate/net-metering case as Appalachian Power Co (AEP-WV), decided August 2025. Same grandfathering mechanics apply: customers whose net metering interconnection application was submitted by February 28, 2026 retain full 1:1 retail crediting; later applicants receive the fixed ~12.4 cents/kWh export credit (67-75% of full retail rate). Wheeling Power's WV service territory is limited to the Wheeling/Ohio County area.",25,500 (commercial) / 2000 (industrial),3% of aggregate WV peak demand (state default; 0.5% reserved for residential); Wheeling-Power-specific subscription level not published in sources reviewed,Not published,~12.4 cents/kWh fixed export credit for new (post-grandfathering-deadline) customers; 1:1 full retail for customers who applied by 2/28/2026,"$30 (Level 1, <=25 kW); $50 + $1/kW (Level 2)",Level 2 required for systems not meeting Level 1 criteria,"Required — labeled, lockable, visible load-break disconnect required outside near the utility meter per AEP TIIR",Not published in sources reviewed,Unclear,None identified — same as AEP-WV; export credit rate restructured rather than a separate standby charge,Not applicable,Same as AEP-WV: grandfathering keyed to interconnection application date; battery-addition-to-existing-system treatment not explicitly confirmed in public materials (flagged in gaps file).,https://www.newsandsentinel.com/news/business/2025/08/psc-approves-appalachian-power-wheeling-power-rate-increase-that-doesnt-burden-customers/,2026-08-09,Medium
Monongahela Power Co (FirstEnergy - West Virginia),WV,PJM,nem_status;export_credit_value,"Per the Feb. 16, 2024 PSC-approved settlement (effective March 27, 2024) resolving the companies' net-energy-metering base-rate case: customers who were net metering customers BEFORE the settlement's cutover are grandfathered onto full 1:1 retail bill offset for 25 years. New NEM customers interconnecting ON OR AFTER January 1, 2025 receive fixed credit rates instead of 1:1: 9.34 cents/kWh (residential, schools, churches, general service), 9.15 cents/kWh (large general service), 8.91 cents/kWh (large power/alternative generation). These new-customer rates are fixed for 2025-2026 and subject to renegotiation in the companies' 2026 ENEC (Expanded Net Energy Cost) case. Excess is credited only against the energy portion of the bill, not fixed/demand charges.",25,500 (commercial) / 2000 (industrial),3% of aggregate WV peak demand (state default; Mon Power-specific subscription level not published in sources reviewed),Not published,"New customers (on/after 1/1/2025): 9.34c/kWh (residential/schools/churches/general service), 9.15c/kWh (large general service), 8.91c/kWh (large power/alternative generation); legacy/grandfathered customers: 1:1 full retail for 25 years from settlement effective date",Not published in sources reviewed,Not published in sources reviewed,Not published in sources reviewed,Not published in sources reviewed,Unclear,None identified in sources reviewed — settlement restructured the export credit rate itself rather than adding a standby charge,Not applicable,"Grandfathering (1:1 for 25 years) is tied to being an EXISTING net metering customer as of the March 27, 2024 settlement cutover, not to system composition; whether adding a battery to an existing grandfathered system requires a new interconnection application that could jeopardize the 25-year grandfathering is not explicitly addressed in sources reviewed (flagged in gaps file).",https://www.dominionpost.com/2024/03/27/psc-approves-reduced-mon-power-potomac-edison-base-rate-hike-compromise-net-metering-credit-achieved-in-settlements/,2026-08-09,High
Potomac Edison Co (FirstEnergy - West Virginia),WV,PJM,nem_status;export_credit_value,"Identical settlement terms to Monongahela Power (same joint 2024 PSC case, same company parent FirstEnergy): customers who were net metering customers before the March 27, 2024 settlement cutover are grandfathered onto full 1:1 retail bill offset for 25 years. New NEM customers interconnecting on/after January 1, 2025 receive fixed credit rates: 9.34 cents/kWh (residential/schools/churches/general service), 9.15 cents/kWh (large general service), 8.91 cents/kWh (large power/alternative generation), fixed for 2025-2026 and subject to renegotiation in the 2026 ENEC case. Excess credited only against the energy portion of the bill.",25,500 (commercial) / 2000 (industrial),3% of aggregate WV peak demand (state default; Potomac Edison-WV-specific subscription level not published in sources reviewed),Not published,"New customers (on/after 1/1/2025): 9.34c/kWh (residential/schools/churches/general service), 9.15c/kWh (large general service), 8.91c/kWh (large power/alternative generation); legacy/grandfathered customers: 1:1 full retail for 25 years from settlement effective date",Not published in sources reviewed,Not published in sources reviewed,Not published in sources reviewed,Not published in sources reviewed,Unclear,None identified in sources reviewed,Not applicable,"Same as Monongahela Power: grandfathering tied to being an existing customer as of 3/27/2024, not to system composition; battery-addition impact on grandfathering not explicitly addressed in sources reviewed (flagged in gaps file).",https://www.dominionpost.com/2024/03/27/psc-approves-reduced-mon-power-potomac-edison-base-rate-hike-compromise-net-metering-credit-achieved-in-settlements/,2026-08-09,High
Northern Virginia Electric Cooperative (NOVEC),VA,PJM,all,"NOVEC is an electric cooperative and operates net metering under Va. Code § 56-594.01 (separate from the IOU statute) via its NEM-10 rider, not under SCC IOU net metering rules directly. Program active since 2003. Individual system cap: 20 kW AC residential, up to 1 MW nonresidential. Program-wide aggregate cap: 2.0% of NOVEC's system peak load for residential and nonjurisdictional/nonprofit customers, 1.0% of system peak for other nonresidential customers (statewide co-op default under § 56-594.01). Exact credit rate, true-up mechanics, and current subscription level are not published in detail on NOVEC's public materials.",20,1000,2% of NOVEC system peak (residential/nonjurisdictional); 1% of system peak (other nonresidential),Not published,Not published in detail on public page,Not published,Not published,Not published,Not published,Unclear,Unknown — not addressed in public materials reviewed,Not applicable (no standby charge identified for NOVEC),"Not addressed in NOVEC's public net metering materials reviewed; NOVEC does separately offer an EV-1 time-of-use rate applied to whole-home usage, described as not applicable to net metering (billed under a separate rider).",https://www.novec.com/Environment/Renewable-Generation.cfm,2026-08-09,Low
Rappahannock Electric Cooperative,VA,PJM,all,"REC operates net metering under its Net Energy Metering Rider (2023) pursuant to Va. Code § 56-594.01 (co-op-specific statute). Individual system cap: 20 kW AC residential, 1,000 kW AC nonresidential; system may not be sized to produce more than 100% of the customer's trailing 12-month usage. 1:1 kWh credit with indefinite monthly rollover of banked credits. After 12 months on the program, customers may optionally elect a Power Purchase Agreement (PPA) that buys out banked excess kWh at REC's avoided wholesale cost (roughly 30-40% of retail rate), zeroing the bank. REC also offers a separate Community Solar Rider (SSR) sold in 50 kWh blocks, available to any residential member regardless of net metering status. REC's TOU rate (Schedule A-1-TOU) is explicitly NOT available to net metering customers.",20,1000,"Program-wide aggregate limited by rate class; residential aggregate approximately 5.4% of REC's system peak load remaining as of August 2026 (self-reported, not independently verified)",~5.4% of residential program headroom remaining as of Aug. 2026 (per REC public reporting),1:1 retail credit during banking; optional PPA buyout of excess after 12 months at ~30-40% of retail (avoided wholesale cost),Not published,Not published,"Required — external disconnect language present in REC interconnection materials, exact spec not detailed in sources reviewed",Not published,Unclear,Unknown — not addressed in public materials reviewed for battery-specific treatment,Not applicable (no standby charge identified for REC),"Not directly addressed in REC's public Net Metering Rider materials reviewed; battery addition to an existing net-metered system not explicitly discussed (flagged in gaps file). REC's Schedule A-1-TOU rate is explicitly incompatible with net metering, which matters for storage+TOU-arbitrage designs.",https://www.myrec.coop/net-metering,2026-08-09,Medium
Shenandoah Valley Electric Cooperative,VA,PJM,all,"SVEC operates residential net metering under Va. Code § 56-594.01 with a cap of the LESSER of 20 kW AC (for systems installed on/after 7/1/2015) or the customer's expected annual consumption based on trailing 12-month billing history. Liability insurance required: $100,000 for systems <=10 kW, $300,000 for systems >10 kW. 1:1 volumetric credit netted against consumption; exact true-up/rollover mechanics not published in detail on SVEC's public page (governed by the VA SCC's co-op net metering order). SVEC notes that Dominion's net metering rules do NOT apply within SVEC's territory — SVEC sets its own terms under the co-op statute.",20,Not published,Not published in detail on public page,Not published,Not published in detail on public page,Not published,Not published,"Insurance required in lieu of disconnect specification: $100,000 (<=10 kW) / $300,000 (>10 kW)",Not published,Unclear,Unknown — not addressed in public materials reviewed,Not applicable (no standby charge identified for SVEC),Not addressed in SVEC's public net metering materials reviewed (flagged in gaps file). SVEC separately offers a Renewable Energy Option Rider R and Community Solar program alongside net metering.,https://www.svec.coop/energy-solutions/solar-net-metering/residential-net-metering/,2026-08-09,Medium
Central Virginia Electric Cooperative,VA,PJM,all,"CVEC operates net metering under Schedule NEM-10 pursuant to Va. Code § 56-594.01. Individual system cap: 20 kW AC residential, 1 MW nonresidential. No application fee; $50 inspection fee. Insurance required: $100,000 for systems <=10 kW, $300,000 for systems >10-20 kW residential. 1:1 volumetric credit with monthly rollover of excess. Aggregate NEM-10 program cap (as of 4/15/2025): Residential 11,425 kW total allocation with 35% remaining headroom; Commercial 2,856 kW total with 75.4% remaining; Nonprofit/non-jurisdictional 5,712 kW total with 65% remaining. CVEC also offers a Solar Share community solar program under a separate SCC-approved Community Solar Order, which does NOT require combination with net metering.",20,1000,"Residential 11,425 kW (35% remaining as of 4/15/2025); Commercial 2,856 kW (75.4% remaining); Nonprofit/non-jurisdictional 5,712 kW (65% remaining)","Residential 35% headroom remaining, Commercial 75.4% remaining, Nonprofit 65% remaining, all as of 4/15/2025",1:1 retail credit,$0 application fee; $50 inspection fee,Not published,Not published,Not published,Unclear,Unknown — not addressed in public materials reviewed,Not applicable (no standby charge identified for CVEC),"Not addressed in CVEC's public net metering materials reviewed (flagged in gaps file). CVEC's Solar Share community solar program is explicitly NOT required to combine with net metering, giving members an alternative path.",https://www.mycvec.com/save-energy-money/net-metering/,2026-08-09,High
