utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
"Duke Energy Carolinas, LLC",NC,SERC-nonRTO,export_credit_value;standby_charge;nem_aggregate_cap;storage_specific_notes,"Follows NC state row (it is built from the DEC/DEP compliance tariffs). DEC-specific values: Rider NMB (Leaf 143) and Rider RSC (Leaf 141, requires R-TOU-CPP) NEEC 3.35 c/kWh; NBC $0.28/kW-month on nameplate (kW DC solar); RSC grid access fee $2.05/kW above 15 kW; minimum bill $22 (customer+distribution portion) on both; NMB annual caps 14,500/31,900/35,100/38,700 kW AC for 2023-2026, closed 1/1/2027. Legacy Rider NM (Leaf 72) residential participants must move to NMB or another rider by 1/1/2027. PowerPair battery incentive requires NMB or RSC.",20 kW AC (<= max monthly demand),,"Rider NMB annual enrollment caps (kW AC): 2023 14,500; 2024 31,900; 2025 35,100; 2026 38,700",Not verified (no public NMB subscription report found),"3.35 c/kWh NEEC (NMB and RSC, compliance tariff eff. July 2023; later updates not checked)",,,,,No - NMB/RSC/NM admit only storage 'configured to receive electrical charge solely from onsite renewable energy generation',NBC $0.28/kW-mo; RSC Grid Access Fee $2.05/kW-mo above 15 kW; $22 minimum bill,15,"Battery must charge solely from onsite renewables to stay on NM/NMB/RSC. Battery retrofit: customer must notify Nameplate Capacity change in writing within 60 days; Bridge Rate Period is 15 yrs from 'submission date of the applicable interconnection application' - whether a battery interconnection application restarts or preserves the term, or forces RSC, is not stated (Unclear). Legacy NM ends 12/31/2026 for all residential anyway. NCIP 1.5.2 treats added DC-side storage as not a Material Modification when output profile is unchanged. Nameplate for NBC/GAF is kW DC for solar or kW AC for non-solar - battery kW treatment not stated.",https://starw1.ncuc.gov/NCUC/ViewFile.aspx?Id=96a20840-2be3-4ea5-8e75-4310c40c6d96,2026-09-26,Primary
"Duke Energy Progress, LLC",NC,SERC-nonRTO,export_credit_value;standby_charge;nem_aggregate_cap;storage_specific_notes,"Follows NC state row. DEP-specific values: Rider NMB-1 and RSC-2 NEEC 3.40 c/kWh; NBC $0.62/kW-month; RSC grid access fee $1.50/kW above 15 kW; minimum bill $22 (NMB) / $28 (RSC, requires R-TOU-CPP); LIEAP/CIP recipients with <=8 kW DC exempt from NMB minimum bill; NMB annual caps 16,350/35,900/39,500/43,500 kW AC for 2023-2026, closed 1/1/2027. Legacy Rider NM-5 (lesser of max annual demand or 1,000 kW; standby waived for residential and GS <=100 kW) closed to new residential; transfer by 1/1/2027. DEP PowerPair reported at capacity mid-2026 (program chunk).",20 kW AC (<= max monthly demand),1000 kW (legacy NM-5),"Rider NMB annual enrollment caps (kW AC): 2023 16,350; 2024 35,900; 2025 39,500; 2026 43,500",Not verified,"3.40 c/kWh NEEC (NMB-1 and RSC-2, compliance tariff eff. July 2023; later updates not checked)",,,,,No - NMB-1/RSC-2 admit only storage 'configured to receive electrical charge solely from onsite renewable energy generation',NBC $0.62/kW-mo; RSC Grid Access Fee $1.50/kW-mo above 15 kW; minimum bill $22 (NMB) / $28 (RSC),15,Same storage rules as DEC: renewable-only charging; 60-day written notice of Nameplate Capacity changes; no rider language on whether a battery addition restarts the 15-yr NMB term or forces RSC (Unclear).,https://starw1.ncuc.gov/NCUC/ViewFile.aspx?Id=96a20840-2be3-4ea5-8e75-4310c40c6d96,2026-09-26,Primary
"Duke Energy Carolinas, LLC",SC,SERC-nonRTO,export_credit_value;nem_successor;standby_charge;storage_specific_notes,"Follows SC state row (Act 62). DEC SC: Rider RSC (Leaf 136, requires R-STOU; per-TOU-period netting, CPP exports netted against On-Peak; net excess $0.0397/kWh; NBC on nameplate; minimum bill = Basic Facilities Charge + rate minimum). New Rider NMT (Leaf 138, Order 2025-453, eff. 1/1/2026) for legacy RNM/IRSC customers: any residential rate, monthly netting with excess at 4.19 c/kWh, NMT for up to 10 yrs from NMT Start Date (1/1/2026 for pre-5/16/2019 applications, ending 12/31/2035; 6/1/2029 for later applications, ending 5/31/2039), then Rider RSC; enrollment window 6 months before to 12 months after NMT Start. NMT NBC: base $0.00/kW; rider NBC $0.45/kW for applications on/after 6/1/2021; minimum customer & distribution charge $10.",20 kW AC,,,,RSC $0.0397/kWh (eff. 1/1/2024); NMT 4.19 c/kWh (eff. 1/1/2026),,,,,No - customer-generator storage must be 'configured to receive electrical charge solely from an onsite renewable energy resource' (RSC and NMT),NBC per nameplate kW (NMT rider NBC $0.45/kW for apps on/after 6/1/2021); NMT $10 minimum customer & distribution charge,,"Battery retrofit on legacy/NMT: NMT dates are fixed by the 'original interconnection application date for the generation system, which may predate the current Customer's service', and Nameplate Capacity changes must be reported within 60 days - suggests a battery addition does not reset NMT dates, but not stated (Unclear). Battery must be renewable-charged only to stay on NMT/RSC. 20 kW AC cap covers 'installed generation system and equipment'.",https://etariff.psc.sc.gov/Uploads/tariffFile/ec070b41-9f5f-4c6f-a11a-480e0b73b559,2026-09-26,Primary
Dominion Energy South Carolina,SC,SERC-nonRTO,export_credit_basis;credit_rollover;annual_true_up;standby_charge;storage_specific_notes,"Solar Choice rider to Residential Rate 5 (Order 2021-391, eff. 6/1/2021; revision E2026-138 eff. 7/1/2026 accepted, not read): TOU Rate 5 required; excess kWh netted within on-/off-peak period and banked month to month by period; bank cashed out at avoided cost (Rate PR-1 off-peak winter energy credit) in November billing; minimum bill $13.50; minimum term 10 years; customer keeps RECs; customer must furnish a meter socket for a separate generation meter measuring 100% of generator output; not combinable with PR-1 or Act 236 DER programs. Legacy 2015 NEM rider (closed 8/12/2015, terminated 12/31/2020) barred batteries entirely.",20 kW AC,,,,kWh-for-kWh within same TOU period; unused November bank paid at PR-1 off-peak winter avoided energy credit (value not read),,,,,No - rider definition limits storage to a device 'configured to receive electrical charge solely from an onsite Renewable Energy Resource',Minimum bill $13.50/month,,Separate generation meter (customer-provided socket measuring 100% of generator output) is required - relevant to AC-coupled battery metering configuration (placement relative to battery not specified). Renewable-only charging required. Old 2015 net metering rider prohibited batteries outright; legacy (pre-6/1/2021) DESC NEM riders not reviewed for battery-retrofit treatment (Unclear). DESC also has a 'Rate PR - Storage' schedule (not read).,https://etariff.psc.sc.gov/Uploads/tariffFile/36cec7b8-fe00-411a-87a1-320edcf87331,2026-09-26,Primary
Georgia Power Company,GA,SERC-nonRTO,nem_cap_nonres_kw;ic_application_fee;ic_study_trigger_kw;non_export_option;storage_specific_notes,"GA state row is built from Georgia Power's RNR-11 and Rules and Regs. Deviations from the statutory floor: commercial RNR up to 250 kW AC (100-250 kW <=125% prior-year peak); Energy Offset Only (EOO) non-export agreement as default; $100 residential / $200 C&I interconnection fee; mandatory system impact study and witness testing at >=250 kW with IEEE 1547-2018 communications interface. RNR-Monthly Netting pilot (5,000 customers) closed, sunsets no later than 12/31/2038. Customer-Sited Solar Plus Storage Pilot (2025 IRP) and PowerClerk BTM process per BTM Summary rev. 08.15.2025.",10 kW AC,250 kW AC (100-250 kW <=125% of prior-year metered peak),0.2% of prior-year annual peak demand (RNR-Instantaneous),Not verified,Solar Avoided Energy Cost + 4 c/kWh Renewable Generation Adder (instantaneous netting),$100 residential; $200 C&I (covers witness test <250 kW),250,Required - one-line must show generation AC disconnect(s) isolating the facility,Yes - Energy Offset Only (EOO) agreement; DB 18-23 non-exporting generator form for backup-capable storage,Unclear - RNR-11 credits any metered Excess Energy with no rule on battery charging source; BTM summary describes batteries for self-consumption,,,"Battery inverter capacity counts: residential customer whose battery system has max inverter capability >10 kW (even if derated) cannot join RNR. Battery inverters/AC-coupled gateways must be UL 1741 SB + IEEE 1547-2018; backup operation requires open-transition, mechanically interlocked transfer switch and DB 18-23 non-export form. Adding a battery to a legacy RNR-Monthly Netting account: tariff silent (participation non-transferable between premises, 15-yr term) - Unclear whether allowed without losing monthly netting.",https://www.georgiapower.com/content/dam/georgia-power/pdfs/company-pdfs/solar-pdfs/btm-distribution-interconnection-summary-residential.pdf,2026-09-26,Primary
Santee Cooper (South Carolina Public Service Authority),SC,SERC-nonRTO,all,"State authority, not bound by Act 62 Solar Choice tariffs. Rider DG-25 (residential and non-residential; industrial variant up to 2,000 kW): hourly netting - within each hour, exports subtract from deliveries; net-negative hours credited at energy credit $0.0415/kWh (adjusted at least annually, no seasonality since April 2025 rates); net-positive hours billed at retail; residential DG customer charge $10/month; metering and standby fees eliminated April 2025; bill credit >= $50 paid by check, else carried forward. Interconnection under SCPSA Generator Interconnection Procedures (eff. 8/31/2016; 20 kW inverter process, fast track, study) and DG Standard; $100 residential application fee; liability insurance per Interconnection Standard.",20 kW (and <= estimated max monthly demand),"1000 kW (and <= max monthly demand); industrial 2,000 kW",None (former 2% of distribution class demand cap removed),,$0.0415/kWh for hourly net exports (DG-25),$100 residential,,Required - isolation device (manual load-break disconnect/safety switch) per Solar Home program manual,,Unclear - DG-25 applies to 'photovoltaic or other qualifying generation source' as determined by the Authority; silent on batteries and on charging source,Eliminated April 2025 (Authority may adjust for non-PV sources); $10/month residential DG customer charge,,"DG-25 and 2016 interconnection procedures do not mention storage. Solar Home rebate covers PV portion only, not batteries. Because netting is hourly with export valued at 4.15 c/kWh, battery shifting of solar into same-hour load is the value lever. No legacy-NEM grandfathering to lose (already net billing since 2015).",https://www.santeecooper.com/Rates/_pdfs/Adjustments/DG-25.pdf,2026-09-26,Primary
Berkeley Electric Cooperative,SC,SERC-nonRTO,all,"Distribution co-op (not PSC rate-regulated). Renewable Surplus Rider for new installs: residential up to 20 kW AC and small commercial up to 100 kW AC (transformer <100 kVA), non-demand, non-time-of-day rates only; size also limited to annual kWh/1,800 (kW AC) or average monthly kWh/150 due to wholesale power agreement; exports credited at 6.03 c/kWh (updated about March 1 each year); $150 interconnection fee plus $50 per field inspection; homeowner's insurance declaration required; interconnection via breaker panel only (no meter-base connections); outdoor disconnect near meter; bi-directional meter. Larger accounts may self-consume with no value for surplus.","20 kW AC (and <= annual kWh/1,800)",100 kW AC,,,6.03 c/kWh (2026),$150 + $50 per inspection,,"Required (outdoor disconnect near meter, left open for co-op inspection)",Large accounts (>100 kVA) may install larger systems with no surplus compensation (de facto self-consumption),Unclear - website and rider summary silent on batteries; interconnection standard PDF is a scanned image (not text-searchable),,,"No storage provisions found. Not available with Time-of-Day rate, so TOU arbitrage plus export credit cannot be combined.",https://www.berkeleyelectric.coop/solar-energy,2026-09-26,Primary
Jackson EMC,GA,SERC-nonRTO,all,"EMC; price and interconnection set by its board under O.C.G.A. 46-3-56(b),(d). Net Metering Rider (eff. 1/1/2022, applies to DG connected after 1/1/2016): solar PV, fuel cell or wind, <=10 kW residential / <=100 kW commercial (larger at co-op discretion), intended primarily to offset own use; $10/month incremental service cost; any generation exceeding consumption credited at avoided energy cost ($0.0432/kWh for 2026), credit balance carried to next bill and paid by check each December; Jackson EMC retains RECs; Distributed Generation Interconnection Agreement required; interconnection bulletin available on request, requests handled individually.",10 kW,100 kW,,,$0.0432/kWh avoided energy cost (2026),,,,,Unclear - Net Metering Rider silent on storage,$10/month incremental service cost,,No storage provisions in the rider; interconnection bulletin not public. Residential TOU rate has a Jan 1-May 1 enrollment window (program chunk).,https://www.jacksonemc.com/my-cooperative/rates/commercial-rates/net-metering-rider,2026-09-26,Primary
Sawnee EMC,GA,SERC-nonRTO,all,"EMC. Net Energy Metering Rider NEM-18 (eff. 5/1/2026) with Policy 412 and Small DG Interconnection Procedure (<=100 kW AC): solar PV, fuel cell or wind; generally <=10 kW AC residential / <=100 kW AC commercial; 0.2% of prior-year peak aggregate cap; Excess Net Energy settled monthly for DG interconnected on/before 1/1/2024 and instantaneously for DG interconnected on/after 1/2/2024; purchase rate for solar PV $0.0379/kWh all months (non-solar seasonal $0.0345-0.0398); co-op keeps RECs on purchased excess; no application fee for small DG; lockable visible-break disconnect near meter, separate one per source (solar and BESS) unless one isolates both; UL 1741 inverters (UL 1741 SA settings certified); applications valid 90 days.","10 kW AC (generation plus storage, unless BESS is non-export)",100 kW AC,0.2% of prior-year annual peak demand,Not verified,"$0.0379/kWh solar PV (NEM-18, eff. 5/1/2026)",$0 for Small DG (<=100 kW),100,"Required - lockable visible-break switch near meter, one per energy source (solar, BESS) unless a single switch isolates both",Yes - BESS certified (PE or licensed electrician letter) as programmed to prevent export beyond the point of common coupling; co-op may also limit aggregate export capacity,Requires non-export - Small DG procedure requires a BESS to be programmed to prevent export beyond the PCC (exception: co-op-run BESS Program where the co-op dispatches the battery),,,"Sizing: residential 'peak generating capacity and storage capacity' generally <=10 kW AC, but storage is excluded from the 10/100 kW threshold if a BESS control system prevents export. Battery exports are not creditable outside a co-op BESS Program. Grandfathering: monthly settlement applies to DG interconnected on/before 1/1/2024; whether adding a (non-export) battery to such a system triggers a new interconnection date and instantaneous settlement is not stated (Unclear).",https://file.sawnee.coop/web-docs/library/Small-Distributed-Generation-Resources.pdf,2026-09-26,Primary
Cobb EMC,GA,SERC-nonRTO,all,"EMC; board-set rules under O.C.G.A. 46-3-56. Schedule DG-1 (eff. 1/1/2026) applies to any Member Generator under the co-op's Distributed Generation Policy: DG capacity may not exceed the rated capacity of the co-op distribution equipment serving the member; member billed on its normal rate schedule plus a monthly facility charge 'when applicable'; excess net energy purchased at $0.04554/kWh (avoided average energy and capacity cost) for DG connected on/after 7/1/2015, and $0.0683/kWh 'until further notice' for DG connected before 7/1/2015; rates adjustable annually by the board. Interconnect agreement via online portal at least 45 days before interconnection; all interconnections at the breaker panel; $100 interconnection fee billed after net-meter swap. Solar members may take any rate except Even Bill.",Not published (capped at rated capacity of serving distribution equipment),Not published (capped at rated capacity of serving distribution equipment),,,$0.04554/kWh for DG connected on/after 7/1/2015; $0.0683/kWh legacy (pre-7/1/2015) (DG-1 eff. 1/1/2026),$100,,,,Unclear - DG-1 and solar pages silent on storage charging source; co-op battery page says battery energy 'can come from excess power produced by rooftop solar or from the grid' (general explainer only),Monthly facility charge 'when applicable' (amount not published),,No storage rules found in DG-1 or on the rooftop-solar pages; DG Policy document (defines Member Generator and DG Facility) not found online. Legacy grandfathering: pre-7/1/2015 DG keeps $0.0683/kWh 'until further notice' keyed to the date the facility connected - whether adding a battery (new interconnect agreement) moves a legacy system onto $0.04554 is not stated (Unclear). Netting interval (instantaneous vs billing-period) not stated; billing uses a bidirectional net meter.,https://www.cobbemc.com/sites/default/files/documents/rates/residential/2026/0126_DG_Rate_Schedule.pdf,2026-09-26,Primary
