rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,PowerPair,Storage-Incentive,Residential,Solar+Storage;Battery,Opt-in,upfront $/W solar + $/kWh battery rebate,"$0.36/W solar (max 10kW-AC; $3,600 cap) + $400/kWh battery (max 13.5kWh; $5,400 cap); combined max $9,000",First-come first-served after random selection window; capped at 30000 kW-AC solar per operating company,Rider NMB / Rider RSC required,n/a,n/a,Bridge Rate (flat) or Solar Choice (TOU) required for enrollment,Yes,Power Manager Battery Control,Active,https://www.duke-energy.com/partner-with-us/trade-allies/residential/powerpair,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Power Manager Battery Control,DR-BYOD,Residential,Battery,Opt-in,$/kW-month bill credit based on discharge nameplate x capability factor,$6.50/kW x capability factor (~70.9%) monthly credit,"min 30 to max 36 dispatch events/yr; customer may opt out of 4 events/yr and keep credit",n/a,Utility-determined dispatch windows,n/a,n/a,Yes,PowerPair,Active,https://www.duke-energy.com/home/products/power-manager/battery-control,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Residential Solar Choice (Rider RSC),Export-Comp,Residential,Solar+Storage,Opt-in,net billing under mandatory TOU-CPP rate,n/a,n/a,Rider RSC,see R-TOU-CPP window,see R-TOU-CPP rates,net billing at TOU rate; export valued at time-varying retail rate minus riders,Yes,PowerPair,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Net Metering Bridge Rate (Rider NMB),Export-Comp,Residential,Solar+Storage,Opt-in,net metering on non-time-varying rate; available through transition period,n/a,available to interconnection applicants until ~Jan 2027; locks in for 15 yrs from approval,Rider NMB,n/a,flat ~$0.11/kWh,near 1:1 net metering on flat rate during bridge period,Yes,PowerPair,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Secondary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Residential TOU with Critical Peak Pricing (R-TOU-CPP / Flex Savings Option),CPP-PTR,Residential,GeneralLoad;Battery;EV/EVSE,Opt-in,critical peak day elevated on-peak rate; no demand charge,n/a,~20 CPP event days/yr; day-ahead notification,Schedule R-TOU-CPP,"Summer wkdy 6-9pm; Non-summer wkdy 6-9am",on/discount/off-peak periods with CPP day surcharge; discount period 30% below standard off-peak,n/a,Unclear,Residential Solar Choice,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Residential Time-of-Use (R-TOU),TOU-Rate,Residential,GeneralLoad;EV/EVSE,Opt-in,time-varying energy rate,n/a,n/a,Schedule R-TOU,"Summer wkdy 6-9pm; Non-summer wkdy 6-9am",on-peak / discount (1-6am) / off-peak periods,n/a,Unclear,Unknown,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Power Manager (AC/heat pump switch),DR-DLC,Residential,Thermostat/AC;HeatPump,Opt-in,upfront + annual bill credit,up to $150 upfront + $50/yr depending on devices enrolled,seasonal cycling events,n/a,summer peak afternoon/evening,n/a,n/a,Unclear,Power Manager Battery Control,Active,https://news.duke-energy.com/releases/new-year-bigger-incentives-as-temperatures-fall-in-the-carolinas-duke-energy-increases-financial-incentives-for-customer-energy-efficiency-and-demand-response-programs,2026-09-24,Secondary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,Power Manager Smart Thermostat (BYOT),DR-BYOT,Residential,Thermostat/AC,Opt-in,one-time + annual bill credit,$150 one-time enrollment credit,seasonal cycling events,n/a,summer peak,n/a,n/a,No,Power Manager AC switch,Active,https://www.duke-energy.com/home/products/power-manager/smart-thermostat,2026-09-24,Secondary
SERC-nonRTO,NC,"Duke Energy Carolinas, LLC",IOU,PowerShare (Rider PS),DR-Curtailment,LargeC&I,GeneralLoad;Generator,Opt-in,monthly capacity credit + energy curtailment credit,$3.50-$5.00/kW-month capacity credit + $0.10/kWh curtailment energy credit,min 100 kW curtailable; max 100 MW per customer,Rider PS,utility-called curtailment events,n/a,n/a,Unclear,Unknown,Active,https://dms.psc.sc.gov/Attachments/Matter/c60eaa90-4800-42dc-bf87-2f844a42c5cc,2026-09-24,Secondary
SERC-nonRTO,SC,"Duke Energy Carolinas, LLC",IOU,Solar Choice Metering Tariff,Export-Comp,Residential,Solar+Storage,Opt-in,net billing per Act 62 settlement; legacy full-retail credit grandfathered by application date,n/a,pre-5/16/2019 apps: full retail credit through 12/31/2025; 5/16/19-5/31/21 apps: through 5/31/2029,Solar Choice Metering Tariff,n/a,n/a,net billing at avoided-cost-based rate post-transition; full retail NEM grandfathered per above dates,Yes,Unknown,Active,https://ors.sc.gov/sites/scors/files/Documents/Consumers/Solar/ORS%20Duke%20Solar%20Choice%20Overview.pdf,2026-09-24,Secondary
SERC-nonRTO,SC,"Duke Energy Carolinas, LLC",IOU,PowerShare Nonresidential Load Curtailment Rider,DR-Curtailment,LargeC&I,GeneralLoad;Generator,Opt-in,monthly capacity credit + energy curtailment credit,capacity credit increased toward $5/kW-month per 2025-26 filing,min 100 kW curtailable,Rider PS (SC),utility-called curtailment events,n/a,n/a,Unclear,Unknown,Active,https://dms.psc.sc.gov/Attachments/Matter/c60eaa90-4800-42dc-bf87-2f844a42c5cc,2026-09-24,Secondary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,PowerPair,Storage-Incentive,Residential,Solar+Storage;Battery,Opt-in,upfront $/W solar + $/kWh battery rebate,"$0.36/W solar (max 10kW-AC; $3,600 cap) + $400/kWh battery (max 13.5kWh; $5,400 cap); combined max $9,000",First-come first-served; capped at 30000 kW-AC solar; DEP territory reported at capacity as of mid-2026,Rider NMB / Rider RSC required,n/a,n/a,Bridge Rate (flat) or Solar Choice (TOU) required for enrollment,Yes,EnergyWise Home Battery Control,Closed to new enrollment,https://www.duke-energy.com/partner-with-us/trade-allies/residential/powerpair,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,Residential Time-of-Use (R-TOU),TOU-Rate,Residential,GeneralLoad;EV/EVSE,Opt-in,time-varying energy rate; discount period 30% below standard off-peak,n/a,n/a,Schedule R-TOU,"Summer wkdy 6-9pm; Non-summer wkdy 6-9am",on-peak / discount (1-6am summer; 1-3am & 11am-4pm winter) / off-peak,n/a,Unclear,Unknown,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,Residential TOU with Critical Peak Pricing (R-TOU-CPP / Flex Savings Option),CPP-PTR,Residential,GeneralLoad;Battery;EV/EVSE,Opt-in,critical peak day elevated on-peak rate; no demand charge,n/a,~20 CPP event days/yr; day-ahead notification,Schedule R-TOU-CPP,"Summer wkdy 6-9pm; Non-summer wkdy 6-9am",on/discount/off-peak periods with CPP day surcharge,n/a,Unclear,Residential Solar Choice,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,Residential Solar Choice (Rider RSC),Export-Comp,Residential,Solar+Storage,Opt-in,net billing under mandatory TOU-CPP rate,n/a,n/a,Rider RSC,see R-TOU-CPP window,see R-TOU-CPP rates,net billing at TOU rate; export valued at time-varying retail rate minus riders,Yes,PowerPair,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,Net Metering Bridge Rate (Rider NMB),Export-Comp,Residential,Solar+Storage,Opt-in,net metering on non-time-varying rate during transition period,n/a,available to interconnection applicants until ~Jan 2027; locks in for 15 yrs from approval,Rider NMB,n/a,flat rate,near 1:1 net metering on flat rate during bridge period,Yes,PowerPair,Active,https://www.duke-energy.com/home/billing/rates/new-rates-nc,2026-09-24,Secondary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,EnergyWise Home Smart Thermostat (BYOT),DR-BYOT,Residential,Thermostat/AC,Opt-in,one-time + annual bill credit,"$150 one-time enrollment credit + $50/yr renewal","brief adjustments during peak demand; typically <=4 hrs; not on holidays except emergencies",n/a,summer/winter peak,n/a,n/a,No,EnergyWise Home Switch,Active,https://www.duke-energy.com/home/products/energywise-home/smart-thermostat,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,EnergyWise Home Switch (AC/heat pump control),DR-DLC,Residential,Thermostat/AC;HeatPump,Opt-in,bill credit for switch-based cycling,see current program incentive schedule,seasonal cycling events,n/a,summer peak afternoon/evening,n/a,n/a,No,EnergyWise Home Smart Thermostat,Active,https://www.duke-energy.com/Home/Products/EnergyWise-Home/Switch,2026-09-24,Primary
SERC-nonRTO,NC,"Duke Energy Progress, LLC",IOU,PowerShare (Rider PS),DR-Curtailment,LargeC&I,GeneralLoad;Generator,Opt-in,monthly capacity credit + energy curtailment credit,$3.50-$5.00/kW-month capacity credit + $0.10/kWh curtailment energy credit,min 100 kW curtailable; max 100 MW per customer,Rider PS,utility-called curtailment events,n/a,n/a,Unclear,Unknown,Active,https://dms.psc.sc.gov/Attachments/Matter/c60eaa90-4800-42dc-bf87-2f844a42c5cc,2026-09-24,Secondary
SERC-nonRTO,SC,"Duke Energy Progress, LLC",IOU,Solar Choice Metering Tariff,Export-Comp,Residential,Solar+Storage,Opt-in,net billing per Act 62 settlement; legacy full-retail credit grandfathered by application date,n/a,pre-5/16/2019 apps: full retail credit through 12/31/2025; 5/16/19-5/31/21 apps: through 5/31/2029,SC Original Leaf No. 670,n/a,n/a,net billing at avoided-cost-based rate post-transition; full retail NEM grandfathered per above dates,Yes,Unknown,Active,https://dms.psc.sc.gov/Attachments/Matter/27add76f-6553-4c71-a2ae-4b05c86d8e7e,2026-09-24,Primary
SERC-nonRTO,SC,"Duke Energy Progress, LLC",IOU,EnergyWise Home Smart Thermostat (BYOT),DR-BYOT,Residential,Thermostat/AC,Opt-in,one-time + annual bill credit,"$75 one-time enrollment credit + $50/yr renewal",brief adjustments during peak demand,n/a,summer/winter peak,n/a,n/a,No,Unknown,Active,https://www.thermostatrewards.com/dep,2026-09-24,Secondary
SERC-nonRTO,SC,"Duke Energy Progress, LLC",IOU,New nonresidential demand-side program (2026 SC filing),Demand-Charge,SmallC&I;LargeC&I,GeneralLoad,Opt-in,program details per 2026 SC filing,n/a,n/a,n/a,n/a,n/a,n/a,Unclear,Unknown,Proposed/pending,https://news.duke-energy.com/releases/new-duke-energy-program-helps-south-carolina-nonresidential-customers-lower-costs-while-supporting-a-growing-grid,2026-09-24,Secondary
SERC-nonRTO,GA,Georgia Power Company,IOU,Nights & Weekends,TOU-Rate,Residential,GeneralLoad;EV/EVSE;Battery,Opt-in,time-varying energy rate; no demand charge,On-peak $0.303/kWh; Off-peak $0.078/kWh,n/a; 12-month commitment,Schedule TOU-REO,Jun-Sep M-F 2pm-7pm,on $0.303/kWh / off $0.078/kWh,n/a,Unclear,Smart Usage;Overnight Advantage,Active,https://www.georgiapower.com/residential/rate-plans/nights-weekends.html,2026-09-25,Primary
SERC-nonRTO,GA,Georgia Power Company,IOU,Smart Usage,Demand-Charge,Residential,GeneralLoad;EV/EVSE;Battery,Opt-in,time-varying energy rate + monthly single-hour demand charge,On-peak $0.146/kWh; Off-peak $0.016/kWh; Demand $12.44/kW-month (highest hour),n/a; 12-month commitment,Schedule TOU-RD,Jun-Sep M-F 2pm-7pm,on $0.146/kWh / off $0.016/kWh + $12.44/kW demand,n/a,Unclear,Nights & Weekends,Active,https://www.georgiapower.com/residential/rate-plans/smart-usage.html,2026-09-25,Primary
SERC-nonRTO,GA,Georgia Power Company,IOU,Thermostat Energy Management Program (TEMP√ / Smart Thermostat),DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bonus + free program,$50 enrollment bonus (thermostat credit),"FLEX HOURS event days, count/duration not published",n/a,utility-called Flex Hours events,n/a,n/a,No,Unknown,Active,https://georgiapowermarketplace.com/s/GeorgiaPower/programs/content_drpe_info.html,2026-09-25,Secondary
