rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
WECC-nonRTO,CA,Los Angeles Department of Water and Power (LADWP),Municipal,Time-of-Use Residential Rate (R-1B),TOU-Rate,Residential,GeneralLoad;Battery;EV/EVSE,Opt-in,rate discount / TOU pricing,,,Schedule R-1B,Weekdays High Peak 1-5pm; Low Peak 10am-1pm & 5-8pm; Base 8pm-10am weekdays + all Sat/Sun,"High Peak > Low Peak > Base (three-tier TOU); rates set by Electric Rate Ordinance, not published on program page",,Unclear,Unknown,Active,https://www.ladwp.com/account/understanding-your-rates/residential-electric-rates,2026-09-16,Primary
WECC-nonRTO,CA,Los Angeles Department of Water and Power (LADWP),Municipal,Demand Response - Power Savers,DR-BYOT,Residential;SmallC&I,Thermostat/AC,Opt-in,one-time enrollment card + annual participation incentive,$55 enroll (one-time); $40/yr at 25-75% event participation; $90/yr at >75% participation,"up to 30 events/season, 4 hr max, Jun 1-Oct 31 2026, 1-10pm window, holidays excluded",,"Weekdays 1-10pm (event window), holidays excluded",,,No,Unknown,Active,https://www.ladwp.com/residential-services/programs-and-rebates-residential/demand-response-%E2%80%93-power-savers,2026-09-16,Primary
WECC-nonRTO,CA,Los Angeles Department of Water and Power (LADWP),Municipal,Net Energy Metering (NEM),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage,Opt-in,retail-rate netting (not subject to CPUC NEM 3.0),,,"NEM Guidelines (LADWP, not a CPUC tariff)",,,1:1 retail-rate net metering; LADWP is not bound by CPUC NEM 3.0 avoided-cost export decisions since it is a municipal utility governed by LA City Council/Board of Water and Power Commissioners,Yes,Unknown,Active,https://www.ladwp.com/sites/default/files/2023-09/NEM%20Guidelines%20(with%20April%202021%20technical%20modification)%20(1).pdf,2026-09-16,Primary
WECC-nonRTO,CA,Los Angeles Department of Water and Power (LADWP),Municipal,Self-Generation Incentive Program (SGIP) - Residential Solar and Storage Equity (RSSE),Storage-Incentive,Residential,Battery;Solar+Storage,Opt-in,"upfront rebate, income-qualified pathway only",,first-come first-served; $32M additional funding announced Aug 2025,,,,,Yes-restricted,Unknown,Active,https://www.ladwp.com/residential-services/solar-programs/self-generation-incentive-program,2026-09-16,Primary
WECC-nonRTO,CA,Sacramento Municipal Utility District (SMUD),Municipal,Time-of-Day (5-8 p.m.) Rate,TOU-Rate,Residential,GeneralLoad;Battery;EV/EVSE,Default,rate discount / TOU pricing,"Summer (as of ~2026): peak ~37.65 c/kWh; mid-peak ~21.39 c/kWh; off-peak ~15.50 c/kWh (per third-party report, not directly confirmed on primary page)",,Rate Schedule R-TOD,Weekdays 5-8pm peak; all other hours + all weekends/holidays off-peak,"peak ~37.65c / mid ~21.39c / off ~15.50c per kWh (summer, third-party-reported)",,Unclear,Unknown,Active,https://www.smud.org/Rate-Information/Residential-rates/Time-of-Day-5-8pm-Rate,2026-09-16,Primary
WECC-nonRTO,CA,Sacramento Municipal Utility District (SMUD),Municipal,Solar and Storage Rate (SSR) - Excess Electricity Compensation,Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage,Default,flat per-kWh export credit,"9.6 cents/kWh (effective June 1, 2026, up from 7.4 c/kWh)","reviewed every 4 years, capped at +/-30% per cycle",Solar and Storage Rate (SSR),,,"flat 9.6 c/kWh any time of day/season, not CPUC NEM 3.0; legacy NEM customers (pre 3/1/2022) may stay on old NEM through 12/31/2030 with 5.5c/kWh avoided-cost true-up or rollover option",Yes,My Energy Optimizer Partner+,Active,https://www.smud.org/Rate-Information/Solar-and-Storage-Rate,2026-09-16,Primary
WECC-nonRTO,CA,Sacramento Municipal Utility District (SMUD),Municipal,My Energy Optimizer Partner+,VPP,Residential,Battery;Solar+Storage,Opt-in,upfront $/kWh enrollment incentive + ongoing quarterly incentive (Tesla only),"$500/kWh up to $10,000 (projects interconnected by 9/22/2026, enrolled by 12/31/2026); $300/kWh up to $6,000 thereafter; Tesla quarterly: $110 (1 battery)/$220 (2)/$330 (3+)",must enroll within 90 days of Permission to Operate; 20% reserve maintained for backup power,,,,,Yes,Solar and Storage Rate (SSR) required,Active,https://www.smud.org/Going-Green/Battery-storage/Homeowner,2026-09-16,Primary
WECC-nonRTO,CA,Sacramento Municipal Utility District (SMUD),Municipal,Peak Corps,DR-DLC,Residential,Thermostat/AC,Closed to new,per-event bill credit,$5 bill credit per day cycled,"cycling 30-60 min/hr, up to ~2 hrs per event, events rare (multi-year gaps); not currently installing new devices",,,,,No,Unknown,Closed to new enrollment,https://www.smud.org/Going-Green/Peak-Corps,2026-09-16,Primary
WECC-nonRTO,CA,Modesto Irrigation District (MID),Municipal,Residential - Time-of-Use Electric Vehicle Option (Pilot Program),EV-Rate,Residential,EV/EVSE,Opt-in;Pilot,TOU rate discount for EV charging,,,Schedule EV-D,,,,Unclear,Unknown,Pilot,https://www.mid.org/wp-content/uploads/2026-EV-D-RESIDENTIAL-TIME-OF-USE-PILOT.pdf,2026-09-16,Primary
WECC-nonRTO,CA,Modesto Irrigation District (MID),Municipal,Net Metering 2.0,Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage,Default,"retail-rate netting (own tariff, not subject to CPUC NEM 3.0)",,systems >1MW subject to capacity charge and forfeit excess generation credits,NEM2,,,1:1 retail-rate netting under MID's own NEM2 tariff; MID is not subject to CPUC NEM 3.0 since it is a POU; legacy NEM1 tariff also on file,Yes,Unknown,Active,https://www.mid.org/wp-content/uploads/2024_net_metering_2_0.pdf,2026-09-16,Primary
CAISO,CA,Turlock Irrigation District (TID),Municipal,EnergySync,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment bill credit + season-end participation credit,$50 enroll + $25 participation (up to $75/season),"event season May 1-Oct 31; events typically weekdays 12pm-9pm, 1-4 degree adjustment, up to 4 hrs; forfeits participation incentive after opting out of >2 events",,Weekdays 12pm-9pm (typical event window),,,No,Unknown,Active,https://www.tid.org/energysync/,2026-09-16,Primary
CAISO,CA,Turlock Irrigation District (TID),Municipal,Domestic Self-Generation Rate (DG),Export-Comp,Residential,Solar+Storage,Default,monthly on/off-peak netting + Short Run Marginal Cost true-up for excess,2024 avg cost of power (SRMC) ~$0.0786/kWh (used for annual excess-generation true-up),system sizes not limited to load at this time; TID reserves right to study/limit interconnection,Schedule DG,,,"monthly net on-peak/off-peak energy netting; net annual excess generation credited at TID's published Short Run Marginal Cost, not a 1:1 retail rate and not CPUC NEM 3.0; legacy RNT (residential net metering, true 1:1) closed to new accounts",Yes,Unknown,Active,https://www.tid.org/wp-content/uploads/2024/10/DG-Rate-Tariff-Effective-2025.pdf,2026-09-16,Primary
WECC-nonRTO,CA,Imperial Irrigation District (IID),Municipal,Shift & Save! Time-of-Use,TOU-Rate,Residential,GeneralLoad;EV/EVSE,Opt-in,rate discount / TOU pricing,,,Shift & Save TOU Residential,May-Oct: weekdays 4-9pm on-peak; winter on-peak hours differ; weekends/holidays off-peak all day year-round,,,Unclear,Unknown,Active,https://www.iid.com/power/rates-regulations/time-of-use,2026-09-16,Primary
WECC-nonRTO,CA,Imperial Irrigation District (IID),Municipal,Net Billing Program,Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage,Default,variable per-kWh export credit pegged to IID's wholesale solar procurement cost,"6.98 cents/kWh (variable, adjusted as IID's lowest wholesale solar contract cost changes)",no participation cap (cap eliminated in 2016 policy change),Distributive Self-Generation Service Rate Schedule,,,"monthly netting of consumption vs. generation at customer's load; excess/overgeneration paid at IID's wholesale solar procurement rate (6.98c/kWh), NOT retail 1:1 net metering; IID is a POU governed by its own elected board, not CPUC, so NEM 3.0 does not apply; legacy Net Energy Metering program is closed/fully subscribed and not available to new customers",Yes,Unknown,Active,https://www.iid.com/power/rooftop-solar/interconnection/net-billing,2026-09-16,Primary
CAISO,CA,City of Anaheim Public Utilities,Municipal,myPower Savings Program,DR-DLC,Residential,Thermostat/AC;GeneralLoad,Opt-in,enrollment bill credit + per-kWh event performance credit,"up to $30 enrollment bill credit; $1.00/kWh reduced during event hours, up to $100/fiscal year","non-holiday weekdays, up to 3 hrs/event, 1 event/day, max 10 events/yr; requires interval smart meter",,,,,No,Battery Storage Rebate (requires MyPower + TOU enrollment),Active,https://www.anaheim.net/5920/myPower-Savings,2026-09-16,Primary
CAISO,CA,City of Anaheim Public Utilities,Municipal,Residential Energy Storage Rebate,Storage-Incentive,Residential,Battery;Solar+Storage,Opt-in,upfront rebate,"up to $3,000/household (through 6/30/2026); up to $1,500/household effective 7/1/2026","min 5kWh capacity, UL certified; requires 12-month enrollment in TOU rate + myPower Savings Program",,,,,Yes,myPower Savings Program; TOU rate (required),Active,https://www.anaheim.net/5730/Battery-Storage,2026-09-16,Primary
CAISO,CA,City of Anaheim Public Utilities,Municipal,Net Energy Metering 2.0,Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage,Default,retail credit netting transitioning to wholesale-based rate under NEM 2.0,,"retail NEM offered up to 5% (30MW) of peak aggregate load, cap met in 2019; NEM1 customers grandfathered unless system expanded",NEM 2.0,,,Anaheim not subject to CPUC NEM 3.0 since it is a municipal POU; NEM 2.0 uses wholesale-based (non-retail) export rate vs NEM1's full retail kWh-for-kWh credit; legacy NEM1 customers grandfathered,Yes,Residential Energy Storage Rebate,Active,https://www.anaheim.net/5587/NEM-20,2026-09-16,Primary
CAISO,CA,Riverside Public Utilities,Municipal,Domestic Time-of-Use Tiered Rate (DTOU),TOU-Rate,Residential,GeneralLoad;EV/EVSE,Opt-in;Waitlist,rate discount / TOU pricing,,capped at 500 total customers; closed to new enrollment once cap reached,Schedule DTOU,,on-peak/mid-peak/off-peak periods defined in tariff (not itemized on program page),,Unclear,Unknown,Active,https://riversideca.gov/utilities/sites/riversideca.gov.utilities/files/pdf/rates-electric/2024/Electric%20Schedule%20DTOU%20-%20Effective%2001-1-24%20Final.pdf,2026-09-16,Primary
