utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
Pacific Gas and Electric Co (PG&E),CA,CAISO,ic_application_fee,Follows the CPUC NEM 2.0 / Net Billing Tariff and PG&E's own Electric Rule 21. Utility-specific items: NEM/NBT interconnection fee for facilities <=1 MW is $145 (CPUC); required NBT import rate is E-ELEC; residential NBT customers receive the ACC Plus adder (PG&E adder table not independently read). Legacy tariff is Electric Schedule NEM2.,,,,,ACC Plus adder applies to residential NBT (PG&E adder values not read - see state row for SCE values),$145 one-time for NEM/NBT <=1 MW (CPUC NEM/NBT page); >1 MW $800 plus study costs,,,,Yes-but-not-credited,,,"PG&E Sched. NEM2 SC 8.b (Sheet 32, Advice 7489-E, eff. 2025-01-22) carries the D.22-12-056 / D.24-03-071 storage-retrofit language verbatim. Battery retrofit on legacy NEM 2.0: adding only storage does NOT forfeit the 20-year NEM 2.0 legacy period. Tariff text (Sched. NEM2/NEM-ST legacy provisions, 'Pursuant to D.22-12-056'): the addition of energy storage to the existing Generating Facility shall not disqualify the customer from the remainder of the 20-year Transition Period. EXCEPTION per D.24-03-071: customers who add storage through SGIP and apply and have a reservation accepted on or after 2024-06-04 must transition to the Net Billing Tariff, unless in the SGIP Residential Solar and Storage Equity, low-income Equity Resiliency residential, or San Joaquin Valley Residential budgets. Adding PV beyond the greater of 10% or 1 kW of original nameplate still triggers loss of legacy unless the expansion goes on a Rule 21 Non-Export agreement. Legacy NEM-paired storage stays eligible only if storage capacity is not later increased by more than 10% (SCE NEM-ST SC 6.e). NBT customers adding storage (only) to a storage-less system keep the remainder of their 9-year NBT legacy period. Grid charging: NEM/NBT tariffs define a Directly Connected storage device as one that may be charged from the grid, but exports are credited only for renewable-derived energy - Small paired storage (<=10 kW AC) uses a monthly PV-estimate cap on creditable exports (excess forfeited); Large paired storage (>10 kW AC) needs extra metering (storage treated as non-NEM generator, metering cost capped at $600 unless complex) or certified power-control (no storage export, or no grid charging; open-loop response <=10 s). Large paired storage limited to 150% of renewable max output; D.20-06-017 waiver extended by Executive Director to 2025-08-15 - current status Unclear.",https://www.pge.com/tariffs/assets/pdf/tariffbook/ELEC_SCHEDS_NEM2.pdf,2026-09-23,Primary
Southern California Edison Co (SCE),CA,CAISO,ic_application_fee,Follows the CPUC NEM 2.0 (Sched. NEM-ST) / Net Billing Tariff (Sched. NBT) and SCE's own Rule 21. Utility-specific items: NEM/NBT interconnection fee for facilities <=1 MW is $94 (CPUC); required NBT import rate is TOU-D-PRIME; residential NBT ACC Plus adder by PTO vintage (see state row).,,,,,See state row (SCE Sched. NBT Rates 3.b is the source of the adder values),$94 one-time for NEM/NBT <=1 MW (CPUC NEM/NBT page); >1 MW $800 plus study costs,,,,Yes-but-not-credited,,,"SCE Sched. NEM-ST SC 8.d (Sheet 33, Advice 5394-E, eff. 2024-10-25) and Sched. NBT SC 7.b/7.d. Battery retrofit on legacy NEM 2.0: adding only storage does NOT forfeit the 20-year NEM 2.0 legacy period. Tariff text (Sched. NEM2/NEM-ST legacy provisions, 'Pursuant to D.22-12-056'): the addition of energy storage to the existing Generating Facility shall not disqualify the customer from the remainder of the 20-year Transition Period. EXCEPTION per D.24-03-071: customers who add storage through SGIP and apply and have a reservation accepted on or after 2024-06-04 must transition to the Net Billing Tariff, unless in the SGIP Residential Solar and Storage Equity, low-income Equity Resiliency residential, or San Joaquin Valley Residential budgets. Adding PV beyond the greater of 10% or 1 kW of original nameplate still triggers loss of legacy unless the expansion goes on a Rule 21 Non-Export agreement. Legacy NEM-paired storage stays eligible only if storage capacity is not later increased by more than 10% (SCE NEM-ST SC 6.e). NBT customers adding storage (only) to a storage-less system keep the remainder of their 9-year NBT legacy period. Grid charging: NEM/NBT tariffs define a Directly Connected storage device as one that may be charged from the grid, but exports are credited only for renewable-derived energy - Small paired storage (<=10 kW AC) uses a monthly PV-estimate cap on creditable exports (excess forfeited); Large paired storage (>10 kW AC) needs extra metering (storage treated as non-NEM generator, metering cost capped at $600 unless complex) or certified power-control (no storage export, or no grid charging; open-loop response <=10 s). Large paired storage limited to 150% of renewable max output; D.20-06-017 waiver extended by Executive Director to 2025-08-15 - current status Unclear.",https://www.sce.com/sites/default/files/custom-files/PDF_Files/ELECTRIC_SCHEDULES_NEM-ST.pdf,2026-09-23,Primary
San Diego Gas & Electric Co (SDG&E),CA,CAISO,ic_application_fee;export_credit_value,Follows the CPUC NEM 2.0 (Sched. NEM-ST) / Net Billing Tariff and SDG&E's own Rule 21. Utility-specific items: NEM/NBT interconnection fee for facilities <=1 MW is $132 (CPUC); required NBT import rate is EV-TOU-5; residential SDG&E NBT customers do NOT receive the ACC Plus export adder (CPUC: excluded because SDG&E's higher rates yield more bill savings).,,,,,No ACC Plus adder for SDG&E residential NBT customers (EEC/ACC values only),$132 one-time for NEM/NBT <=1 MW (CPUC NEM/NBT page); >1 MW $800 plus study costs,,,,Yes-but-not-credited,,,"SDG&E implemented the D.24-03-071 SGIP/NEM changes in Advice 4498-E (not read directly); storage-retrofit rule assumed identical to PG&E/SCE tariff text since all three implement the same CPUC decisions. Battery retrofit on legacy NEM 2.0: adding only storage does NOT forfeit the 20-year NEM 2.0 legacy period. Tariff text (Sched. NEM2/NEM-ST legacy provisions, 'Pursuant to D.22-12-056'): the addition of energy storage to the existing Generating Facility shall not disqualify the customer from the remainder of the 20-year Transition Period. EXCEPTION per D.24-03-071: customers who add storage through SGIP and apply and have a reservation accepted on or after 2024-06-04 must transition to the Net Billing Tariff, unless in the SGIP Residential Solar and Storage Equity, low-income Equity Resiliency residential, or San Joaquin Valley Residential budgets. Adding PV beyond the greater of 10% or 1 kW of original nameplate still triggers loss of legacy unless the expansion goes on a Rule 21 Non-Export agreement. Legacy NEM-paired storage stays eligible only if storage capacity is not later increased by more than 10% (SCE NEM-ST SC 6.e). NBT customers adding storage (only) to a storage-less system keep the remainder of their 9-year NBT legacy period. Grid charging: NEM/NBT tariffs define a Directly Connected storage device as one that may be charged from the grid, but exports are credited only for renewable-derived energy - Small paired storage (<=10 kW AC) uses a monthly PV-estimate cap on creditable exports (excess forfeited); Large paired storage (>10 kW AC) needs extra metering (storage treated as non-NEM generator, metering cost capped at $600 unless complex) or certified power-control (no storage export, or no grid charging; open-loop response <=10 s). Large paired storage limited to 150% of renewable max output; D.20-06-017 waiver extended by Executive Director to 2025-08-15 - current status Unclear.",https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/demand-side-management/customer-generation/net-energy-metering-and-net-billing,2026-09-23,Primary
Los Angeles Department of Water and Power (LADWP),CA,WECC-nonRTO,all,"Municipal utility outside CPUC jurisdiction; not bound by Rule 21 or the NBT. Governed by the LADWP NEM Service Rider and NEM Guidelines (rev. 11/23/2020, amended Jan 2021) plus the LADWP Electric Service Requirements (ESR). Export credit is still retail-rate kWh netting (credit applied to later bills except taxes and minimum charges; any credit balance is zeroed with no payout when service terminates). NEM eligible rates: R-1, A-1, A-2, A-3. Systems >1 MW-AC(CEC) go to Parallel Generation Schedule CG-2 or CG-3. Process: online application at the Solar Automated Meter Spot portal for a Work Request number; PV <10 kW-AC without service upgrade or battery backup may be fast-tracked; inspections by LADBS, LADWP Electric Service Representative (>=10 kW and some smaller cases) and LADWP Solar Inspector. Interconnection Agreement required where PV and/or ESS >10 kW-AC: Short-Form IA for >10 to <=30 kW-AC, Long-Form IA with single-line diagram for PV >30 kW-AC. All grid-interconnected Energy Storage Systems require preliminary review and inspection by an LADWP Distribution Engineer and ESR (so storage never gets the PV fast track).",1000 kW-AC (CEC) for NEM; larger systems go to Schedule CG-2/CG-3,1000 kW-AC (CEC),,,Retail-rate netting (confirmed; values captured elsewhere),,30 kW-AC - Long-Form IA and Distribution Engineer review above this; any ESS triggers Distribution Engineer/ESR review,"Required - all PV systems must have a disconnect device per the LADWP ESR, readily accessible and located near the billing/performance meter","Yes - ESR requires power controls to prevent inadvertent export where required, with settings adjustable only by the manufacturer or its designated qualified worker, not the customer (Secondary - ESR Sec. 8i as indexed, PDF not rendered)",Requires non-export,,,"Per LADWP ESR Sec. 8i (as indexed by search; PDF would not render for direct reading): battery storage may not export to the grid under NEM unless it is exclusively charged by eligible renewable parallel generation - so a grid-charged battery must be controlled as non-export. Battery retrofit: LADWP NEM is still open retail-rate netting with no legacy/successor split, so adding a battery does not change export compensation; the retrofit does require a Distribution Engineer/ESR review and, if the ESS is >10 kW-AC, an Interconnection Agreement. Battery-backup projects are excluded from the <10 kW solar fast track.",https://www.ladwp.com/sites/default/files/documents/LADWP_Amended_Net_Energy_Metering_Guidelines_Document_January_2021_.pdf,2026-09-23,Primary
Sacramento Municipal Utility District (SMUD),CA,WECC-nonRTO,all,"Publicly-owned utility outside CPUC jurisdiction (SMUD Board sets rates). Interconnection under SMUD's own Rule and Regulation 21 and Rate Policy 11-01 Interconnection Guidelines (Feb 2022); interconnected energy storage is treated as distributed generation under Rule 21. Applications via PowerClerk; SMUD may require agreements up to 500 kW and generally requires executed agreements above 500 kW; small-generator distribution process typically <=20 MW. Uses Rule 21 or SMUD Advanced Inverter Function (AIF) settings. Export regime: Rate Schedule SSR (Solar and Storage Rate) mandatory for renewable generation approved on or after 2022-03-01 - residential must be on R-TOD; sized to offset up to 110% of own requirements; max 3,000 kW; all kWh registered on the bi-directional meter as delivered to SMUD credited at the Export Compensation Rate ($0.0960/kWh eff. 2026-06-01, updated every 4 years, max +/-30%); credit offsets only usage charges and carries forward. Legacy NEM1 customers (approved before 2022-03-01) may stay on NEM1 through 2030-12-31.",3000 kW (SSR; CEC-AC for PV),3000 kW (SSR),,,SSR $0.0960/kWh flat export rate eff. 2026-06-01 (confirmed; captured elsewhere),"Rule 21 Interconnection Fee (Rate Policy 9-02, eff. 2026-06-01, non-refundable, applies to new solar and battery storage incl. storage-only): residential <10 kW $500; residential >=10 to <20 kW $1,000; commercial (and residential >=20 kW) <100 kW $2,500; >=100 to <500 kW $3,350; >=500 kW $5,000 plus cost-based invoice for remaining work incl. telemetry. Prior values $180/$300/$2,000/$2,400. NEM1 customers adding storage are not charged the fee (SMUD FAQ, Secondary).",500 - executed interconnection agreements generally required above 500 kW; >=500 kW also triggers cost-based billing for remaining interconnection work,,"Yes - dedicated Non-export interconnection request path in PowerClerk for battery, EV and other DERs not intended to export to the distribution system",Yes,,N/A - SSR customers are exempt from generator standby charges on load served by the eligible facility (SSR Sec. III),"Grid charging: SMUD's interconnection page states that to qualify for NEM (NEM1) all storage must be charged with renewable energy on site. Under SSR the tariff defines export as all kWh registered on the bi-directional meter as delivered to SMUD and lets storage-only facilities take SSR, so grid-charged export appears to be credited at the flat SSR rate - this is a reading of the tariff text, not an explicit SMUD statement (flat rate makes arbitrage value low anyway). Battery retrofit on legacy NEM1: SMUD says existing NEM customers can add a battery and stay on NEM1 through 2030-12-31 but are then NOT eligible for My Energy Optimizer Partner+ storage incentives; any customer receiving a SMUD storage incentive must be on SSR (SSR Sec. VIII). Expanding generation by more than the greater of 10% or 1 kW (or beyond 110% of original) forces a move to SSR and a new application. Conflict: the same SMUD FAQ also says customers on NEM who add battery storage will be placed on SSR - read as the incentive path. Storage-only customers cannot be on NEM1. Sizing: SMUD materials (Secondary) allow SSR PV up to 120% of 12-month usage when storage is added; tariff text says 110%.",https://www.smud.org/-/media/Documents/Rate-Information/Rates/01_SSR.ashx,2026-09-23,Primary
Imperial Irrigation District (IID),CA,WECC-nonRTO,all,"Irrigation district (publicly owned) outside CPUC jurisdiction; sets its own rules. NEM closed: IID set its PU Code 2827 NEM obligation at 50.2 MW (5% of 1,004 MW 2010 peak) and reached it in early 2016. Since July 2016 all new interconnections go on the Net Billing Program (Distributive Self-Generation Service rate schedule): instantaneous netting - load is billed at the regular rate and generation exceeding instantaneous load is paid at IID's lowest wholesale solar contract cost (6.98 c/kWh as posted; variable, adjusted by the district). No participation cap on Net Billing. Interconnection agreement for Net Billing covers renewable facilities of 1 MW or less. Applications only via PowerClerk (since 2024-01-01). Two document tiers: AC nameplate <10 kW (checklist, AC disconnect cut sheet, inverter manual, bi-directional meter fee) and >=10 kW and microgrids (adds IID Rule 21 application). Solar inspection fee $255 per application received after 2025-05-01; Customer Service Proposal fees changed 2025-03-01.",1000 kW (Net Billing interconnection agreement covers facilities of 1 MW or less),1000 kW,"NEM: 50.2 MW (5% of 2010 peak of 1,004 MW) - reached early 2016, closed. Net Billing: no cap.","NEM fully subscribed and closed; NEM 4,212 interconnections / 63.62 MW; Net Billing 880 interconnections / 12.48 MW (IID PU Code 2827(c)(3)(A) report, date not stated on page)","Net Billing export at 6.98 c/kWh (variable; confirmed, captured elsewhere)",$255 solar inspection fee per application (after 2025-05-01) plus bi-directional meter cost where the existing meter cannot measure two-way flow; other CSP charges may apply,10 - IID Rule 21 application required at AC nameplate >=10 kW and for microgrids,Required - an AC disconnect cut sheet is a required application document at every size tier,,Unclear,,,"No IID storage-specific rule found on the IID interconnection, NEM or Net Billing pages (only a 'microgrids' application tier). Grid charging treatment, storage metering configuration, and whether adding a battery to a legacy NEM system moves the customer to Net Billing are all Unclear - IID directs questions to its Distributed Interconnection Unit (solar@iid.com). Net Billing uses instantaneous netting, so any storage discharge that exceeds instantaneous load is paid only at the ~7 c/kWh wholesale solar rate.",https://www.iid.com/power/rooftop-solar/interconnection,2026-09-23,Primary
Modesto Irrigation District (MID),CA,WECC-nonRTO,all,"Irrigation district (publicly owned) outside CPUC jurisdiction; own Electric Service Rule No. 21 and Solar Electric Service Guide. Only NEM 2.0 is offered to new customers: real-time (hourly for residential) netting - imports at MID retail rate, generation exceeding load at that time credited at 7.6 c/kWh as a bill credit. Sizing: PV may not exceed 115% of the meter's annual demonstrated load (CSI calculator); modifications also capped at 115%. Above 1 MW customers pay a capacity charge per kW over the threshold and forfeit excess-generation credits. Application package: MID Solar System & Energy Storage Device Application, Electrical Interconnection Agreement, Net Metering Agreement, single-line diagram, battery data sheet if a battery is installed. MID review up to 30 days; interconnection inspection up to 10 business days; PV+ESS sites need an inspection appointment. MID installs a utility-grade production meter on the AC side of the inverter (customer supplies socket). NEM 1.0 customers who add or rearrange panels increasing output by more than 10% must move to NEM 2.0; NEM 2.0 customers must wait 6 months after interconnection before modifying panels.",No kW cap stated; 115% of annual demonstrated load; above 1 MW capacity charge applies and excess credits are forfeited,Same - 1 MW threshold,,,NEM 2.0 excess generation 7.6 c/kWh (confirmed; captured elsewhere),"$900 per meter for systems <100 kW AC (CSI rating); $1,800 per meter for >=100 kW AC",1000 - capacity charge per kW above 1 MW and loss of excess generation credits,"Required - two visible, lockable AC disconnect switches between the PV system and MID's system (one between the panel and production meter socket, within 12 ft and line of sight of the main panel), per MID Solar Electric Service Guide (2019)",Yes - effectively mandatory for storage: MID's Service Guide says all ESS shall be configured for customer backup power or peak shaving only and shall not export to MID's system; a Smart Contactor may be used to disconnect the ESS on voltage/frequency abnormality,Requires non-export,,,"Storage must be non-exporting (backup or peak shaving only) per MID Solar Electric Service Guide, Solar PV With Optional Energy Storage Systems, June 1 2019 (read from MID's azurewebsites dev mirror - re-verify against the current mid.org version). The guide shows five approved DG-with-battery interconnection configurations (Drawings PV-012.0 to PV-016.0). Since storage cannot export, a grid-charged battery earns no export credit; charging source is not otherwise restricted in the text read. Battery retrofit: the NEM 1.0 to NEM 2.0 trigger stated by MID is adding or rearranging panels that raise output by more than 10%; whether adding only a battery forces a NEM 1.0 customer onto NEM 2.0 is Unclear (not addressed on the pages read). Customers modifying an existing PV system must submit new Interconnection and Net Metering Agreements.",https://www.mid.org/saving-energy-money/solar/,2026-09-23,Primary
Turlock Irrigation District (TID),CA,WECC-nonRTO,all,"Irrigation district (publicly owned) outside CPUC jurisdiction. Retail net metering (Schedules RNT residential and NNT non-residential) is closed to new accounts (Secondary: closed at the start of 2015). New solar customers move to a Self-Generation rate schedule (DG domestic, CG commercial, FG farm, IG small industrial, HG large industrial, BG bulk industrial, MG municipal, SG) with Customer, Demand and TOU Energy charges. Netting is within each on-peak and off-peak period over the month; any monthly excess is credited at TID's Short Run Marginal Cost (published daily). No aggregation. System size not limited to load under the self-generation schedules, but TID reserves the right to require an interconnection study or limit size. Interconnection: Application for Interconnection, wiring diagram, inverter/panel spec sheets and CSI calculator report; TID field inspection before metering; TID Solar Installation Guidelines (2025) govern construction (one dedicated PV breaker per MSP, 120% bus rule, no line-side taps on residential). Adding generation to an existing solar service requires a new single-line diagram for approval.",No load-based cap under self-generation schedules; TID may limit size or require study,Same; contact TID above 1 MW,,RNT/NNT net metering closed to new accounts,"Excess monthly TOU-period generation credited at TID Short Run Marginal Cost (published daily; confirmed, captured elsewhere)","$450 residential; $775 non-residential under 1 MW (effective 2025-01-01); first inspection free, $150 per re-inspection trip; optional generation meter typically $600; >1 MW contact TID",1000 - projects over 1 MW handled case by case; TID may require an interconnection study at any size,Not required by default - AC disconnect only 'if installed'; required for line-side taps and when the optional TID generation meter is used,,Unclear,,,"TID Solar Installation Guidelines (2025) Sec. 6: battery storage must be operable at TID inspection with a contractor representative present; it must be demonstrated that the system cannot back-feed when TID power is interrupted (anti-islanding, not an export ban); battery kWh and kW must be on the single-line diagram. No TID rule found on grid charging, on whether battery discharge exports are credited at SRMC, or on whether adding a battery to a legacy RNT/NNT net-metering account forfeits it - all Unclear. Note: legacy RNT/NNT schedules are only posted as issuu embeds (not read).",https://www.tid.org/customer-service/go-solar/,2026-09-23,Primary
City of Anaheim Public Utilities,CA,CAISO,all,"City-owned utility outside CPUC jurisdiction. Distributed generation (including microgrids) interconnects under Rule 22 of Anaheim's Rules, Rates and Regulations plus Anaheim's Generation Interconnection Standards and Guidelines and a Standard Form Interconnection Agreement (Rule 21 does not apply). Retail kWh-for-kWh NEM was offered up to 5% (30 MW) of peak aggregate load; that cap was met in 2019. Solar billing accounts set up after 2021-01-01 take NEM 2.0 (Developmental Schedule D-NEM): wholesale-based export credit - an hourly TOU 'ACC' (Annual Cash Compensation) rate paid for all energy sent back to the grid from a solar PV system each bill cycle. Anaheim states it is not moving to a CPUC-style NEM 3.0. Interconnection studies required for large systems (>1 MW) per Secondary search summary of a Jan 2026 Public Utilities Board rule-modification item (not read).",,,Legacy retail NEM: 5% of peak aggregate load (30 MW),Legacy retail NEM cap reached in 2019 - closed,"NEM 2.0 hourly ACC export rates (e.g. summer weekday 5-9 pm $0.0938/kWh; off-peak $0.0375/kWh), updated annually, current table expires 2026-06-30 (confirmed; captured elsewhere)",,1000 - interconnection studies for systems >1 MW (Secondary),,,Unclear,,,"Anaheim frames NEM 2.0 as designed to reward storage (store daytime excess rather than export at wholesale credit). Its residential battery rebate (up to $3,000) requires a UL-certified system of at least 5 kWh, standalone or paired with existing PV, a TOU rate and 12 months in the MyPower Savings program. The ACC export rate is defined as paid for energy sent back to the grid 'from a solar photovoltaic system', which implies grid-charged battery exports are not the credited quantity, but no explicit grid-charging or metering rule was found - Unclear. Whether adding a battery to a pre-2021 legacy retail-NEM account moves it to NEM 2.0 was not found - Unclear. Rule 22, the Generation Interconnection Standards and Schedule D-NEM PDFs did not render for reading.",https://www.anaheim.net/5768/NEM-20-Rates,2026-09-23,Primary
Riverside Public Utilities,CA,CAISO,all,"City-owned utility outside CPUC jurisdiction. Interconnection under RPU Electric Rule 22 'Distributed Generation Facilities Interconnection' (eff. 2022-05-10), a Rule 21-style process with Initial and Supplemental Review, non-export designation and certification/testing provisions. Export regime: Schedule SELF-GEN (eff. 2022-11-01; Board Res. 2022-1, Council Res. 23852) for renewable facilities up to 5,000 kW: all imports billed at the otherwise-applicable tariff (residential single-family assigned D-TOU); each kWh supplied to the grid is credited at the Avoided Cost of Energy (ACOE) - CAISO day-ahead LMP at the Vista take-out point plus capacity, ancillary, transmission, GHG, RPS and loss components, 3-year historical average, reset each July 1 - applied by TOU period; credits roll forward and any balance is PAID at termination of service. Sizing: up to 150% of annual consumption (more with proof of added load); maximum export to RPU's system 1,000 kW. Program cap 64 MW including existing Schedule NEM customers. Customers on an existing NEM agreement are not affected.","Facility <=5,000 kW; sized <=150% of annual consumption; export limited to 1,000 kW",Same,64 MW program cap (SELF-GEN plus legacy NEM customers),,"ACOE avoided-cost export credit by TOU period, reset each July 1 (confirmed; captured elsewhere)",Rule 22 Initial Review fee: NEM residential $225; commercial flat and demand $360; commercial TOU $865; all others $800 plus $600 Supplemental Review; 50% of the Initial Review fee refunded if rejected or withdrawn,,,"Yes - Rule 22 defines Non-Exporting facilities and provides a certified Non-Export designation and Non-Export test procedure (relays or other export-limiting functions), modeled on CA Rule 21 Sec. J.3.e",Unclear,,,"Neither Schedule SELF-GEN nor Rule 22 (full text searched) contains the word 'storage'. SELF-GEN credits kWh 'supplied by their Renewable Electrical Generating Facility' and counts 'additions or enhancements' to a renewable facility as part of it, which suggests - but does not state - that renewable-paired storage exports are creditable and grid-charged exports are not. Grid-charging treatment and metering configuration for paired storage: Unclear. Battery retrofit on a legacy RPU NEM agreement: RPU says existing NEM agreements are not affected by SELF-GEN, but no rule found on whether adding a battery changes that - Unclear. RPU runs a separate Energy Storage Rebate Program (not reviewed for interconnection terms).",https://riversideca.gov/utilities/sites/riversideca.gov.utilities/files/pdf/rates-electric/Electric%20Schedule%20Self-Gen%20-%20Effective%2011-1-2022%20(1).pdf,2026-09-23,Primary
