rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
CAISO,CA,California statewide (CPUC / CEC / GO-Biz administered),Federal/State,Net Billing Tariff (NBT) - successor to net energy metering; IOUs brand it 'Solar Billing Plan',Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Default,Hourly avoided-cost export credit (Avoided Cost Calculator values) + 9-yr ACC Plus adder for PG&E/SCE residential,,Applies to interconnection applications submitted on/after 2023-04-15; 9-year NBT legacy period for the original interconnecting customer; system sizing up to annual load +50% with attestation,CPUC D.22-12-056 (adopted 2022-12-15); implemented via Resolution E-5301 (2023-11-30),"n/a - export credit is hourly, 8760 values per utility","Import billed on a required 'electrification' TOU rate: E-ELEC (PG&E), TOU-D-PRIME (SCE), EV-TOU-5 (SDG&E)",Exports credited at CPUC Avoided Cost Calculator hourly values (usually below retail; can exceed retail on late-summer evenings); net surplus at true-up paid at wholesale (~$0.02-0.03/kWh),Yes,NEM 2.0 legacy rules; SGIP; ELRP,Active,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/demand-side-management/customer-generation/net-energy-metering-and-net-billing,2026-09-16,Primary
CAISO,CA,California statewide (CPUC / CEC / GO-Biz administered),Federal/State,Net Energy Metering 2.0 (legacy / grandfathered),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Closed to new,"Retail-rate bill credit for exports (import rates), netted per metered interval",,"Closed to applications after 2023-04-14. 20-year legacy period from interconnection date (D.14-03-041); legacy runs with the system, not the owner. NEM 1.0 customers who rolled to NEM 2.0 do not get a second 20 years",NEM 2.0 (D.16-01-044); 20-yr transition per D.14-03-041,Customer's otherwise-applicable TOU rate,Exports credited at the customer's retail import rate,"1:1 retail-rate net metering, netted hourly (residential) / 15-min (non-res); non-bypassable charges on each net kWh consumed; net surplus at wholesale (~$0.02-0.03/kWh)",Yes,Storage may be paired with a NEM 2.0 system under D.14-05-033 / D.16-04-020 metering rules without losing legacy status,Closed to new enrollment,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/demand-side-management/customer-generation/net-energy-metering-and-net-billing,2026-09-16,Primary
CAISO,CA,California statewide (CPUC / CEC / GO-Biz administered),Federal/State,NEM legacy forfeiture threshold for system modifications (storage additions),Export-Comp,Residential;SmallC&I;LargeC&I,Battery;Solar+Storage,Default,"Rule, not an incentive",,A grandfathered NEM 1.0/2.0 customer moves to the Solar Billing Plan at their next True-Up only if they increase the RENEWABLE GENERATING nameplate capacity by more than the greater of 1 kW or 10% of the original facility. Adding battery storage alone does not increase renewable generating nameplate capacity and therefore does not forfeit NEM legacy status. PG&E states this in its Solar Billing Plan FAQ.,,,,Adding storage to a grandfathered NEM 2.0 system preserves NEM 2.0 export compensation; adding PV capacity above the 1 kW / 10% threshold forfeits it,Yes,NEM 2.0; SGIP,Active,https://www.pge.com/en/clean-energy/solar/getting-started-with-solar/solar-billing-plan.html,2026-09-16,Primary
CAISO,CA,Pacific Gas and Electric Co (PG&E),IOU,Solar Billing Plan (Schedule NBT),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Default,"Hourly Energy Export Credit at ACC values, plus Energy Export Bonus Credit (ACC Plus adder) for residential systems receiving PTO before 2028",,Residential Energy Export Bonus Credit locked at PTO and paid for 9 years; available only to customers on the Solar Billing Plan before 2028. Business customers moved to SBP billing March 2026,Schedule NBT (Solar Billing Plan),"Required import rate: E-ELEC (Electric Home), peak 4-9 p.m. daily",See E-ELEC row,Hourly Energy Export Credit set from CPUC Avoided Cost Calculator; 8760 hourly values published per year (2023-2026 sheets posted); + ACC Plus adder for residential pre-2028 adopters,Yes,SGIP; ELRP/Power Saver Rewards; SmartRate,Active,https://www.pge.com/tariffs/assets/pdf/tariffbook/ELEC_SCHEDS_NBT.pdf,2026-09-16,Primary
CAISO,CA,Southern California Edison Co (SCE),IOU,Solar Billing Plan (Net Billing Tariff),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Default,"Hourly export credit at ACC values, plus ACC Plus adder for residential systems interconnecting before end of 2027",,ACC Plus adder paid for 9 years; not available to customers required to install solar by building code,Schedule NBT,Required import rate: TOU-D-PRIME,See TOU-D-PRIME row,Hourly export credit at CPUC Avoided Cost Calculator values; + ACC Plus adder for residential pre-2028 adopters; net surplus at wholesale,Yes,SGIP; ELRP; Smart Energy Program,Active,https://www.sce.com/residential/generating-your-own-power/solar-billing-plan,2026-09-16,Primary
CAISO,CA,San Diego Gas & Electric Co (SDG&E),IOU,Solar Billing Plan (Net Billing Tariff),Export-Comp,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Default,Hourly export credit at ACC values,,No ACC Plus adder - CPUC excluded SDG&E residential customers because SDG&E's higher retail rates already produce larger bill savings,Schedule NBT,Required import rate: EV-TOU-5,See EV-TOU-5 row,Hourly export credit at CPUC Avoided Cost Calculator values; NO ACC Plus adder; net surplus at wholesale,Yes,SGIP; ELRP/Power Saver Rewards,Active,https://www.sdge.com/solar/solar-billing-plan,2026-09-16,Primary
CAISO,CA,Pacific Gas and Electric Co (PG&E),IOU,Schedule E-ELEC - Residential Time-of-Use (Electric Home),TOU-Rate,Residential,Battery;EV/EVSE;HeatPump;Solar+Storage,Opt-in,TOU energy rate + daily income-tiered Base Services Charge,"Base Services Charge (eff 2026-03-01): $0.19713/day Income Tier 1, $0.39688/day Tier 2, $0.79343/day Tier 3. CA Climate Credit $36.18/household semiannual","Mandatory rate for residential Net Billing Tariff customers. Otherwise requires a qualifying technology: EV, energy storage (>=2 kWh, or >=0.05% of annual kWh if usage >6,000 kWh/yr), or electric heat pump",Schedule E-ELEC (Cal. P.U.C. Sheet 61545-E; Advice 7975-E eff 2026-08-28; rates per Advice 7921-E eff 2026-06-01),Peak 4-9pm every day incl weekends/holidays; Part-peak 3-4pm and 9pm-12am; Off-peak all other hours. Summer = Jun 1-Sep 30,Total bundled eff 2026-06-01: summer peak $0.55214 / part-peak $0.39026 / off-peak $0.33358 per kWh; winter peak $0.32063 / part-peak $0.29854 / off-peak $0.28468,Per Schedule NBT if on Solar Billing Plan; E-ELEC also open to legacy NEM/NEM2 customers with a qualifying technology,Yes,Solar Billing Plan (NBT); NEM/NEM2; SGIP; ELRP,Active,https://www.pge.com/tariffs/assets/pdf/tariffbook/ELEC_SCHEDS_E-ELEC.pdf,2026-09-16,Primary
CAISO,CA,Pacific Gas and Electric Co (PG&E),IOU,Schedule E-TOU-C - Residential Time-of-Use (Peak Pricing 4-9 p.m. Every Day),TOU-Rate,Residential,GeneralLoad;Battery,Opt-in,TOU energy rate with baseline credit + daily income-tiered Base Services Charge,Baseline credit $0.08140/kWh on baseline usage; Base Services Charge $0.19713 / $0.39688 / $0.79343 per day by income tier (eff 2026-03-01),Bill protection closed to customers enrolling after 2022-05-04,"Schedule E-TOU-C (Cal. P.U.C. Sheet 61124-E, eff 2026-03-01; rates Advice 7921-E eff 2026-06-01)",Peak 4-9pm all days year-round; Off-peak all other times. Summer = Jun 1-Sep 30,Total bundled eff 2026-06-01: summer peak $0.52240 / off-peak $0.39940; winter peak $0.39757 / off-peak $0.36757 per kWh; less $0.08140/kWh baseline credit,Not a solar tariff by itself - export terms come from NEM2 or Schedule NBT,Yes,NEM2; SmartRate; SmartAC,Active,https://www.pge.com/tariffs/assets/pdf/tariffbook/ELEC_SCHEDS_E-TOU-C.pdf,2026-09-16,Primary
CAISO,CA,Pacific Gas and Electric Co (PG&E),IOU,Schedule EV2 (EV2-A) - Residential Time-of-Use for Plug-in Electric Vehicle Customers,EV-Rate,Residential,EV/EVSE;Battery;HeatPump,Opt-in,TOU energy rate with a very wide peak/off-peak spread + daily income-tiered Base Services Charge,Base Services Charge $0.19713 / $0.39688 / $0.79343 per day by income tier (eff 2026-03-01),"Storage-only enrollment is a PILOT capped at 30,000 storage-only customers; battery must be >=2 kWh (or >=0.05% of annual kWh above 6,000 kWh/yr). Whole-premise usage above 800% of baseline over 12 months forces removal to E-TOU-D and a 12-month ban from EV rates",Schedule EV2 (Cal. P.U.C. Sheet 61169-E eff 2026-03-01; rates Advice 7921-E eff 2026-06-01),Peak 4-9pm every day; Part-peak 3-4pm and 9pm-12am; Off-peak all other hours. Summer = Jun 1-Sep 30,Total bundled eff 2026-06-01: summer peak $0.53809 / part-peak $0.42760 / off-peak $0.22558; winter peak $0.41099 / part-peak $0.39428 / off-peak $0.22558 per kWh,Not a solar tariff by itself; NEM2 customers may take EV2,Yes-restricted,NEM2; SGIP; ELRP,Active,https://www.pge.com/tariffs/assets/pdf/tariffbook/ELEC_SCHEDS_EV2%20(Sch).pdf,2026-09-16,Primary
CAISO,CA,Southern California Edison Co (SCE),IOU,Schedule TOU-D Option 4-9PM (TOU-D-4-9PM),TOU-Rate,Residential,GeneralLoad;Battery;HeatPump,Opt-in,TOU energy rate + baseline credit + daily Base Services Charge,"Baseline credit $0.10/kWh up to monthly baseline allocation; Base Services Charge $0.79/day. Extra baseline allocation for heat-pump water heater customers (1.9 kWh/day summer, 2.6 kWh/day winter)",Switching onto a TOU rate locks the customer out of another rate change for 12 months,"Schedule TOU-D, Option 4-9PM","Summer (Jun-Sep): On-peak weekdays 4-9pm; weekend 4-9pm is Mid-peak; Off-peak all other. Winter (Oct-May): Super-off-peak 8am-4pm, Mid-peak 4-9pm, Off-peak all other","Summer weekday on-peak 58c / off-peak 34c; summer weekend mid-peak 46c / off-peak 34c; winter mid-peak 51c / super-off-peak 33c / off-peak 37c per kWh (SCE-published rounded values, no effective date shown on page; subtract 10c baseline credit within allocation)","Per Schedule NBT or NEM2, depending on vintage",Yes,Solar Billing Plan; NEM2; SGIP; ELRP; Smart Energy Program,Active,https://www.sce.com/save-money/rates-financing/residential-rate-plans/time-of-use-plans,2026-09-16,Primary
CAISO,CA,Southern California Edison Co (SCE),IOU,Schedule TOU-D Option 5-8PM (TOU-D-5-8PM),TOU-Rate,Residential,GeneralLoad;Battery;HeatPump,Opt-in,TOU energy rate + baseline credit + daily Base Services Charge,Baseline credit $0.10/kWh up to monthly baseline allocation; Base Services Charge $0.79/day,12-month lock-in after a rate switch,"Schedule TOU-D, Option 5-8PM","Summer (Jun-Sep): On-peak weekdays 5-8pm; weekend 5-8pm Mid-peak; Off-peak all other. Winter (Oct-May): Super-off-peak 8am-4pm, Mid-peak 5-8pm, Off-peak all other","Summer weekday on-peak 74c / off-peak 34c; summer weekend mid-peak 54c / off-peak 34c; winter mid-peak 60c / super-off-peak 32c / off-peak 38c per kWh (SCE-published rounded values, no effective date shown on page)",Per Schedule NBT or NEM2,Yes,NEM2; SGIP; ELRP; Smart Energy Program,Active,https://www.sce.com/save-money/rates-financing/residential-rate-plans/time-of-use-plans,2026-09-16,Primary
