rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
MISO,AR,Entergy Arkansas LLC,IOU,Optional Interruptible Service Rider (OISR),DR-Curtailment,"SmallC&I;LargeC&I",GeneralLoad,Opt-in,$/kW-month credit + bill discount for nonfirm energy,"$4.83/kW monthly minimum demand charge offset; nonfirm energy/demand billed at 57.2% of otherwise applicable rate; $224.68/mo additional customer charge",max 35 hrs/month summer (10 days x1 interruption x4 hr) 55 hrs/month other months; LMR: 10 interruptions/yr 4 hr max,Rate Schedule No. 41,Summer 1-8pm weekdays; Other months 7am-6pm weekdays,,,No,Unknown,Active,http://www.entergyarkansas.com/wp-content/uploads/2024/11/eal_ois.pdf,2026-08-08,High
MISO,AR,Entergy Arkansas LLC,IOU,Non-Legacy Net-Metering Service (NLN-M),Export-Comp,"Residential;SmallC&I;LargeC&I",Solar+Storage,Default,avoided-cost credit for excess generation,avoided cost rate redetermined annually (MISO/SPP LMP-based),,Rate Schedule No. 71,,,avoided cost (annual redetermination); applies to systems interconnected after 9/30/2024 per Arkansas Cost-Shifting Prevention Act of 2023,Yes-restricted,Unknown,Active,https://www.entergyarkansas.com/wp-content/uploads/2025/06/eal_nln-m.pdf,2026-08-08,High
MISO,AR,Entergy Arkansas LLC,IOU,Legacy Net Metering (pre-Act 464/pre-9/30/2024),Export-Comp,"Residential;SmallC&I",Solar+Storage,Closed to new,1:1 kWh credit at retail rate (grandfathered),,,,,,1:1 net metering (legacy, grandfathered),Yes-restricted,Unknown,Closed to new enrollment,https://www.entergyarkansas.com/net-metering,2026-08-08,Medium
MISO,AR,Arkansas Electric Cooperative Corp (AECC) / member co-ops,Cooperative,Net-Metering Tariff (APSC Rules-based, e.g. Carroll Electric Coop),Export-Comp,"Residential;SmallC&I",Solar+Storage,Opt-in,avoided-cost credit,"$250 one-time interconnection fee (typical); avoided cost = 12-mo average MISO/SPP load-zone LMP, redetermined annually by Feb 1 for March 1 effective date",,,,,avoided cost (MISO/SPP LMP annual average),Yes-restricted,Unknown,Active,https://www.carrollecc.com/upload/net%20metering%20tariff.pdf,2026-08-08,Medium
MISO,AR,Ozarks Electric Cooperative,Cooperative,Net Metering,Export-Comp,"Residential;SmallC&I",Solar+Storage,Opt-in,avoided-cost credit for exports; retail rate for consumption,avoided cost per prior-year APSC filing; credits roll over monthly and never expire but apply only to energy portion of bill,,,,,avoided cost of energy (for systems installed after 9/29/2024),Yes-restricted,Unknown,Active,https://www.ozarksecc.com/net-metering,2026-08-08,Medium
MISO,AR,Conway Corp,Municipal,Net Metering,Export-Comp,"Residential;SmallC&I",Solar+Storage,Opt-in,bill credit for excess generation,,,,,,net metering credit (rate not published in source),Yes-restricted,Unknown,Active,https://conwaycorp.com/solar/,2026-08-08,Low
MISO,AR,North Little Rock Electric Department,Municipal,Net Metering (Solar)/Distributed Generation,Export-Comp,"Residential;SmallC&I;LargeC&I",Solar+Storage,Opt-in,avoided-cost credit via dual meters; retail-rate credit for demand-billed via bidirectional meter,,,Ordinance No. 9329,,,Avoided Cost rate; not available to customers on interruptible rates,Yes-restricted,Unknown,Active,http://nlrelectric.com/wp-content/uploads/2025/02/NLR-Net-Metering-and-DG-Rules-Ord-9329-.pdf,2026-08-08,Medium
MISO,LA,Entergy Louisiana LLC,IOU,Rider IES (Interruptible Economic Service),DR-Curtailment,"SmallC&I;LargeC&I",GeneralLoad,Opt-in,$/kW-month demand credit,$2.91/kW-month,"1 interruption/day, 12 hr max, 150 hr/yr cap, 2 hr advance notice, 5-yr contract, reliability only",Rider IES,,,,No,Unknown,Active,https://www.entergylouisiana.com/business/interruptible,2026-08-08,High
MISO,LA,Entergy Louisiana LLC,IOU,Rider EIO Option B,DR-Curtailment,"SmallC&I;LargeC&I",GeneralLoad,Opt-in,$/kW-month demand credit,$4.50/kW-month,"1 interruption/day, 12 hr max, 300 hr/yr cap, 2 hr advance notice, 7-yr contract, reliability and economic",Rider EIO,,,,No,Unknown,Active,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_eio.pdf,2026-08-08,High
MISO,LA,Entergy Louisiana LLC,IOU,Rider EIO Option C,DR-Curtailment,LargeC&I,GeneralLoad,Opt-in,$/kW-month demand credit,$5.66/kW-month,"up to 2 interruptions/day (2nd reliability-only), 8 hr max, 300 hr/yr cap, 30-min advance notice, 10-yr contract, reliability and economic",Rider EIO,,,,No,Unknown,Active,https://www.entergylouisiana.com/wp-content/uploads/ell_elec_eio.pdf,2026-08-08,High
