rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
ISO-NE,NH,New Hampshire Electric Cooperative,Cooperative,Transactive Energy Rate Pilot Program,VPP,Residential,Battery;EV/EVSE;V2G;Solar+Storage,Pilot;Opt-in,24 hourly avoided-cost rates set day-ahead; export credited at hourly rate,Est. $1200/yr (5kW battery); $1700/yr (8.6kW PV+battery); $4000/yr per V2G EV,"Pilot limited to 50 of 85,000 customers; 6-month pilot",Transactive Energy Rate,"Day-ahead 24-hour price signal, no fixed window","Hourly avoided-cost rate, varies day-ahead",Net export at same hourly avoided-cost rate,Yes,Unknown,Pilot,https://www.nhec.com/energy-management/transactive-energy-rate-program/,2026-09-26,Secondary
ISO-NE,NH,New Hampshire Electric Cooperative,Cooperative,Time of Day Rate,TOU-Rate,Residential,GeneralLoad;EV/EVSE;Battery,Opt-in,rate discount off-peak / premium on-peak,"on-peak ~$0.21/kWh, off-peak ~$0.11/kWh (2023 figures, verify current)",N/A - always-on TOU schedule,Time of Day Rate Schedule,See tariff for seasonal on/off-peak hours,on ~21c / off ~11c per kWh (2023),Not specified,Unclear,Peak Days program,Active,https://www.nhec.com/time-of-day-rates/,2026-09-26,Primary
ISO-NE,NH,New Hampshire Electric Cooperative,Cooperative,Peak Days Program,CPP-PTR,Residential;SmallC&I,GeneralLoad;Thermostat/AC,Opt-in,bill credit for reduced usage on called peak days,Not published,Small number of high-demand days per year,Peak Days,"Called day, hours not published",,Not applicable,Unclear,Time of Day Rate,Active,https://www.nhec.com/peak-days/,2026-09-26,Primary
ISO-NE,NH,New Hampshire Electric Cooperative,Cooperative,"ENGIE Moultonborough Battery Storage (utility-owned, non-BTM)",Storage-Incentive,All,Battery,Default,utility-scale 2.45MW battery discharges to reduce transmission/capacity charges,Est. $2.3M savings to members over 12 years,N/A - utility dispatched,N/A,Discharges during regional peak,,"N/A - utility-side asset, no customer BTM participation",No,N/A,Active,https://www.nhec.com/mobo-battery-storage/,2026-09-26,Primary
ISO-NE,NH,Liberty Utilities (Granite State Electric),IOU,Battery Storage Program (Tesla Powerwall pilot),Storage-Incentive,Residential,Battery,Closed to new,"utility-owned Powerwall 2 lease; customer pays $25/mo per battery x2 (or $4,866 upfront); customer moved to TOU rate; exports at net metering rate during monthly peak event","$25/battery/month x 2 batteries = $50/mo for 10 yrs, or $4,866 upfront",Phase 1: 200 batteries (100 customers); Phase 2: +300 batteries (150 customers); dispatched at Liberty's believed monthly peak,Battery Storage Program / TOU Rider,"On-peak 8am-3pm weekdays, Critical-Peak 3-8pm weekdays (May-Oct and Nov-Apr identical)",Off-peak/On-peak/Critical-Peak per TOU schedule (values not published on this page),Net Metering rate for battery export during monthly peak event,Yes,Unknown,Closed to new enrollment,https://new-hampshire.libertyutilities.com/bath/residential/smart-energy-use/electric/battery-storage.html,2026-09-26,Primary
ISO-NE,ME,Efficiency Maine,Federal/State,Demand Response Initiative (DRI),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Generator,Opt-in,"$/MW-season pay-for-performance curtailment, paid via Program Partner","$35,000 per 1 MW of average curtailment per season","3-5 events/summer (Jun-Sep), day-ahead notice, afternoon window","N/A - third-party administered via Program Partners, serves CMP and Versant customers","Typically 3-6pm or 4-7pm, non-holiday weekdays, Jun-Sep",,,Unclear,ISO-NE Active Demand Capacity Resource (ADCR) - stackable,Active,https://www.efficiencymaine.com/demand-response/,2026-09-26,Secondary
ISO-NE,ME,Efficiency Maine,Federal/State,Energy Storage System (ESS) Program,Storage-Incentive,SmallC&I;LargeC&I,Battery,Opt-in,"$/kW performance incentive for validated peak demand reduction, paid annually for 5 years","$200/kW of validated reduction; awards $4,000-$600,000/project/year for 5 years","Summer peak demand conditions, annual evaluation",Energy Storage System PON,"Summer peak events, per PON",,,Yes,Unknown,Active,https://www.efficiencymaine.com/energy-storage-system-projects/,2026-09-26,Primary
ISO-NE,ME,Efficiency Maine,Federal/State,Small Battery Management Program,DR-BYOD,Residential;SmallC&I,Battery,Opt-in,"$/kW of average discharge during DR events, paid annually in December, plus signup bonus",$100/kW average discharge; $100 signup bonus (enroll by 12/31/2026); +$100 for first 50 enrollees; ~$300/yr typical,40-60 events between Jun 1-Sep 30; battery inverter capacity capped at 20kW,Small Battery Program Opportunity Notice,"Summer DR events, hours per notice",,,Yes,Unknown,Active,https://www.efficiencymaine.com/docs/Small-Battery-Program-Opportunity-Notice.pdf,2026-09-26,Primary
ISO-NE,ME,Versant Power,IOU,Home Eco Time-of-Use Rate,TOU-Rate,Residential,Battery;EV/EVSE;GeneralLoad,Opt-in,rate discount off-peak nights/weekends,Not published on program page,N/A,Home Eco TOU Rate,Primarily nights and weekends,Not published,Not applicable,Yes,Home Eco with Bonus Meter TOU Rate,Active,https://www.versantpower.com/energy-solutions/eco-rates,2026-09-26,Primary
ISO-NE,ME,Versant Power,IOU,Home Eco with Bonus Meter Time-of-Use Rate,TOU-Rate,Residential,Battery;EV/EVSE,Opt-in,separately-metered TOU rate discount nights/weekends,Not published on program page,N/A,Home Eco Bonus Meter TOU Rate,Primarily nights and weekends,Not published,Not applicable,Yes,Home Eco TOU Rate,Active,https://www.versantpower.com/energy-solutions/eco-rates,2026-09-26,Primary
