rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
PJM-market,multi,PJM Interconnection,RTO,Reliability Pricing Model - Capacity Performance,Wholesale-Market,All,Battery;Solar+Storage;Generator;GeneralLoad;Any,Opt-in,$/MW-day UCAP capacity payment cleared in Base Residual Auction; single year-round CP product,Set by BRA clearing price (see BRA rows); bounded by FERC-approved Market Seller Offer Cap tied to Net ACR,Must perform during all Performance Assessment Hours across the Delivery Year; 24x365 obligation; no seasonal or hourly call cap,OATT Attachment DD; RAA Schedule 8.1,,,,Yes,Synchronized Reserve;Regulation;Energy Arbitrage;Order 2222 DER Aggregation,Active,https://www.pjm.com/-/media/DotCom/documents/manuals/m18.ashx,2026-08-08,High
PJM-market,multi,PJM Interconnection,RTO,RPM Demand Resource (Limited/Extended Summer/Annual DR),Wholesale-Market,All,GeneralLoad;Battery;Solar+Storage,Opt-in,$/MW-day capacity payment cleared alongside generation in BRA; same CP performance obligation applies,Same cleared BRA price as generation capacity ($329.17/MW-day RTO for 2026/2027 DY),Annual DR must be available year-round; Limited DR covers June-Sept weekdays; Extended Summer DR covers May-Sept; all DR products require minimum 10-consecutive-hour sustained reduction capability since Capacity Performance eliminated Base Capacity,OATT Attachment DD Section 5.5A; Manual 18 Section 4,,,,Yes-restricted,Economic Load Response;Emergency Load Response;Synchronized Reserve,Active,https://www.pjm.com/-/media/DotCom/documents/manuals/m18.ashx,2026-08-08,High
PJM-market,multi,PJM Interconnection,RTO,2026/2027 Base Residual Auction Results,Wholesale-Market,All,Any,Opt-in,$/MW-day UCAP capacity clearing price set at auction,$329.17/MW-day UCAP RTO-wide (FERC price cap); all LDAs cleared at the cap; 134311 MW UCAP procured,Delivery Year June 1 2026 to May 31 2027; price cap $329.17/MW-day and price floor $177.24/MW-day per Reliability Resource Initiative parameters,OATT Attachment DD,,,,Yes,Synchronized Reserve;Regulation;Energy Arbitrage,Active,https://www.pjm.com/-/media/DotCom/about-pjm/newsroom/2025-releases/20250722-pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal.pdf,2026-08-08,High
PJM-market,multi,PJM Interconnection,RTO,2025/2026 Base Residual Auction Results,Wholesale-Market,All,Any,Opt-in,$/MW-day UCAP capacity clearing price set at auction,$269.92/MW-day RTO and most LDAs; BGE cleared at $466.35/MW-day; Dominion cleared at $444.26/MW-day for Delivery Year 2025/2026,Delivery Year June 1 2025 to May 31 2026; 135684 MW UCAP cleared; 18.6% reserve margin,OATT Attachment DD,,,,Yes,Synchronized Reserve;Regulation;Energy Arbitrage,Active,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,2026-08-08,High
PJM-market,multi,PJM Interconnection,RTO,2027/2028 Base Residual Auction Results,Wholesale-Market,All,Any,Opt-in,$/MW-day UCAP capacity clearing price set at auction,$333.44/MW-day UCAP RTO-wide (FERC price cap); 134479 MW UCAP procured; total cleared value approximately $16.4 billion,Delivery Year June 1 2027 to May 31 2028; first auction where RTO-wide cleared capacity fell short of the reliability requirement (short by 6623 MW),OATT Attachment DD,,,,Yes,Synchronized Reserve;Regulation;Energy Arbitrage,Active,https://www.pjm.com/-/media/DotCom/about-pjm/newsroom/2025-releases/20251217-pjm-auction-procures-134479-mw-of-generation-resources.pdf,2026-08-08,High
PJM-market,multi,PJM Interconnection,RTO,Capacity Performance Non-Performance Charge and Bonus (Performance Assessment),Wholesale-Market,All,Battery;Solar+Storage;Generator;GeneralLoad,Opt-in,Non-Performance Charge Rate applied per MW of shortfall during Performance Assessment Intervals; funds bonus payments to over-performing resources; rate derived from Net CONE divided by an EFORd-adjusted reserve factor,Aggregated Non-Performance Charges across 2025 Performance Assessment events estimated by PJM at $1 billion to $2 billion system-wide; per-resource Non-Performance Charge Rate not independently confirmed for current Delivery Year,Assessed per 5-minute interval during any Performance Assessment Hour (Emergency or Pre-Emergency Load Management event); Stop-Loss provisions cap annual non-performance exposure at a multiple of a resource's weekly capacity revenue,OATT Attachment DD Section 10A; Manual 18 Section 4,,,,Yes,Unknown,Active,https://www.pjm.com/-/media/DotCom/markets-ops/rpm/performance-assessment-settlement-summary.ashx,2026-08-08,Medium
PJM-market,multi,PJM Interconnection,RTO,Emergency Load Response Program (Full Program and Energy Only Options),DR-Curtailment,All,GeneralLoad;Generator;Battery,Opt-in,$/MWh energy credit paid at real-time LMP for verified load reduction during PJM-declared emergencies,Paid at real-time LMP for curtailed MWh; no fixed $/MW-day payment,Called only during PJM-declared Capacity Emergency Pre-Emergency or Maximum Emergency conditions per Manual 13; Full Program participants must curtail when directed while Energy Only participants respond voluntarily,OATT Attachment K-Appendix; Manual 13 Section 2,,,,Yes,Economic Load Response;RPM Demand Resource,Active,https://www.pjm.com/-/media/DotCom/documents/manuals/m13.pdf,2026-08-08,Medium
PJM-market,multi,PJM Interconnection,RTO,Economic Load Response (Day-Ahead and Real-Time Demand Bidding),DR-Curtailment,All,GeneralLoad;Generator;Battery,Opt-in,Curtailment Service Providers bid demand reductions into day-ahead or real-time energy market; paid at cleared nodal LMP for the bid hours,Paid at nodal LMP; composite energy offers above $1000/MWh and up to $2000/MWh face additional screening under Manual 11 offer-cap rules,Voluntary participation; no PJM-declared emergency required; bid must clear like a generation offer; subject to a Net Benefits Test,Manual 11 Section 5,,,,Yes,Emergency Load Response;Price Responsive Demand,Active,https://www.pjm.com/-/media/DotCom/documents/manuals/m11.pdf,2026-08-08,Medium
PJM-market,multi,PJM Interconnection,RTO,Synchronized Reserve Market (Tier 1 and Tier 2),Wholesale-Market,All,Battery;Generator;GeneralLoad,Opt-in,$/MWh capacity payment cleared in the 10-minute co-optimized reserve market; Tier 1 is spare energy from online resources deliverable within 10 minutes while Tier 2 is called only when Tier 1 is insufficient,Clearing prices vary by hour and reserve zone and were not independently confirmed for 2026; PJM added a 30% adder to the Synchronized Reserve requirement in May 2023 after under-performance during reserve events,Must respond within 10 minutes and sustain for the event duration; deployed via a PJM-declared Synchronized Reserve Event,OATT Schedule 1; Manual 11 Section 8,,,,Yes,Regulation;Capacity Performance;Energy Arbitrage,Active,https://www.pjm.com/-/media/DotCom/etools/markets-gateway/synchronized-reserve-deployment-and-reserve-price-formation-faq.pdf,2026-08-08,Medium
PJM-market,multi,PJM Interconnection,RTO,Non-Synchronized Reserve,Wholesale-Market,All,Battery;Generator;GeneralLoad,Opt-in,$/MWh payment for offline or fast-start capacity deliverable within 10 minutes co-optimized with energy and Synchronized Reserve,Not independently confirmed for 2026; cleared jointly with Synchronized Reserve under PJM's 2023 reserve price formation reform,10-minute response requirement; consolidated Tier 1/Tier 2 procurement aligned across Day-Ahead and Real-Time markets under the 2023 reserve reform,OATT Schedule 1; Manual 11,,,,Yes,Synchronized Reserve;Regulation,Active,https://insidelines.pjm.com/pjm-implements-reserve-price-formation-changes/,2026-08-08,Low
