utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
PECO Energy Co,PA,PJM,export_credit_value;ic_timeline_days,"Follows PA statewide Chapter 75 caps/fees with no size/fee deviation. Export credit (annual true-up) valued at PECO's Price-to-Compare, ~11.0-11.8 cents/kWh as of Q1-Q2 2026 (fluctuates with PUC-approved default service procurement). PUC's 2022-2024 interconnection report flags PECO as having a disproportionate number of Level 1->Level 2 upgrades (141 in 2024) due to antiquated low-voltage distribution circuits in parts of its territory -- expect engineering-study kickbacks on Level 1 applications more often than other PA EDCs.",,,,,"~11.0-11.8 cents/kWh (Price-to-Compare, fluctuates quarterly)",,,,,,,,"Largest PA EDC by interconnection volume (25,252 cumulative Tier I interconnections through 2024, 2nd behind PPL); mean Level 2 review time ~21 days (2024), roughly in line with statutory targets but circuit-upgrade kickbacks add delay for a meaningful subset of projects.",https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
PPL Electric Utilities Corp,PA,PJM,export_credit_value,"Follows PA statewide Chapter 75 caps/fees with no size/fee deviation. Export credit valued at PPL's Price-to-Compare, ~13.0 cents/kWh as of Q2 2026. PPL is the largest PA EDC by customer-generator count (25,252 as of 2024) and has the fastest, most automated Level 1 review process among major PA EDCs (mean ~1 business day in 2022-2024, well under the 25-business-day statutory cap) -- notably favorable for fast Level 1 (<=10kW) BESS-attached PV interconnection.",,,,,"~13.0 cents/kWh (Price-to-Compare, fluctuates quarterly)",,,,,,,,PPL explicitly requires UL 1741 Supplement B / IEEE 1547-2018 certified inverters. Fastest Level 1 turnaround of any major PA EDC by a wide margin.,https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
Metropolitan Edison Co (Met-Ed),PA,PJM,export_credit_value;ic_timeline_days,"Follows PA statewide Chapter 75 caps/fees. Export credit valued at Met-Ed's Price-to-Compare, ~13.0 cents/kWh as of Q2 2026. Mean Level 2 review time was an outlier at 188 days in 2024 (vs. ~20-business-day statutory target) -- material delay risk for >10kW C&I storage-paired systems in this territory; investigate before assuming a standard timeline.",,,,,"~13.0 cents/kWh (Price-to-Compare, fluctuates quarterly)",,,,,,,,"PUC's 2022-2024 interconnection report documents Met-Ed approving battery retrofits onto existing net-metered solar (e.g., 2 requests in 2024 approved to add a 10kW battery to an existing solar PV interconnection, moved from Level 1 to Level 2 review) -- confirms PA/Met-Ed permits storage-only retrofit additions to a legacy net-metered PV system without disqualifying the existing interconnection, though the addition itself gets re-reviewed at the higher level triggered by combined capacity.",https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
Pennsylvania Electric Co (Penelec),PA,PJM,export_credit_value,"Follows PA statewide Chapter 75 caps/fees. Export credit valued at Penelec's Price-to-Compare, ~11.7 cents/kWh as of Q2 2026. Notably high Level 2->Level 3 escalation rate in 2024 (78 of ~240 Level 2 requests moved up due to Level 2 screening failure) -- rural circuits in Penelec territory more often trigger full studies than other FirstEnergy-PA utilities.",,,,,"~11.7 cents/kWh (Price-to-Compare, fluctuates quarterly)",,,,,,,,,https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
Pennsylvania Power Co,PA,PJM,export_credit_value,Follows PA statewide Chapter 75 caps/fees (branded 'Penn Power' in PUC reporting). Export credit valued at Penn Power's Price-to-Compare; specific current rate not independently retrieved this pass -- verify against PA PowerSwitch before use.,,,,,Unclear -- not independently retrieved this pass,,,,,,,,,https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Low
West Penn Power Co,PA,PJM,export_credit_value,"Follows PA statewide Chapter 75 caps/fees. Export credit valued at West Penn's Price-to-Compare, ~10.9-12.1 cents/kWh depending on source/date (West Penn's NEM year runs to May 31; PTC of 12.075 cents/kWh cited effective June 1 2026 in one secondary source -- reconcile both figures before use). Level 3 reviews were an outlier at 125 mean days in 2023 (vs 2024 improvement).",,,,,"~10.9-12.1 cents/kWh (Price-to-Compare, varies by source/date -- reconcile)",,,,,,,,,https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
Duquesne Light Co,PA,PJM,export_credit_value;ic_timeline_days,"Follows PA statewide Chapter 75 caps/fees. Export credit valued at Duquesne's Price-to-Compare, ~13.75-14.1 cents/kWh as of Q1-Q2 2026 (highest PTC among major PA EDCs, favorable for NEM economics but also the benchmark rate for default-service Hourly SOS customers). PUC's 2022-2024 report identifies Duquesne as the ONLY major EDC whose mean Level 1 review time (28 days in 2024) exceeded the 25-business-day statutory requirement -- flag for real-world timeline risk on <=10kW systems, including small residential storage-paired PV. Level 2 review also slow (35 days mean, 2024).",,,,,"~13.75-14.1 cents/kWh (Price-to-Compare, fluctuates quarterly)",,,,,,,,"Duquesne also offers Default Service Hourly Pricing (Hourly SOS) for large C&I customers -- an hourly LMP-indexed passthrough rate that is directly relevant to storage arbitrage economics on the import side, separate from NEM export credit.",https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
UGI Utilities Inc - Electric Division,PA,PJM,all,"Small FirstEnergy-adjacent-style electric-only division (UGI's core business is natural gas; electric service territories are limited pockets in northeastern/central PA). Follows PA statewide Chapter 75 rules but is a minor EDC with a small interconnection volume (82 customer-generators as of 2024, smallest major reporting EDC alongside Wellsboro/Pike/Citizens). In Feb 2025 the PUC approved a default service Settlement Agreement affecting how net-metering customer-generators are classified for service rates at UGI -- a live, utility-specific reclassification worth checking before modeling a UGI-territory system. UGI also had 13 interconnection requests in 2024 moved to a higher review level because aggregate generation on the circuit exceeded 15% of line-section annual peak load -- indicates UGI's small, likely older distribution circuits saturate faster than larger EDCs' circuits.",,,,,Unclear -- not independently retrieved this pass,,,,,,,,,https://www.puc.pa.gov/media/3263/net-metering-interconnection-report-2022-2024-final.pdf,2026-08-09,Medium
Delmarva Power & Light Co (Delmarva DE),DE,PJM,nem_cap_nonres_kw,"PSC-regulated IOU; nonresidential net-metering cap is 2 MW per meter at Delmarva (vs. 500 kW per meter at DEC or a DEMEC municipal utility) -- Delmarva DE customers get a materially larger nonresidential system-size ceiling than co-op/muni customers in the state. Residential 25kW cap and annual-expiry true-up (per SB 298, 2022) apply as state default. Also administers Delaware's statewide Green Energy Program (established 1999, funded via a per-kWh surcharge on Delmarva customers) which has awarded >$55M in grants for renewable/storage-adjacent projects since inception -- separate from net metering and worth surfacing to Delmarva-territory customers evaluating a design.",25,2000,,,,,,,,,,,Delmarva publishes its own interconnection guidelines and battery-storage-specific interconnection documentation separate from DEC's forms; grid-charging/non-export provisions not independently confirmed this pass.,https://depsc.delaware.gov/delawares-renewable-portfolio-standard-green-power-products,2026-08-09,Medium
Delaware Electric Cooperative,DE,PJM,all,"DEC is a member-owned cooperative and is NOT bound by PSC-adopted net metering/interconnection regulations -- it promulgates its own rules per 26 Del. C. Section 1014's direction that cooperatives set their own. DEC's nonresidential cap is 500 kW per meter (vs 2 MW at Delmarva). DEC requires a separate supplemental Battery Storage Interconnection Application in addition to the base Interconnection Application whenever a battery is added alongside a generating system -- distinct paperwork track from solar-only net metering. DEC has separate agreement forms for Net Metering (>100kW), Non-Export (<100kW), and Battery Storage, implying DEC treats sub-100kW systems as non-export by default absent net-metering election -- verify this reading against the actual agreement text. Implementation history: DEC initially set its post-SB-298 annualized billing period to end in December with no final credit payout, which caused customer/legislator backlash (particularly among large-payout farm net-metering customers); DEC then moved to a period ending in March and made a one-time exception credit for that first transition year.",25,500,,,,,,Required (per DEC interconnection forms terminology distinguishing 'Non-Export' agreements from 'Net Metering' agreements),"Yes -- DEC's <100kW 'Non-Export' interconnection agreement path appears to function as DEC's defined non-export/limited-export track, distinct from full net metering",Unclear -- not independently confirmed whether DEC credits or restricts grid-charging of the battery storage systems covered by its supplemental Battery Storage Interconnection Application,,,Requires supplemental Battery Storage Interconnection Application whenever storage is paired with a generating system; maintains a distinct <100kW Non-Export interconnection track separate from Net Metering and Battery Storage agreements.,https://www.delaware.coop/energy-savings-programs/solar-interconnections,2026-08-09,Medium
