rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
CAISO-market,multi,California Independent System Operator,RTO,"Distributed Energy Resource Provider (DERP) - Distributed Energy Resource Aggregation (DERA), energy and ancillary services",Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;EV/EVSE;Any,Opt-in,$/MWh Day-Ahead and Real-Time LMP at the aggregation's PNode(s) (weighted by Generation Distribution Factors) plus $/MW ancillary service capacity awards; settled as a single supply resource,,"Aggregation minimum 100 kW (reduced from 0.5 MW under Order 2222; validated as aggregate Pmax >= 0.1 MW); individual DERs must be under 1 MW (a generating unit of 1 MW or more in the CAISO BAA must become a Participating Generator instead); aggregation spanning multiple PNodes capped at 20 MW; all DERs must sit in ONE Sub-LAP; a DER may be in only one DERA and may not also participate in the CAISO market separately. Modeled as a generic Non-Generating Resource, non-REM subtype. Requires a DERP Agreement (Tariff Appendix B.21), a certified Scheduling Coordinator with a Meter Service Agreement for SCs (SC Metered Entity, SQMD submitted daily for all intervals), a 30-business-day UDC/MSS concurrence review before New Resource Implementation, and UDC interconnection (Rule 21 / WDT) approval. Telemetry: not required for energy-only unless 10 MW or greater; required at any size for Spin/Non-Spin (4-second status). Aggregated response at each PNode must move in the direction of the dispatch","CAISO Tariff Section 4.17 (4.17.3 Requirements, 4.17.4 UDC review, 4.17.5 Characteristics, 4.17.6 Operating Requirements) and Appendix B.21 (DERP Agreement); Appendix K ASRP A.1.1/B.1.1/C.1.1; BPM for Generator Management; BPM for Market Instruments; BPM for Direct Telemetry",,,Net injections settled at PNode LMP (GDF-weighted); charging settled as negative supply,Yes,"Energy + Spinning + Non-Spinning Reserve from the same DERA. NOT eligible to provide Resource Adequacy per CAISO's PDR-DERP-NGR-LFA comparison matrix (Nov 2023). A DER in a DERA may not also be in another DERA, may not bid separately, and may not be on a retail NEM program that does not expressly permit wholesale participation (Tariff 4.17.3). Seven entities hold DERP Agreements (3rd Rock Systems, Apparent Energy, Galt Power, Olivine, SDG&E, Shell Energy North America, Silicon Valley Clean Energy)",Active,https://www.caiso.com/documents/participationcomparison-proxydemand-distributedenergy-storage-forecastadjustment.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Heterogeneous DER Aggregation (HDERA) with Distributed Curtailment Resources - FERC Order 2222 model,Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;GeneralLoad;EV/EVSE;Generator;Any,Opt-in,$/MWh LMP on the SUM of net DER energy injection plus DCR demand curtailment (curtailment metered as positive supply); settled as one generic NGR non-REM resource,,"Live since November 1 2024 (Tariff 4.17.7, 11.6.5.1, 30.5.2.6). Must contain at least one Distributed Curtailment Resource (demand response) and may also contain injecting DERs. Minimum 100 kW aggregate Pmax. All locations in the same Sub-LAP; PNodes Pre-Defined (default GDFs) or Customized (DERP-specified GDFs summing to 1); GDFs may be resubmitted with hourly bids. Bids are subject to the same Net Benefits Test price threshold as PDR. DCR curtailment is measured against an ISO-approved baseline from Tariff 4.13.4 (weather matching, control group, day-matching 10-in-10 / 5-in-10 residential / combined, Meter Generator Output variants, EVSE residential/non-residential variants, PDR-LSR variants). SCME must submit net DER energy, DCR curtailment, the baseline used, and underlying hourly consumption for all baseline days. Any change to locations, capacity, baseline or SC requires a new UDC concurrence (Attachment A) submission","CAISO Tariff Sections 4.17.7, 11.6.5.1, 30.5.2.6, 4.13.4; FERC Order 2222 Business Requirements Specification v1.2 (Jun 28 2024) BRQ-002, BRQ-005, BRQ-008, BRQ-009, BRQ-106; BPM for Demand Response Section 5 (baselines)",,,Net DER injection + DCR curtailment both settled at PNode LMP,Yes,Energy + Spin/Non-Spin as for DERA. Same double-counting guard as DERA: DER on a retail NEM program that does not expressly permit wholesale participation is barred; UDC may raise double-counting concerns in its review,Active,https://www.caiso.com/documents/business-requirements-specification-ferc-order-2222.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,FERC Order 2222 implementation status - CAISO DER Aggregation,Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;EV/EVSE;Any,Opt-in,Rule / timeline row - no direct payment,,"COMPLETE. CAISO has had a DERP/DERA model since 2016 (tariff 4.17 as of Jun 3 2016; minimum 0.5 MW). Order 2222 compliance filed July 19 2021 (amended Nov 1 2021); FERC accepted it June 17 2022 (179 FERC 61197), most revisions effective June 16 2022 (incl. 100 kW minimum, small-utility opt-in, NEM double-count guard, revised DER definition). Second compliance filing Aug 15 2022 (amended Jan 10 2023) accepted May 18 2023 (183 FERC 61119) with the heterogeneous DERA / Distributed Curtailment Resource provisions deferred to no later than Nov 1 2024. CAISO implemented them November 1 2024 and filed an informational filing Nov 5 2024 stating this completes its Order 2222 compliance. CAISO was the first RTO/ISO to finish","FERC Docket ER21-2455; CAISO Tariff Sections 4.17.3-4.17.7, 11.6.5.1, 30.5.2.6, Appendix B.21, Appendix K",,,,Yes,Applies to DERA and HDERA; does not change PDR/RDRR rules,Active,https://www.caiso.com/documents/nov-5-2024-informational-filing-of-effective-date-ferc-order-no-2222-er21-2455.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Small utility opt-in gate and state aggregation rules for DER Aggregations,Wholesale-Market,SmallC&I;LargeC&I;Residential,Battery;Solar+Storage;Generator;GeneralLoad;Any,Opt-in,Eligibility gate - no payment,,"California has NOT opted out of third-party aggregation of retail customers; CPUC has permitted third-party Demand Response Providers to bid retail customers into CAISO as PDR since the DR direct-participation rules (Electric Rule 24 at PG&E/SCE, Rule 32 at SDG&E). The only Order 2222 gate is the small-utility provision: CAISO may not accept a DERA containing customers of a utility that distributed 4 million MWh or less in the prior fiscal year unless that utility's RERRA permits it (DERP Agreement Appendix B.21 Section 4.1.4; the same opt-in already existed in the pro forma Demand Response Provider Agreement). In practice this reaches small California publicly owned utilities and MSS operators inside the CAISO BAA. Separately a DER on a retail net energy metering program that does not expressly permit wholesale participation is barred from a DERA",CAISO Tariff Appendix B.21 Section 4.1.4 (Small Utility Limits); Tariff Section 4.17.3; FERC 183 FERC 61119 (May 18 2023) at P 5,,,,Yes,"Customers of PG&E, SCE and SDG&E face no opt-in gate",Active,https://www.caiso.com/Documents/May18-2023-OrderAcceptingComplianceFilingofFERCOrderNo2222-ER21-2455.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Proxy Demand Resource (PDR) - energy,Wholesale-Market,Residential;SmallC&I;LargeC&I,GeneralLoad;Thermostat/AC;Battery;Solar+Storage;EV/EVSE;Generator;Any,Opt-in,$/MWh Day-Ahead and Real-Time LMP (at a proxy-generator PNode or GDF-weighted Sub-LAP aggregation) on Demand Response Energy Measurement = Customer Baseline minus actual load; paid only when bids clear at or above the monthly Net Benefits Test price threshold,"DMM-reported 2024 net energy market revenue per MWh delivered (RA-counted PDR): utility PDR about $144/MWh, third-party PDR about $48/MWh; per kW-year: utility PDR $1.59, third-party PDR $2.67 (2024), down from $26.97 and $15.18 (2022). Real-time soft offer cap $1,000/MWh (hard cap $2,000/MWh under stressed conditions); CPUC caps non-DRAM RA PDR bids at $949/MWh from 2024 (D.23-06-029)","Minimum 100 kW curtailment for energy, sustainable for bid duration; must bid at or above the Net Benefits Test threshold price (Tariff 30.6.3, posted monthly); Day-Ahead and Real-Time energy; real-time bid dispatch option 60, 15 or 5 minutes (default 60; hourly-block option not eligible for energy bid cost recovery); all locations under one LSE and one Sub-LAP per registration (resource may span LSEs per comparison matrix); Demand Response Provider Agreement plus a certified SC; LSE and UDC 10-day location review in DRRS; outages only as 0 MW (all-or-nothing) PMax derates; telemetry not required for energy unless Pmax 10 MW or greater; statistical sampling permitted where interval metering is incomplete (min sample 271/(N+271)). Baselines: 10-in-10 (adj. cap 80-120%), 5-in-10 residential (71-140%), weather matching, control group (>=150 end users), Meter Generator Output (MGO) and combinations, EVSE","CAISO Tariff Sections 4.13, 4.13.4 (baselines), 11.6, 30.6.3 (NBT), Appendix B (DRPA); BPM for Demand Response Sections 2, 5, 7, 11, 15, 16",,,No export credit - net export intervals set to zero,Yes-restricted,"Stacks with PDR Spin/Non-Spin and with RA (NQC). NEM locations may join, but any interval with net export at a location is set to zero under Customer Load Baseline methods; under MGO the storage/generator output counts only up to on-site demand and is zeroed while charging - so a PDR battery earns for offsetting on-site load, NOT for export. CPUC-jurisdictional double-counting rules (e.g. no simultaneous enrollment in utility DR programs for the same load) apply via the UDC/LSE review",Active,https://bpmcm.caiso.com/BPM%20Document%20Library/Demand%20Response/BPM_for_Demand_Response_V10_Redline.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Proxy Demand Resource - Load Shift Resource (PDR-LSR),Wholesale-Market,Residential;SmallC&I;LargeC&I,Battery;Solar+Storage,Opt-in,Two resource IDs: Curtailment (CUR) paid $/MWh LMP for load reduction/discharge like a PDR; Consumption (CON) bids from the bid floor up to below $0/MWh and is paid (negative LMP) for increasing load (charging) during oversupply,,"Registered location(s) must include at least one behind-the-meter storage device (sub-metered). Must bid real-time in 5- or 15-minute intervals only (no hourly option); both IDs registered on the same GRDT with the same bid option, SC and effective dates. CUR ID: FUEL_TYPE GEN, eligible for RA and Spin/Non-Spin, must bid at or above the NBT threshold, non-export rules apply. CON ID: modeled like an NGR Dispatchable Demand Resource (MIN_GEN<0, MAX_GEN=0), ineligible for RA and ancillary services, bid must be below $0. Performance: storage-only configuration, or facility-load CLB plus storage (PDR-LSR with 5-in-10, 10-in-10, combined, or weather-matching)","CAISO Tariff Sections 4.13.4.7 and 11.6.7; BPM for Demand Response Sections 2, 5.7, 7, 8, 16",,,No export credit - curtailment side uses non-export rules,Yes,The CUR side stacks with RA and Spin/Non-Spin; the CON side is energy-only. Charging credit only when the CON resource is dispatched at negative prices; ordinary retail-rate charging is not credited,Active,https://www.caiso.com/library/proxy-demand-resource-load-shift-resource-pdrlsr,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Proxy Demand Resource (PDR) - Spinning and Non-Spinning Reserve,Wholesale-Market,SmallC&I;LargeC&I,GeneralLoad;Battery;Solar+Storage;Generator,Opt-in,$/MW-hour ancillary service capacity award (Day-Ahead and Real-Time Spin / Non-Spin marginal prices) plus energy if dispatched,,"Minimum 500 kW curtailment, sustainable 30 minutes for Spin/Non-Spin awards; requires Ancillary Service certification and direct telemetry at ANY size (4-second status, 60-second update, 1-minute scan per Direct Telemetry BPM); PDR must submit load meter data for the interval before, during and after awarded intervals; No-Pay charge rescinds reserve capacity payment if the resource does not perform. PDR cannot provide Regulation. Statistical sampling allowed for RT/AS only when all locations have interval meters","CAISO Tariff Section 8 and Appendix K (ASRP); BPM for Demand Response Sections 2, 11, 12; BPM for Direct Telemetry",,,,Yes-restricted,Stacks with PDR energy and RA; PDR-LSR Consumption ID is ineligible,Active,https://www.caiso.com/documents/participationcomparison-proxydemand-distributedenergy-storage-forecastadjustment.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Reliability Demand Response Resource (RDRR),Wholesale-Market,SmallC&I;LargeC&I,GeneralLoad;IrrigationPump;Generator;Battery,Opt-in,$/MWh LMP on Demand Response Energy Measurement; primary value is RA credit to the load-serving entity,"DMM 2024: utility RDRR net energy market revenue about $46/MWh delivered, about $0.41/kW-year (2024), vs $3.42/kW-year (2022)","Minimum 500 kW load reduction per RDRR; reach full curtailment within 40 minutes of dispatch; sustain at least 4 consecutive hours per event; minimum run time no more than 1 hour; discrete dispatch option capped at 100 MW (exception by attestation), marginal option uncapped; dispatch option selected once per season (summer Jun-Sep, winter Oct-May). May bid economically in Day-Ahead; real-time incremental bids must be at least 95% of the energy bid cap (e.g. $950 at a $1,000 cap; $1,900 at $2,000) and can only be dispatched in real time under an Energy Emergency Alert Watch or higher (since 2023 per CPUC D.23-06-029; previously EEA 2). Cannot offer Ancillary Services or RUC. Primarily utility Base Interruptible Program and agricultural pumping loads",CAISO Tariff Section 4.13; BPM for Demand Response Sections 2 and 7; CAISO Operating Procedure 4420,,,,Yes-restricted,RA (credited against IOU obligations). Not stackable with AS. Accessible to BTM customers mainly by enrolling in a utility emergency program (e.g. BIP) rather than directly,Active,https://bpmcm.caiso.com/BPM%20Document%20Library/Demand%20Response/BPM_for_Demand_Response_V10_Redline.pdf,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,"Demand Response Auction Mechanism (DRAM) - CPUC pilot, third-party PDR/RDRR capacity contracts with PG&E, SCE, SDG&E",Wholesale-Market,Residential;SmallC&I;LargeC&I,Thermostat/AC;Battery;Solar+Storage;EV/EVSE;GeneralLoad;Any,Closed to new,Pay-as-bid $/kW-month RA capacity contract paid by the IOU (performance-banded) plus CAISO energy payments to the third-party DRP when its PDR/RDRR is dispatched,"2024 (final year) authorized pilot budgets: PG&E $6,000,000; SCE $6,000,000; SDG&E $2,000,000 (D.23-01-006). Contract prices were confidential; not published","SUNSET. CPUC D.24-04-006 (Apr 18 2024) ended the DRAM pilots of PG&E, SCE and SDG&E by December 31 2024 (or earlier if 2024 funding was exhausted); IOUs may process invoices through 2025 and true up in 2026 Annual Electric True-Up advice letters. No 2025+ DRAM deliveries. Reasons found: Nexant evaluation showed at most 3 of 6 criteria met; failed reliability and cost-competitiveness; bids at or near the CAISO price cap; demonstrated capacity 57% of contracted in 2021; 2024 solicitation offered only 73.05 MW vs 200+ MW/yr in 2018-2021","CPUC D.14-12-024 (created), D.16-06-029, D.17-10-017, D.19-07-009, D.19-12-040, D.23-01-006 (2024 funding), D.24-04-006 (sunset); A.22-05-002/-003/-004; IOU Electric Rule 24 (PG&E/SCE) and Rule 32 (SDG&E)",,,,Yes-restricted,"Was a wrapper around CAISO PDR/RDRR (energy paid by CAISO, RA capacity paid by IOU). CPUC-named successor pathways for third-party DRPs: PG&E and SCE Capacity Bidding Program Elect, SDG&E CBP, IOU and CCA RA solicitations (bilateral), and CEC Demand Side Grid Support (DSGS). Customers remain free to be bid into CAISO as PDR by a third party - only the IOU-funded capacity contract ended",Terminated,https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M530/K195/530195415.PDF,2026-09-23,Primary
CAISO-market,multi,California Independent System Operator,RTO,Resource Adequacy (RA) pathway for demand response - PDR/RDRR shown on LSE Supply Plans under the CPUC Slice-of-Day framework,Wholesale-Market,Residential;SmallC&I;LargeC&I,GeneralLoad;Thermostat/AC;Battery;Solar+Storage;EV/EVSE;Any,Opt-in,"No CAISO capacity payment and no CAISO capacity auction. Value is a bilateral $/kW-month RA contract with a California LSE (IOU, CCA, ESP) or an IOU DR program (e.g. Capacity Bidding Program) that counts the PDR/RDRR toward the LSE's CPUC RA obligation",,"CAISO side (BPM for Reliability Requirements Sections 7.1.1-7.1.2 as summarized in CAISO PDR-DERP-NGR-LFA matrix): System RA must-offer obligation - a PDR must bid whenever it has demand-reduction availability (24 h/day if capable); minimum DR MOO capability of 4 hours per dispatch, 3 consecutive days of dispatch, and 24 hours per month; PDR bids are not subject to local market power mitigation. Flexible RA: DR fits Use-Limited Super-Peak Ramping (MOO May-Sep 7am-12pm per matrix text, Oct-Apr 3-8pm; non-holiday weekdays; min 3 hours at EFC; at least 5 dispatches/month). CPUC side (2025 RA and Slice-of-Day Guide; D.23-04-010, D.23-06-029, D.24-06-004): DR shown for four consecutive hours of the Availability Assessment Hour window (or the full AAH window if contract/tariff requires longer dispatch); hourly value = capability on the worst day of the month under a 1-in-2 framework from ex ante Load Impact Protocol results; TLF and PRM adders removed, distribution loss factor adder retained; DR MCC bucket limit 8.3% of each slice; 17% PRM for 2025. Supply-side DR and storage may not be used to cover the LSE's storage-charging sufficiency requirement. RA NQC for DR must be re-authorized by the Local Regulatory Authority from the latest LIP before it is placed on CAISO's NQC list","CAISO Tariff Section 40 (RA), 40.10.3.2-40.10.3.4 (flexible categories); BPM for Reliability Requirements Sections 7.1.1, 7.1.2; CPUC D.23-04-010, D.23-06-029 (OP 29), D.24-06-004; CPUC 2025 RA and Slice of Day Filing Guide Section 7",,,,Yes-restricted,"RA-shown PDR and RDRR still earn CAISO energy (and PDR Spin/Non-Spin) revenues. The DERA/HDERA (DERP) model is INELIGIBLE to provide RA per the CAISO comparison matrix, so a BTM battery aggregation seeking RA value must register as PDR/PDR-LSR (CUR side only), not as a DERA. PDR-LSR Consumption ID is ineligible for RA. DRAM (IOU-funded RA contracts for third-party DR) ended Dec 31 2024",Active,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/energy-division/documents/resource-adequacy-homepage/resource-adequacy-compliance-materials/guides-and-resources/2025-ra-slice-of-day-filing-guide121724.pdf,2026-09-23,Primary
