rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
PJM,NJ,Public Service Electric and Gas Co (PSE&G),IOU,Residential Service Time-of-Use (RS-TOU),TOU-Rate,Residential,"GeneralLoad;EV/EVSE;Battery",Opt-in,rate discount / risk-free 12-month trial,,,RS-TOU (3-period),"Weekdays 4-9pm on-peak; midnight-6am off-peak; all other hours mid-peak (excl. PJM holidays)","on ~35.2c high / mid / off ~6.7c per kWh (range across all residential plans)",,Yes-restricted,Unknown,Active,https://nj.myaccount.pseg.com/myservicepublic/time-of-use,2026-08-08,High
PJM,NJ,Public Service Electric and Gas Co (PSE&G),IOU,Central Air Conditioning Cycling Program,DR-DLC,"Residential;SmallC&I","Thermostat/AC",Opt-in,bill credit for enrollment,,~100000 participants; cycling reduces AC runtime (e.g. 40min/hr to 20min/hr) during conservation events,,"Summer weekday afternoons (event-based)",,,No,Unknown,Active,https://patch.com/new-jersey/wyckoff/pseg-help-conserve-energy-during-heat-wave,2026-08-08,Low
PJM,NJ,Public Service Electric and Gas Co (PSE&G),IOU,Net Metering (NJ statewide),Export-Comp,All,"Solar+Storage;Battery;GeneralLoad",Opt-in,1:1 retail credit with annual true-up,,Level 1/2/3 system size tiers per NJ BPU rules,,,,"1:1 monthly retail credit; year-end excess (NEG) trued up at supplier avoided-cost/wholesale rate",Yes-restricted,Unknown,Active,https://nj.pseg.com/saveenergyandmoney/solarandrenewableenergy/netmetering,2026-08-08,High
PJM,NJ,Jersey Central Power & Light Co (JCP&L),IOU,Net Metering (NJ statewide),Export-Comp,All,"Solar+Storage;Battery;GeneralLoad",Opt-in,1:1 retail credit with annual true-up,,Level 1 (<=10kW resi) / Level 2 (<=2000kW) / Level 3 tiers,,,,"1:1 monthly retail credit; annual true-up at avoided-cost (wholesale)",Yes-restricted,Unknown,Active,https://www.firstenergycorp.com/help/smart-meters/nj-smartmeter/nj-net-metering.html,2026-08-08,Medium
PJM,NJ,Jersey Central Power & Light Co (JCP&L),IOU,Rider EV Off-Peak Credit + BGS EV Time-of-Use Credit,EV-Rate,Residential,"EV/EVSE",Opt-in,$/kWh bill credit for off-peak charging,$0.02 per kWh Net Off-Peak kWh usage at smart charger,Net off-peak kWh usage capped at customer's metered/billed kWh in billing month,Rider EV / Residential Time of Day (RT),,,,Unclear,Unknown,Active,https://www.nj.gov/bpu/pdf/boardorders/2023/20230524/2E%20ORDER%20JCP%26L%20BGS%20EV%20TOU%20Tariff.pdf,2026-08-08,High
PJM,NJ,Atlantic City Electric Co (ACE),IOU,Residential Net Metering (RNEM) Tariff,Export-Comp,All,"Solar+Storage;Battery;GeneralLoad",Opt-in,1:1 retail credit with annual true-up,,NJ statewide system size tiers,RNEM,,,"1:1 monthly retail credit; annual true-up at avoided-cost (wholesale)",Yes-restricted,Unknown,Active,https://nj.gov/bpu/pdf/boardorders/2022/20220713/2F%20ORDER%20ACE%20RNEM%20Tariff.pdf,2026-08-08,High
PJM,NJ,Rockland Electric Co (RECO),IOU,Demand Response Program,DR-Curtailment,"SmallC&I;LargeC&I","GeneralLoad",Opt-in,capacity-based incentive (legacy BPU goal-driven program),,"Historic BPU goal: 6 MW year-1 / 12 MW 3-yr target (2008 program design; current parameters unverified)",,,,,Unclear,Unknown,Active,https://nj.gov/bpu/pdf/energy/Rocklanddemandresponse.pdf,2026-08-08,Low
PJM,NJ,Rockland Electric Co (RECO),IOU,Net Metering (NJ statewide),Export-Comp,All,"Solar+Storage;Battery;GeneralLoad",Opt-in,1:1 retail credit with annual true-up,,NJ statewide system size tiers,,,,"1:1 monthly retail credit; annual true-up at avoided-cost (wholesale)",Yes-restricted,Unknown,Active,https://justenergy.com/blog/new-jersey-net-metering/,2026-08-08,Low
PJM,NJ,New Jersey Board of Public Utilities (statewide - applies in PSE&G/JCP&L/ACE/RECO territories),Federal/State,Garden State Energy Storage Program (GSESP) Phase 1 - Storage as a Transmission Asset (SATA),Storage-Incentive,LargeC&I,"Battery",Opt-in,"$/MW-year fixed capacity payment, pay-as-bid, 15-year term",Tranche 1 target 350-750 MW of a 1,000 MW Phase 1 goal (2,000 MW by 2030 statutory target),"PJM-interconnected, transmission-scale only; COD required within 30 months of application close (+150-day grace)",,,,,Yes,Unknown,Active,https://www.nj.gov/bpu/pdf/boardorders/2025/20250618/8E%20ORDER%20Garden%20State%20Energy%20Storage%20Program.pdf,2026-08-08,High
PJM,MD,Maryland Energy Administration (statewide),Federal/State,Maryland Energy Storage Income Tax Credit,Storage-Incentive,"Residential;LargeC&I","Battery",Closed to new,tax credit % of system cost,"30% of cost or $5,000 (residential) whichever is less; $750,000 total annual certificates",Program year cap; certificates issued first-come first-served,,,,,Yes,Unknown,Terminated,https://energy.maryland.gov/business/Pages/EnergyStorage.aspx,2026-08-08,High
