rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
NYISO,NY,Orange & Rockland Utilities Inc (O&R),IOU,Commercial System Relief Program (CSRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment (or voluntary $/kWh only),Reservation Payment Option: $3/kW-month + $0.50/kWh performance. Voluntary Participation Option: $1.00/kWh performance only,Capability period May 1-Sep 30; 21 hours notification before event; must sustain reduction at least 4 hours during non-test events; Reservation option requires one 1-hour test event per year; reduction measured against Customer Baseline Load,Commercial System Relief Program (CSRP),Load relief events called May 1-Sep 30,,,Yes,Distribution Load Relief Program (DLRP); NYISO DR programs,Active,https://www.oru.com/en/save-money/rebates-incentives-credits/new-york-customers/incentives-for-business-customers-ny/demand-response-incentives/demand-response-incentives-payment-options,2026-09-10,Primary
NYISO,NY,Orange & Rockland Utilities Inc (O&R),IOU,Distribution Load Relief Program (DLRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW-month reservation payment (tiered by area) + $/kWh performance payment (or voluntary $/kWh only),"Reservation Payment Option: Tier 1 areas $3/kW-month, Tier 2 areas $5/kW-month, plus $0.50/kWh performance. Voluntary Participation Option: $1.00/kWh performance only",Capability period May 1-Sep 30; 2 hours or less notification before event; must sustain reduction at least 4 hours during non-test events; Reservation option requires one 1-hour test event per year,Distribution Load Relief Program (DLRP),Load relief events called May 1-Sep 30,,Tier 2 (higher-value) zip codes: 10926 10930 10950 10928 10918 10990 10952 10954 10977 10913 10960 10962 10964 10976 10983 10901 10927 10956 10970 10980 10993,Yes,Commercial System Relief Program (CSRP); NYISO DR programs,Active,https://www.oru.com/en/save-money/rebates-incentives-credits/new-york-customers/incentives-for-business-customers-ny/demand-response-incentives/demand-response-incentives-payment-options,2026-09-10,Primary
NYISO,NY,New York State Electric & Gas Corp (NYSEG),IOU,Commercial System Relief Program (CSRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment (or voluntary $/kWh only),"Reservation Payment Option: $4.10/kW-month in months with 4 or fewer planned events, $4.35/kW-month in months with 5 or more planned events; performance $0.50/kWh. Voluntary Participation Option: $0.50/kWh performance only",Capability period May 1-Sep 30; weekdays only; events begin at 2 p.m. and require at least 4 hours of reduction; Reservation option may require a 1-hour test event; performance factor above 25% required to earn reservation payments; enroll by Apr 1 (May 1 start) or May 1 (Jun 1 start); Voluntary enrollment open through Sep 30,CSRP tariff (NYSEG PSC No. 120 - Electricity),Events begin 2:00pm weekdays May-Sep; minimum 4-hour duration,,,Yes,Distribution Load Relief Program (DLRP); Term-DLM/Auto-DLM; NYISO DR programs,Active,https://www.nyseg.com/smartenergy/businesssolutions/cidemandresponse/commercial-system-relief-program,2026-09-10,Primary
NYISO,NY,Rochester Gas & Electric Corp (RG&E),IOU,Commercial System Relief Program (CSRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment (or voluntary $/kWh only),"Reservation Payment Option: $4.25/kW-month in months with 4 or fewer planned events, $4.50/kW-month in months with 5 or more planned events; performance $0.50/kWh. Voluntary Participation Option: $0.50/kWh performance only",Capability period May 1-Sep 30; weekdays only; events begin at 2 p.m. and require at least 4 hours of reduction; Reservation option may require a 1-hour test event; performance factor above 25% required to earn reservation payments; enroll by Apr 1 (May 1 start) or May 1 (Jun 1 start); Voluntary enrollment open through Sep 30,CSRP tariff (RG&E PSC No. 19 - Electricity),Events begin 2:00pm weekdays May-Sep; minimum 4-hour duration,,,Yes,Distribution Load Relief Program (DLRP); Term-DLM/Auto-DLM; NYISO DR programs,Active,https://www.rge.com/smartenergy/businesssolutions/cidr/commercial-system-relief-program,2026-09-10,Primary
NYISO,NY,New York State Electric & Gas Corp (NYSEG),IOU,Distribution Load Relief Program (DLRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW-month reservation payment + $/kWh performance payment; reservation rate currently set to zero,"Reservation payment level set at $0.00 per kW-month; the company reported it intends to hold the DLRP incentive at $0.00/kW-month indefinitely until a distribution need arises, and there were no 2025 enrollments",Tariff program remains on the books but is effectively dormant while the reservation rate is $0.00,DLRP tariff (NYSEG PSC No. 120 - Electricity),May 1-Sep 30 capability period,,,Yes,Commercial System Relief Program (CSRP); NYISO DR programs,Active,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BC0746D9D-0000-CE30-88AD-5786AA5DCD01%7D&DocTitle=2026-04-08+NYSEG-RGE+Demand+Response+Annual+Report+Updated+REDACTED+(14-E-0423+et.+al.),2026-09-10,Secondary
NYISO,NY,Rochester Gas & Electric Corp (RG&E),IOU,Distribution Load Relief Program (DLRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW-month reservation payment + $/kWh performance payment; reservation rate currently set to zero,"Reservation payment level set at $0.00 per kW-month; the company reported it intends to hold the DLRP incentive at $0.00/kW-month indefinitely until a distribution need arises, and there were no 2025 enrollments",Tariff program remains on the books but is effectively dormant while the reservation rate is $0.00,DLRP tariff (RG&E PSC No. 19 - Electricity),May 1-Sep 30 capability period,,,Yes,Commercial System Relief Program (CSRP); NYISO DR programs,Active,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BC0746D9D-0000-CE30-88AD-5786AA5DCD01%7D&DocTitle=2026-04-08+NYSEG-RGE+Demand+Response+Annual+Report+Updated+REDACTED+(14-E-0423+et.+al.),2026-09-10,Secondary
NYISO,NY,Central Hudson Gas & Electric Corp,IOU,Commercial System Relief Program (CSRP),DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator;Thermostat/AC,Opt-in,$/kW-month reservation payment + $/kWh performance payment (or voluntary $/kWh only),"Reservation Payment Option: $1.23/kW-month, rising to $1.54/kW-month from the month of the 5th event through September if 5 or more events are called; performance $0.11/kWh planned events and $0.21/kWh unplanned events. Voluntary Payment Option: no reservation payment, $0.11/kWh planned and $0.35/kWh unplanned",Capability period Jun 1-Sep 30; events Monday-Friday between 12:00am and 8:00pm; at least 21 hours notice for planned events; reduction sustained up to 4 hours; Reservation option requires one 1-hour test event per year on a non-holiday weekday; communicating interval meter required; TDR participants are not eligible for CSRP,CSRP tariff (Central Hudson PSC No. 15 - Electricity),Events called weekdays 12:00am-8:00pm Jun-Sep,,,Yes,NYISO DR programs; not stackable with Targeted Demand Response (TDR),Active,https://www.cenhud.com/globalassets/pdf/save-energy/csrp-tariff-2025.pdf,2026-09-10,Primary
NYISO,NY,Central Hudson Gas & Electric Corp,IOU,Targeted Demand Response (TDR) Program,DR-Curtailment,SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW-month payment for committed load reduction in constrained areas,$6.82 per kW of load reduction per month of participation (June through September),Available only to commercial and industrial customers located in specific energy-constrained program areas; interval metering required; TDR participants may not also participate in CSRP,Targeted Demand Response (Central Hudson Peak Perks),Jun-Sep participation months,,,Yes,NYISO DR programs; not stackable with CSRP,Active,https://cenhudpeakperks.com/targeted-demand-response/,2026-09-10,Primary
NYISO,NY,Long Island Power Authority / PSEG Long Island,Federal/State,System Peak Relief Program (Commercial System Relief Program / Distribution Load Relief Program),DR-Curtailment,Residential;SmallC&I;LargeC&I,GeneralLoad;Battery;Generator,Opt-in,$/kW reservation payment + $/kWh performance payment; rates derived from PSEG Long Island Marginal Cost of Service (MCOS) Study,,"Program period May 1-Sep 30; aggregators notified at least 21 hours ahead and again 2 hours before the event; typical event about 4 hours; direct enrollment requires a minimum 50 kW pledge, otherwise enroll through an approved aggregator; AMI meter provided at no cost; existing on-site generation may be used if it complies with the CSRP tariff",LIPA Tariff for Electric Service - System Peak Relief (CSRP/DLRP),Events called May 1-Sep 30 on forecast peak days,,,Yes,Battery Storage Rewards; NYISO DR programs,Active,https://www.psegliny.com/saveenergyandmoney/greenenergy/peakload/csrp/faq,2026-09-10,Primary
NYISO,NY,Long Island Power Authority / PSEG Long Island,Federal/State,Smart Savers Thermostat Program,DR-BYOT,Residential,Thermostat/AC,Opt-in,upfront enrollment incentive + annual retention incentive,$85 for installing/enrolling a qualifying smart thermostat plus $25 in each following year of participation,Events called on forecast peak summer days; enrolled homes are pre-cooled 3 degrees for 30 minutes then thermostat setpoint raised 4 degrees during the peak period; customers may opt out of any individual adjustment from thermostat app or device; requires central air conditioning and an approved internet-connected thermostat,,Summer peak-demand hours,,,No,Battery Storage Rewards; net metering,Active,https://www.psegliny.com/en/Newsroom/2025/070226-SmartSavers,2026-09-10,Primary
