rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Hourly Pricing (Residential Real-Time Pricing Program),RTP-Rate,Residential,Battery;EV/EVSE;GeneralLoad;Any,Opt-in,hourly market-indexed supply price passthrough (no markup),,"No event limits; hourly price updates all 8760 hrs/yr, day-ahead hourly forecast posted daily",Rate BESH; Rider RRTP,Varies hourly - no fixed on-peak window,"Price = PJM real-time hourly LMP (avg of twelve 5-min prices), no utility markup",N/A - electric supply rate only,Yes,"Peak Time Savings;Illinois DG Rebate;SDVPP",Active,https://hourlypricing.comed.com/about/,2026-08-08,High
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Peak Time Savings,CPP-PTR,Residential,GeneralLoad;Any,Opt-in,$/kWh bill credit for usage reduction vs baseline,$1.00/kWh saved during event hours,"Events called May 1-Oct 31 typically 10am-9pm, day-ahead notice, multiple events/summer, no enrollment cost or penalty",Not a separate rate schedule (opt-in program on standard rate),"Event days ~10am-9pm, announced day-ahead",,,Yes-restricted,"Hourly Pricing;Unknown",Active,https://www.comed.com/WaysToSave/ForYourHome/Pages/PeakTimeSavings.aspx,2026-08-08,High
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Illinois Distributed Generation Rebate (Solar + Storage),Storage-Incentive,Residential;SmallC&I;LargeC&I,Solar+Storage;Battery,Opt-in,upfront $/kW (solar) and $/kWh (storage) rebate,"$300/kW solar + $300/kWh storage (residential/small C&I); $250/kW + $250/kWh (large C&I)","Must interconnect on/after 8/11/22; smart inverter from IL Approved Inverter List required; storage-rebate recipients must enroll in Hourly Pricing and join SDVPP for required term",Rider DGR (Distributed Generation Rebate),,,,Yes,"Hourly Pricing;SDVPP;Illinois Shines SREC",Active,https://www.comed.com/SmartEnergy/MyGreenPowerConnection/Pages/SolarRebates.aspx,2026-08-08,High
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Scheduled Dispatch Virtual Power Plant (SDVPP),VPP,Residential,Battery;Solar+Storage,Opt-in,capacity/dispatch payment for scheduled battery dispatch (rate design pending),,Program approved by ICC; launch targeted 2027; EV inclusion targeted ~2029,Rider SDVPP,,,,Yes,"Illinois DG Rebate;Hourly Pricing",Proposed/pending,https://icc.illinois.gov/downloads/public/filing/4/399541.pdf,2026-08-08,Medium
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Delivery Time of Day (DTOD) Rate with EV Bill Credit,TOU-Rate,Residential,GeneralLoad;EV/EVSE,Opt-in,TOU delivery rate plus per-vehicle EV enrollment bill credit,"$2/vehicle/month bill credit for up to 24 months, max 2 vehicles/household",,Rider DTOD,,,,Unclear,"Hourly Pricing;Unknown",Active,https://www.barchart.com/story/news/160444/comed-launches-new-delivery-time-of-day-rate-to-help-customers-manage-energy-costs,2026-08-08,Medium
PJM,IL,Commonwealth Edison Company (ComEd),IOU,C&I Voluntary Load Reduction (VLR) / PJM Curtailment Service Provider Programs,DR-Curtailment,LargeC&I,GeneralLoad;Generator;Battery,Opt-in,$/kW-yr capacity payment via Curtailment Service Provider,$50-150/kW-yr (typical CSP-enrolled PJM DR value),Per PJM Emergency/Economic DR program rules; historically ~3000 participants and ~1 GW enrolled capacity,PJM CSP enrollment (no ComEd-specific rider number published),,,,Yes,Unknown,Active,https://olivineinc.com/project/commonwealth-edisons-c-i-vlr-program/,2026-08-08,Medium
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Net Metering / CEJA Net Billing Transition,Export-Comp,Residential;SmallC&I,Solar+Storage,Default,volumetric bill credit for exported energy,,,Rider POG (Parallel Operation of Generation) / Net Metering,,,"1:1 full retail net metering for systems interconnected before 1/1/2025 (credits now roll over indefinitely under CEJA); supply-only net billing (credited at supply rate only, no delivery-charge offset) for systems interconnected on/after 1/1/2025",Yes-restricted,"Illinois Shines SREC;Illinois DG Rebate",Active,https://www.illinoissfa.com/wp-content/uploads/2024/11/Net-Metering-Changes-in-Illinois-%E2%80%93-Frequently-Asked-Questions-for-Approved-Vendors-and-Designees_Updated.pdf,2026-08-08,High
PJM,IL,Commonwealth Edison Company (ComEd),IOU,Electric Vehicle Charger and Installation Rebate,EV-Rate,Residential,EV/EVSE,Opt-in,upfront rebate for Level 2 charger purchase and installation,"$1,000 standard rebate; up to $2,500 for income-qualified or Equity Investment Eligible Community households",,,,,,No,"Hourly Pricing;DTOD",Active,https://www.comed.com/about-us/clean-energy/electric-vehicle-charger-and-installation-rebate,2026-08-08,High
PJM,OH,Ohio Power Company (AEP Ohio),IOU,Residential Time-of-Use Rate,TOU-Rate,Residential,GeneralLoad;Any,Opt-in,rate discount off-peak vs on-peak,,"Only available to Residential Standard Service Offer (SSO) customers with AMI smart meter; excludes major holidays; up to 2 billing cycles to take effect",Tariff 015,"Summer (May 1-Oct 31): weekdays 2pm-6pm; Winter (Nov 1-Apr 30): weekdays 6am-9am",,,Unclear,Unknown,Active,https://www.aepohio.com/account/bills/programs/time-of-use,2026-08-08,High
PJM,OH,Ohio Power Company (AEP Ohio),IOU,Plug-In Electric Vehicle (PEV) Rate,EV-Rate,Residential,EV/EVSE,Opt-in,TOU distribution-charge rate discount for EV charging,"Whole Home (Tariff 048/807): on-peak 4.94410c/kWh, off-peak 1.64869c/kWh distribution charge, $13.50/mo customer fee; Separately Metered (Tariff 049/808): on-peak 3.47738c/kWh, off-peak 2.08643c/kWh, super off-peak 1.04321c/kWh",AMI meter required; rates apply to distribution charge only (generation/transmission billed separately); 2 billing cycles to take effect,Tariff 048/807 (Whole Home); Tariff 049/808 (Separately Metered),"Nov-Apr: 6-10am & 4-10pm weekdays; May-Oct: 1-11pm; super off-peak (separately metered only) 12-4am daily","on 4.94/3.48c, off 1.65/2.09c, super-off 1.04c per kWh (distribution component only)",,Unclear,Unknown,Active,https://www.aepohio.com/clean-energy/electric-cars/plug-in-electric-vehicle-rate,2026-08-08,High
