rto,state,utility_name,ownership_type,program_name,program_category,customer_segment,eligible_assets,enrollment_basis,incentive_structure,incentive_value_usd,event_limits,tariff_schedule,on_peak_window,peak_offpeak_rates,export_compensation,storage_eligible,stackable_with,program_status,source_url,last_verified,confidence
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Off-Peak Plan,TOU-Rate,Residential,"GeneralLoad;EV/EVSE;Battery",Opt-in,rate design (3-tier TOU),"on $0.3105/kWh summer wkdy, $0.2710 winter wkdy; off $0.1515/$0.1559; super-off $0.1336/$0.1496",n/a - voluntary opt-in/opt-out anytime (12-mo re-enroll lockout),Schedule 1G,"Weekdays: summer 3-6pm; winter 6-9am & 5-8pm",on 31.05c/off-peak 15.1c/super-off-peak 13.4c summer; on 27.1c/off 15.6c/super-off 15.0c winter (all-in incl. generation+T&D),"Under net metering, export credited at the on/off/super-off-peak rate in the interval generated; credits bankable only within same tier",Yes,"Net Metering; not stackable with Smart Cooling/Thermostat/EV Charging Rewards DR programs",Active,https://www.dominionenergy.com/virginia/rates-and-tariffs/off-peak-plan,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Schedule 1S - Demand TOU,TOU-Rate,Residential,"GeneralLoad;Battery;EV/EVSE",Opt-in,rate design (demand + energy TOU),"Distribution demand $2.478/kW on-peak; Generation demand $2.407/kW on-peak; Distribution kWh 1.5465c; Gen on-peak kWh 3.1424c/off-peak 0.2911c",Min. 1-yr commitment; early exit bars re-enrollment on any residential TOU rate for 1 yr,Schedule 1S,"Jun-Sep: 11am-10pm Mon-Fri; Oct-May: 7-11am & 5-9pm Mon-Fri",on 3.14c gen + demand chg / off 0.29c gen (summer); distribution demand $2.478/kW,"Net metering per Section XXV; standby charge of $4.19/kW distribution + $1.32/kW transmission applies above 20kW AC (was 15kW pre-7/1/2026) minus normal demand charges",Yes-restricted,"Net Metering",Active,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/content/rates-and-tariffs/pdfs/virginia/residential/schedule-1s.pdf,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Schedule 1T - Energy TOU,TOU-Rate,Residential,"GeneralLoad;Battery;EV/EVSE",Opt-in,rate design (2-period TOU energy only),"Distribution on-peak 8.0512c/off-peak 0.8440c; Generation on-peak 5.6744c/off-peak 1.4167c per kWh",Min. 1-yr commitment; early exit bars re-enrollment on residential TOU for 1 yr,Schedule 1T,"Jun-Sep: 11am-10pm Mon-Fri; Oct-May: 7-11am & 5-9pm Mon-Fri",on ~13.7c combined / off ~2.3c combined per kWh,Net metering credited at applicable on/off-peak rate per Section XXV Terms and Conditions,Yes,"Net Metering",Active,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/content/rates-and-tariffs/pdfs/virginia/residential/schedule-1t.pdf,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Schedule 1P - Residential TOU (Experimental),TOU-Rate,Residential,GeneralLoad,Closed to new,rate design (legacy TOU),Not published for new enrollment,Legacy pilot rate; closed to new customers,Schedule 1P,Not published (legacy pilot definition),Not published for new customers,Legacy net metering terms apply to existing participants,Unclear,Unknown,Closed to new enrollment,https://cdn-dominionenergy-prd-001.azureedge.net/-/media/content/rates-and-tariffs/pdfs/virginia/residential/schedule-1p.pdf,2026-08-08,Medium
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Peak Time Rebates Program,CPP-PTR,Residential,"Thermostat/AC;Battery;EV/EVSE;GeneralLoad",Opt-in,$/kWh performance bill credit vs. baseline,$1.25 per kWh saved below weather-adjusted baseline; paid annually Q1,"~10 events/yr, 3-4 hrs each, summer afternoons/winter mornings-evenings",n/a (rider on standard rate),Event days called day-ahead/day-of by text/email,Not applicable (bill credit program, not a rate),No direct export credit; behind-the-meter battery discharge counts toward reduced grid draw,Yes,"Cannot combine with Smart Thermostat Rewards, EV Telematics Rewards, Water/Energy Rewards, or Net Metering",Active,https://www.dominionenergyptr.com/,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Schedule 1EV - Residential Service with EV Charging (Experimental),EV-Rate,Residential,EV/EVSE,Closed to new,rate design (4-period TOU for EV pilot),"On-peak ES 6.879c(summer)/5.381c(winter); Off-peak 0.730c/2.015c; Super off-peak 0.016c/1.690c per kWh",Capped at 750 pilot participants; closed to new since 11/30/2018,Schedule 1EV,"Summer: on-peak 1-7pm; Winter: on-peak 6-11am & 5-10pm",on 6.9c/off 0.7-2.0c/super-off ~0.02-1.7c (generation only, excl. riders),Net metering per standard terms for legacy participants,Unclear,Unknown,Closed to new enrollment,https://www.dominionenergy.com/-/media/content/rates-and-tariffs/pdfs/virginia/residential/schedule-1ev.pdf,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,EV Charger Rewards (Level 2 managed charging),EV-Rate,Residential,EV/EVSE,Opt-in,upfront equipment rebate + annual DR participation payment,"$125 equipment rebate (apply within 120 days of purchase) + $40/yr after 1-yr anniversary","Max 45 events/yr (15/month), up to 4 hrs/event; opt-out available per event",Not a rate schedule - companion DR program,Peak system demand periods (utility-called),n/a,Not applicable,No,"Not stackable with Off-Peak Plan (must be on standard rate) or other DR programs",Active,https://www.chargingrewards.com/dominionenergy-ev/,2026-08-08,High
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,EV Telematics Rewards (WeaveGrid),EV-Rate,Residential,EV/EVSE,Opt-in,flat annual bill credit for managed charging via vehicle telematics,$40/year,Managed charging shifts scheduled during high-demand periods; no fixed event cap published,Not a rate schedule - companion DR program,Utility-determined high-demand periods,n/a,Not applicable,No,"Not stackable with Peak Time Rebates or Net Metering",Active,https://www.weavegrid.com/dominion-energy/electric-vehicle-telematics-program,2026-08-08,Medium
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Smart Thermostat Rewards,DR-BYOT,Residential,Thermostat/AC,Opt-in,enrollment + performance bill credit,"$25 first-summer enrollment + $10 for >=75% event participation ($35 yr 1); $10/yr thereafter",Thermostat adjusted up to 4degF for up to 4 hrs per event during summer peak days,Not a rate schedule - companion DR program,Summer peak afternoons (utility-called),n/a,Not applicable,No,"Not stackable with Off-Peak Plan, Peak Time Rebates, or EV DR programs",Active,https://www.dominionenergy.com/virginia/save-energy/my-home/smart-thermostat-rewards,2026-08-08,Medium
PJM,VA,Virginia Electric & Power Co (Dominion Energy Virginia),IOU,Net Metering Standby Charge (Schedules 1/1G/1S),Interconnection,Residential,"Solar+Storage;Battery",Default,$/kW monthly standby demand charge above capacity threshold,"$2.79/kW distribution + $1.40/kW transmission standby (approx.; varies slightly by schedule e.g. $4.19/kW dist. + $1.32/kW trans. on Sched 1S), assessed on peak monthly grid draw",Applies only if aggregate nameplate AC capacity of customer generator exceeds threshold (15 kW AC through 6/30/2026; 20 kW AC from 7/1/2026 under HB 1255),Terms and Conditions Section XXV / Schedule 1 Net Metering,n/a (charge based on monthly peak kW pulled from grid),n/a,"1:1 net metering below threshold; above threshold, standby demand charge assessed in addition to net metering credits",Yes-restricted,"Net Metering; Virginia Shared Solar",Active,https://www.virtuesolar.com/2024/07/05/what-are-dominions-standby-fees/,2026-08-08,High
