utility_name,state,rto,deviates_on,rule_summary,nem_cap_res_kw,nem_cap_nonres_kw,nem_aggregate_cap,aggregate_cap_status,export_credit_value,ic_application_fee,ic_study_trigger_kw,external_disconnect,non_export_option,grid_charging_allowed,standby_charge,standby_threshold_kw,storage_specific_notes,source_url,last_verified,confidence
City Water Light and Power (Springfield),IL,MISO,all,Municipal utility exempt from ICC jurisdiction (83 Ill. Adm. Code 465/466 do not apply); CWLP sets its own net metering and interconnection policy per Springfield Municipal Code Ch. 50 Art. II. Offers full retail 1:1 net metering (not the CEJA supply-only net billing that applies to ComEd/Ameren) but at a much smaller system size ceiling and with annual (not indefinite) credit expiry.,25,25,,,,,,,,,Banked kWh credits expire annually at the March billing cycle (as of 2020 municipal solar rules; not confirmed current for 2026),,,https://library.municode.com/il/springfield/codes/code_of_ordinances?nodeId=TITVPUWO_CH50ELUT_ARTIIRASC_S50.38NEMESE,2026-08-09,Medium
Commonwealth Edison Company (ComEd),IL,PJM,storage_specific_notes,"Follows ICC/CEJA state default for net metering caps, aggregate cap, and interconnection levels. Deviation is the utility-specific DG/Smart Inverter Rebate program value: $300/kW-DC one-time rebate for residential systems using a qualifying smart inverter (accepting this rebate permanently forfeits any grandfathered pre-2025 full-retail NEM status).",,,,,,,,,,,,,Smart Inverter/DG Rebate = $300/kW-DC for qualifying solar inverters; battery storage rebate value not independently confirmed for ComEd specifically (Ameren's schedule found; ComEd's exact storage $/kWh rebate not verified in this pass -- gap),https://www.illinoissfa.com/announcements/2024/12/updates-on-upcoming-low-income-discount-rates-changes-to-net-metering-and-smart-inverter-rebate-changes/,2026-08-09,Medium
Ameren Illinois Company d/b/a Ameren Illinois,IL,MISO,storage_specific_notes,"Follows ICC/CEJA state default for net metering caps, aggregate cap, and interconnection levels. Deviation is the utility-specific DG/Smart Inverter Rebate schedule, which is tiered by rate class and explicitly covers storage inverters.",,,,,,,,,,,,,"DG/Smart Inverter Rebate: DS-1 & DS-2 (residential/small commercial) = $300/kW-DC for solar inverters, $300/kWh for storage inverters. DS-3, DS-4 & DS-6 (larger commercial) = $250/kW-DC for solar, $250/kWh for storage. Accepting the rebate permanently locks the customer into supply-only net metering (forfeits any pre-2025 full-retail NEM grandfathering).",https://www.ameren.com/illinois/residential/supply-choice/renewables/rebates,2026-08-09,Medium
Union Electric Company d/b/a Ameren Missouri,MO,MISO,export_credit_value;annual_true_up,"Follows MoPSC state-default 100 kW cap, 5% aggregate cap, and 20 CSR 4240-20.065 interconnection process. Deviation is the utility's specific Rider NM billing mechanic: monthly exports credited at retail-adjacent net metering rate, but an ANNUAL true-up (reported by third parties as occurring in the customer's anniversary billing cycle) settles any remaining banked credit at the utility's Commission-filed avoided-cost/cogeneration rate rather than carrying it forward -- a materially different economic outcome than a pure monthly-rollover reading of the state rule. Reported approximate figures (not independently verified against a current Ameren Missouri tariff sheet): retail-adjacent monthly credit ~$0.115-0.13/kWh; year-end avoided-cost settlement ~$0.03-0.04/kWh.",,,,,,,,,,,,,Storage-specific interconnection treatment not independently confirmed; Ameren Missouri's net metering tariff (Rider NM) predates widespread residential storage and does not appear to separately address battery grid-charging or non-export configurations in public-facing materials reviewed,https://www.ameren.com/missouri/company/rate-options/faqs,2026-08-09,Low
City Utilities of Springfield,MO,MISO,all,"Municipal utility not regulated by MoPSC; City Utilities sets its own net metering policy via municipal governance, though it mirrors the state's 100 kW cap. Offers its own solar rebate program in addition to net metering (rebate value not independently confirmed in this pass).",100,100,,,,,,,,,,,,https://findenergy.com/providers/city-utilities-springfield-mo/,2026-08-09,Low
Columbia Water and Light,MO,MISO,all;standby_charge,"Municipal utility not regulated by MoPSC; Columbia sets its own net metering ordinance. Mirrors the state's 100 kW cap but pays a two-tier rate: retail rate to offset same-period consumption, then a much lower avoided-cost rate (~2-4 cents/kWh) for any net excess beyond monthly consumption -- a steeper reversion than reading MoPSC's 20 CSR 4240-20.065 alone would suggest. City purchases the customer's RECs as part of the net metering agreement (customer may instead elect to keep RECs and be paid at the avoided average energy market price at the Columbia pricing node in lieu of retail-rate netting). City also runs its own DG rebate schedule: $375-$625/kW for the first 10 kW, $300-$500/kW for kW 10-50, $150-$250/kW for kW 50-100.",100,100,,,,,,,,,,,REC election is a key structural choice: keeping RECs switches the customer off retail-rate netting and onto avoided-cost LMP pricing at the Columbia node -- a storage/export economics factor not present in most other MO utilities reviewed,https://www.como.gov/utilities/columbia-power-partners/solar/net-metering/,2026-08-09,Medium
Independence Power and Light Department,MO,MISO,all,"Municipal utility not regulated by MoPSC (governed instead by Independence City Council ordinance); voluntarily implements a policy that substantively mirrors RSMo 386.890 -- 100 kW cap, 1:1 retail rate net metering, and no-fee interconnection for systems <=10 kW. Because it is not an MoPSC-jurisdictional ""electrical corporation,"" IPL is not legally bound by 386.890/20 CSR 4240-20.065 and could change terms via city ordinance without a PSC docket.",100,100,,,,,,,,,,,,https://www.independencemo.gov/sites/default/files/2023-08/IPL%20Rates%20-%20T%20(6-1-18)%20NM-1.cleaned%20(2).pdf,2026-08-09,Medium
Entergy Arkansas LLC,AR,MISO,export_credit_value,"Follows APSC state-default Legacy/Non-Legacy structure and 1,000 kW threshold. Deviation is the utility-specific published Non-Legacy avoided-cost rate, filed under Entergy Arkansas' Non-Legacy Net-Metering Service Schedule, distinct from Legacy Net-Metering Service Schedule pricing; exact current cents/kWh figure not independently verified against the live tariff sheet in this pass (see source_url for the tariff document).",,,,,,,,,,,,,,https://cdn.entergyarkansas.com/wp-content/uploads/2025/06/eal_nln-m.pdf,2026-08-09,Low
Southwestern Electric Power Co (SWEPCO),AR,MISO,export_credit_value,"Follows APSC state-default Legacy/Non-Legacy structure (Act 278/Docket 23-021-R settlement). Deviation is the utility's specific avoided-cost value: reported ~4-6 cents/kWh for 2025 Non-Legacy net-metering customers, roughly 60-70% below SWEPCO's retail rate -- figure not independently confirmed against a current published tariff sheet in this pass.",,,,,,,,,,,,,,https://www.arkansasadvancedenergy.com/news/aaea-granted-intervenor-status-in-swepco-rate-case,2026-08-09,Low
Ozarks Electric Cooperative,AR,SPP,export_credit_value;credit_rollover,"Cooperative -- statutorily covered by Act 464/278 net metering but administers its own tariff. For facilities interconnected after the 9/29/2024 cutoff, energy consumed from the co-op is billed at standard retail rate while exported energy is credited at avoided cost of energy based on the PRIOR YEAR's rate filed with APSC (a one-year-lagged avoided-cost figure, distinct from Entergy/SWEPCO's LMP-based approach). Unused credits roll over month to month and do not expire (explicit indefinite rollover, more generous than the state row's ""not independently confirmed"" default). A one-time administrative/interconnection fee applies to all net-metering submissions.",,,,,,,,,,,,,,https://www.ozarksecc.com/net-metering,2026-08-09,Medium
